date,open,high,low,ltp,percent_change,qty,turnover
2012-11-22,27.0,27.0,27.0,27.0,0.0,1000,27000.0
2012-11-18,26.0,27.0,27.0,27.0,0.0,100,2652.0
2012-11-11,26.0,26.0,26.0,26.0,0.0,1800,46800.0
2012-11-04,25.0,26.0,26.0,26.0,0.0,400000,10200000.0
2012-10-17,27.0,26.0,25.0,25.0,0.0,650,16692.0
2012-10-01,27.0,27.0,27.0,27.0,0.0,5000,134750.0
2012-10-01,27.0,27.0,27.0,27.0,0.0,5000,134750.0
2012-09-30,28.0,27.0,27.0,27.0,0.0,5000,134750.0
2012-09-19,27.0,28.0,28.0,28.0,0.0,4200,115500.0
2012-06-26,28.0,27.0,27.0,27.0,0.0,100,2720.0
2012-04-26,27.0,28.0,28.0,28.0,0.0,3100,86056.0
2012-04-19,28.0,27.0,27.0,27.0,0.0,100,2722.0
2012-03-29,28.0,28.0,28.0,28.0,0.0,500,13890.0
2012-03-26,29.0,28.0,28.0,28.0,0.0,200,5670.0
2012-03-21,30.0,29.0,29.0,29.0,0.0,500,14465.0
2012-02-01,30.0,30.0,30.0,30.0,0.0,100,2952.0
2011-12-12,31.0,31.0,30.0,30.0,0.0,400,12170.0
2011-12-11,32.0,31.0,31.0,31.0,0.0,200,6272.0
2011-12-07,32.0,32.0,32.0,32.0,0.0,100,3200.0
2011-08-11,33.0,32.0,32.0,32.0,0.0,3100,99824.0
2011-08-10,34.0,33.0,32.0,33.0,0.0,23200,755640.0
2011-07-24,34.0,34.0,33.0,34.0,0.0,23600,800917.0
2011-07-12,33.0,34.0,34.0,34.0,0.0,100,3395.0
2011-07-11,33.0,33.0,33.0,33.0,0.0,100,3328.0
2011-07-10,30.0,33.0,30.0,33.0,0.0,700,22142.0
2011-07-06,28.0,30.0,29.0,30.0,0.0,300,8725.0
2011-07-05,25.0,28.0,26.0,28.0,0.0,700,18977.0
2011-07-04,27.0,26.0,25.0,25.0,0.0,4300,111553.0
2011-07-03,30.0,29.0,27.0,27.0,0.0,34050,986569.0
2011-06-29,31.0,30.0,30.0,30.0,0.0,100100,3003038.0
2011-06-27,32.0,31.0,31.0,31.0,0.0,32900,1019907.0
2011-06-26,32.0,32.0,32.0,32.0,0.0,100,3170.0
2011-06-23,34.0,33.0,32.0,32.0,0.0,103150,3337002.0
2011-06-09,34.0,34.0,34.0,34.0,0.0,2100,72108.0
2011-06-08,35.0,34.0,33.0,34.0,0.0,145000,4881939.0
2011-05-03,36.0,35.0,35.0,35.0,0.0,500,17550.0
2011-03-27,35.0,36.0,36.0,36.0,0.0,4000,142000.0
2011-03-25,35.0,35.0,35.0,35.0,0.0,1000,35050.0
