date,open,high,low,ltp,percent_change,qty,turnover
2014-07-13,190.0,193.0,175.0,176.0,0.0,26521,4862256.0
2014-07-10,178.0,195.0,177.0,190.0,0.0,41518,7693494.0
2014-07-09,162.0,178.0,165.0,178.0,0.0,29074,5171627.0
2014-07-08,148.0,162.0,150.0,162.0,0.0,5605,907710.0
2014-07-07,135.0,148.0,137.0,148.0,0.0,185,27020.0
2014-07-06,123.0,135.0,125.0,135.0,0.0,2656,348166.0
2014-07-03,113.0,123.0,115.0,123.0,0.0,57,6755.0
2014-01-12,119.0,121.0,111.0,113.0,0.0,40550,4650564.0
2014-01-09,120.0,120.0,116.0,119.0,0.0,23520,2739056.0
2014-01-08,122.0,124.0,120.0,120.0,0.0,8497,1025265.0
2014-01-07,118.0,124.0,120.0,122.0,0.0,9516,1167557.0
2014-01-06,114.0,118.0,114.0,118.0,0.0,1185,138634.0
2014-01-05,115.0,118.0,113.0,114.0,0.0,6995,809323.0
2014-01-02,115.0,115.0,114.0,115.0,0.0,511,58729.0
2014-01-01,116.0,118.0,113.0,115.0,0.0,6540,750060.0
2013-12-31,116.0,118.0,112.0,116.0,0.0,5777,666526.0
2013-12-29,122.0,120.0,116.0,116.0,0.0,3318,389176.0
2013-12-24,116.0,122.0,110.0,122.0,0.0,4755,557430.0
2013-12-23,125.0,123.0,116.0,116.0,0.0,2530,303686.0
2013-12-22,126.0,128.0,124.0,125.0,0.0,8356,1053936.0
2013-12-19,130.0,128.0,124.0,126.0,0.0,1872,235798.0
2013-12-18,128.0,130.0,128.0,130.0,0.0,144,18528.0
2013-12-16,124.0,128.0,126.0,128.0,0.0,837,106498.0
2013-12-15,121.0,124.0,118.0,124.0,0.0,5454,663221.0
2013-12-12,110.0,121.0,108.0,121.0,0.0,29507,3472610.0
2013-12-11,109.0,111.0,107.0,110.0,0.0,5798,638062.0
2013-12-10,109.0,113.0,109.0,109.0,0.0,3737,411953.0
2013-12-09,107.0,109.0,99.0,109.0,0.0,6774,715386.0
2013-12-08,117.0,117.0,107.0,107.0,0.0,3216,360306.0
2013-12-05,125.0,125.0,113.0,117.0,0.0,13935,1670947.0
2013-12-04,125.0,135.0,123.0,125.0,0.0,5078,652024.0
2013-12-03,114.0,125.0,116.0,125.0,0.0,15080,1880965.0
2013-12-02,104.0,114.0,106.0,114.0,0.0,3413,381878.0
2013-12-01,95.0,104.0,96.0,104.0,0.0,3036,305687.0
2013-11-28,93.0,95.0,94.0,95.0,0.0,2794,264166.0
2013-11-27,94.0,93.0,93.0,93.0,0.0,449,41757.0
2013-11-26,92.0,94.0,93.0,94.0,0.0,942,87782.0
2013-11-25,93.0,92.0,92.0,92.0,0.0,91,8372.0
