date,open,high,low,ltp,percent_change,qty,turnover
2014-02-09,104.0,114.0,106.0,114.0,0.0,50,5500.0
2014-02-06,98.0,104.0,99.0,104.0,0.0,40,4050.0
2014-01-20,102.0,93.0,93.0,93.0,0.0,1177,109461.0
2013-12-11,102.0,102.0,102.0,102.0,0.0,3373,344046.0
2013-11-06,102.0,102.0,102.0,102.0,0.0,412,42024.0
2013-10-31,100.0,102.0,102.0,102.0,0.0,106,10812.0
2013-10-03,101.0,100.0,100.0,100.0,0.0,10,1000.0
2013-09-25,103.0,101.0,101.0,101.0,0.0,53,5353.0
2013-09-24,105.0,103.0,103.0,103.0,0.0,12,1236.0
2013-09-22,103.0,105.0,105.0,105.0,0.0,159,16695.0
2013-09-17,107.0,105.0,103.0,103.0,0.0,383,39865.0
2013-09-16,108.0,107.0,107.0,107.0,0.0,55,5885.0
2013-09-15,102.0,110.0,104.0,108.0,0.0,1253,136952.0
2013-09-02,98.0,102.0,99.0,102.0,0.0,262,26136.0
2013-08-25,97.0,98.0,98.0,98.0,0.0,53,5194.0
2013-08-20,96.0,97.0,97.0,97.0,0.0,10,970.0
2013-08-14,94.0,96.0,95.0,96.0,0.0,324,31084.0
2013-07-29,93.0,94.0,94.0,94.0,0.0,84,7896.0
2013-07-25,94.0,93.0,93.0,93.0,0.0,3308,307644.0
2013-06-26,93.0,94.0,94.0,94.0,0.0,10,940.0
2013-06-25,92.0,93.0,93.0,93.0,0.0,44,4092.0
2013-06-19,91.0,92.0,92.0,92.0,0.0,60,5520.0
2013-06-12,89.0,91.0,90.0,91.0,0.0,304,27519.0
2013-06-10,88.0,89.0,89.0,89.0,0.0,3000,267000.0
2013-06-09,87.0,88.0,88.0,88.0,0.0,3600,316800.0
2013-05-23,87.0,88.0,87.0,87.0,0.0,347,30236.0
2013-05-20,84.0,87.0,84.0,87.0,0.0,87,7411.0
2013-05-19,82.0,84.0,83.0,84.0,0.0,22,1836.0
2013-05-16,90.0,83.0,82.0,82.0,0.0,107,8817.0
2013-02-14,98.0,90.0,90.0,90.0,0.0,10,900.0
2012-09-23,100.0,98.0,98.0,98.0,0.0,166,16268.0
2012-09-02,100.0,100.0,100.0,100.0,0.0,300,30000.0
2012-08-22,101.0,100.0,100.0,100.0,0.0,300,30000.0
2012-07-24,101.0,101.0,101.0,101.0,0.0,20,2020.0
2012-06-20,103.0,101.0,101.0,101.0,0.0,300,30300.0
2012-06-19,103.0,103.0,103.0,103.0,0.0,10,1030.0
2012-06-12,108.0,105.0,103.0,103.0,0.0,600,62400.0
2012-05-31,112.0,110.0,108.0,108.0,0.0,87,9456.0
2012-05-30,110.0,112.0,112.0,112.0,0.0,100,11200.0
2012-05-29,108.0,112.0,110.0,110.0,0.0,260,28700.0
2012-05-27,106.0,108.0,108.0,108.0,0.0,10,1080.0
2012-05-24,100.0,106.0,102.0,106.0,0.0,30,3120.0
2012-03-27,100.0,100.0,100.0,100.0,0.0,1330,133000.0
2012-03-06,100.0,100.0,100.0,100.0,0.0,220,22000.0
2012-03-05,101.0,100.0,99.0,100.0,0.0,702,69556.0
2012-03-04,100.0,101.0,101.0,101.0,0.0,96,9696.0
2012-02-27,100.0,100.0,100.0,100.0,0.0,258,25800.0
2012-02-21,98.0,100.0,99.0,100.0,0.0,578,57322.0
2012-02-15,99.0,98.0,98.0,98.0,0.0,1218,119364.0
2012-02-14,99.0,99.0,98.0,99.0,0.0,1472,144666.0
2012-02-13,97.0,99.0,98.0,99.0,0.0,1569,154007.0
2012-02-12,99.0,100.0,97.0,97.0,0.0,8081,806200.0
2012-02-09,99.0,99.0,98.0,99.0,0.0,1013,99651.0
2012-02-08,118.0,103.0,99.0,99.0,0.0,12758,1275053.0
2012-02-05,116.0,118.0,118.0,118.0,0.0,50,5900.0
2012-02-02,120.0,118.0,116.0,116.0,0.0,742,86826.0
2012-02-01,120.0,120.0,120.0,120.0,0.0,258,30960.0
2012-01-31,126.0,126.0,120.0,120.0,0.0,388,47340.0
2011-12-29,139.0,137.0,126.0,126.0,0.0,3067,395429.0
2011-12-28,141.0,139.0,139.0,139.0,0.0,5000,695000.0
2011-12-26,143.0,141.0,141.0,141.0,0.0,140,19740.0
2011-09-20,145.0,143.0,143.0,143.0,0.0,136,19448.0
2011-08-30,150.0,147.0,145.0,145.0,0.0,258,37668.0
2011-08-16,150.0,150.0,150.0,150.0,0.0,388,58200.0
2011-07-04,150.0,150.0,150.0,150.0,0.0,130,19500.0
2011-05-15,148.0,150.0,150.0,150.0,0.0,185,27750.0
2011-04-06,148.0,148.0,148.0,148.0,0.0,884,130832.0
2011-03-31,151.0,148.0,148.0,148.0,0.0,579,85692.0
