date,open,high,low,ltp,percent_change,qty,turnover
2014-06-11,102.0,102.0,102.0,102.0,0.0,3389,345678.0
2014-01-09,100.0,102.0,102.0,102.0,0.0,35674,3638748.0
2013-01-30,100.0,100.0,100.0,100.0,0.0,100209,10020900.0
2012-07-05,107.0,105.0,100.0,100.0,0.0,45000,4590000.0
2012-06-27,108.0,107.0,107.0,107.0,0.0,10000,1070000.0
2012-06-25,109.0,108.0,108.0,108.0,0.0,10000,1080000.0
2012-06-21,109.0,109.0,109.0,109.0,0.0,10000,1090000.0
2012-06-13,109.0,109.0,109.0,109.0,0.0,10000,1090000.0
2012-06-06,111.0,109.0,109.0,109.0,0.0,5000,545000.0
2012-06-05,115.0,111.0,111.0,111.0,0.0,5000,555000.0
2011-07-12,0.0,115.0,115.0,115.0,0.0,8008,920920.0
