date,open,high,low,ltp,percent_change,qty,turnover
2014-05-13,206.0,209.0,198.0,198.0,0.0,1972,400054.0
2014-05-12,193.0,206.0,196.0,206.0,0.0,450,91507.0
2014-05-11,184.0,193.0,185.0,193.0,0.0,4910,927237.0
2014-05-07,186.0,184.0,184.0,184.0,0.0,3402,625968.0
2014-05-06,192.0,211.0,186.0,186.0,0.0,8573,1707630.0
2014-05-05,188.0,206.0,191.0,192.0,0.0,4031,829576.0
2014-05-04,171.0,188.0,174.0,188.0,0.0,60,10880.0
2014-04-30,156.0,171.0,159.0,171.0,0.0,267,44055.0
2014-04-29,142.0,156.0,144.0,156.0,0.0,60,8970.0
2014-04-20,140.0,142.0,142.0,142.0,0.0,50,7100.0
2014-04-13,138.0,140.0,140.0,140.0,0.0,672,94080.0
2014-04-10,134.0,138.0,136.0,138.0,0.0,146,20128.0
2014-04-07,132.0,134.0,134.0,134.0,0.0,333,44622.0
2014-04-03,132.0,132.0,132.0,132.0,0.0,27731,3660492.0
2014-04-02,130.0,132.0,132.0,132.0,0.0,893,117876.0
2014-04-01,128.0,130.0,130.0,130.0,0.0,163,21190.0
2014-03-25,135.0,133.0,128.0,128.0,0.0,2124,278416.0
2014-03-24,138.0,136.0,135.0,135.0,0.0,323,43915.0
2014-03-23,144.0,142.0,138.0,138.0,0.0,981,138256.0
2014-03-13,146.0,144.0,144.0,144.0,0.0,119,17136.0
2014-03-11,148.0,146.0,146.0,146.0,0.0,227,33142.0
2014-03-09,151.0,148.0,148.0,148.0,0.0,117,17316.0
2014-03-04,154.0,151.0,151.0,151.0,0.0,30,4530.0
2014-02-24,157.0,154.0,154.0,154.0,0.0,327,50358.0
2014-02-17,163.0,160.0,157.0,157.0,0.0,104,16370.0
2014-02-13,166.0,163.0,163.0,163.0,0.0,113,18419.0
2014-02-12,172.0,169.0,166.0,166.0,0.0,90,15075.0
2014-02-11,175.0,172.0,172.0,172.0,0.0,45,7740.0
2014-01-27,177.0,175.0,175.0,175.0,0.0,282,49350.0
2014-01-26,183.0,180.0,177.0,177.0,0.0,489,87120.0
2013-12-08,186.0,183.0,183.0,183.0,0.0,50,9150.0
2013-11-28,189.0,186.0,186.0,186.0,0.0,28031,5213766.0
2013-04-09,192.0,189.0,189.0,189.0,0.0,17,3213.0
2013-04-08,198.0,195.0,192.0,192.0,0.0,61,11796.0
2012-11-21,219.0,215.0,198.0,198.0,0.0,217,44955.0
2012-04-18,227.0,223.0,219.0,219.0,0.0,255,56465.0
2012-01-25,231.0,227.0,227.0,227.0,0.0,92,20884.0
2011-11-23,235.0,231.0,231.0,231.0,0.0,30,6930.0
2011-11-09,239.0,235.0,235.0,235.0,0.0,362,85070.0
2011-11-08,241.0,239.0,239.0,239.0,0.0,35,8365.0
2011-10-25,245.0,241.0,241.0,241.0,0.0,14,3374.0
2011-10-02,250.0,245.0,245.0,245.0,0.0,20,4900.0
2011-07-03,246.0,250.0,250.0,250.0,0.0,50,12500.0
2011-06-06,243.0,251.0,243.0,246.0,0.0,453,111697.0
2011-06-02,243.0,247.0,243.0,243.0,0.0,30,7370.0
2011-06-01,232.0,243.0,236.0,243.0,0.0,80,19140.0
2011-05-30,212.0,232.0,212.0,232.0,0.0,222,49681.0
2011-05-12,218.0,214.0,212.0,212.0,0.0,62,13176.0
2011-05-03,210.0,218.0,214.0,218.0,0.0,30,6500.0
2011-04-21,214.0,210.0,210.0,210.0,0.0,20,4200.0
2011-04-11,210.0,214.0,214.0,214.0,0.0,10,2140.0
2011-03-30,211.0,210.0,210.0,210.0,0.0,945,198450.0
