date,open,high,low,ltp,percent_change,qty,turnover
2026-05-04,1122.5,1122.5,1122.1,1122.1,-0.18,40,44894.0
2026-04-27,1125.0,1124.1,1124.1,1124.1,-0.08,25,28102.5
2026-04-21,1125.0,1125.0,1125.0,1125.0,0.0,100,112500.0
2026-04-20,1125.0,1125.0,1125.0,1125.0,0.0,26,29250.0
2026-04-15,1125.0,1125.0,1125.0,1125.0,0.0,40,45000.0
2026-04-10,1125.0,1125.0,1125.0,1125.0,0.09,25,28125.0
2026-04-05,1124.0,1124.0,1124.0,1124.0,0.18,25,28100.0
2026-04-01,1122.0,1122.0,1122.0,1122.0,0.0,25,28050.0
2026-03-26,1122.0,1122.0,1122.0,1122.0,-0.53,25,28050.0
2026-03-24,1140.0,1140.0,1128.0,1128.0,-0.62,50,56700.0
2026-03-23,1135.0,1135.0,1135.0,1135.0,-1.94,25,28375.0
2026-03-22,1181.0,1181.0,1153.0,1157.4,-2.0,253,292105.0
2026-03-17,1158.0,1181.0,1158.0,1181.0,2.0,145,169650.0
2026-03-03,1156.0,1157.8,1156.0,1157.8,2.0,40,46267.0
2026-03-01,1135.1,1135.1,1135.1,1135.1,-1.72,25,28377.5
2026-02-26,1155.0,1155.0,1155.0,1155.0,0.43,54,62370.0
2026-02-24,1150.0,1150.0,1150.0,1150.0,1.76,25,28750.0
2026-02-17,1130.1,1130.1,1130.1,1130.1,0.01,38,42943.8
2026-02-10,1130.0,1130.0,1130.0,1130.0,1.99,54,61020.0
2026-02-01,1106.0,1108.0,1106.0,1108.0,1.0,75,83050.0
2026-01-22,1097.0,1097.0,1097.0,1097.0,-1.8,11,12067.0
2026-01-20,1139.8,1139.8,1139.8,1117.1,-1.99,1,1117.1
2026-01-18,1163.0,1163.0,1139.8,1139.8,-1.99,75,85485.0
2026-01-13,1163.0,1163.0,1163.0,1163.0,1.75,100,116300.0
2026-01-05,1143.0,1143.0,1143.0,1143.0,-1.47,25,28575.0
2025-12-24,1160.0,1160.0,1160.0,1160.0,0.87,25,29000.0
2025-12-22,1133.0,1150.0,1133.0,1150.0,1.5,17,19555.6
2025-12-17,1133.0,1133.0,1133.0,1133.0,-1.99,25,28325.0
2025-12-14,1156.0,1156.0,1156.0,1156.0,1.85,175,202300.0
2025-12-09,1135.0,1135.0,1135.0,1135.0,-0.01,25,28375.0
2025-11-26,1135.1,1135.1,1135.1,1135.1,0.19,25,28377.5
2025-11-23,1133.0,1133.0,1133.0,1133.0,-1.48,100,113300.0
2025-11-20,1150.0,1150.0,1150.0,1150.0,1.58,30,34500.0
2025-11-19,1132.1,1132.1,1132.1,1132.1,-4.87,25,28302.5
2025-11-18,1170.0,1190.0,1170.0,1190.0,2.15,125,147500.0
2025-11-16,1155.0,1165.0,1155.0,1165.0,2.37,125,145035.0
2025-11-13,1137.0,1138.0,1137.0,1138.0,-0.96,50,56875.0
