date,open,high,low,ltp,percent_change,qty,turnover
2012-06-28,476.0,486.0,462.0,468.0,0.0,8733,4109134.0
2012-06-27,471.0,483.0,465.0,476.0,0.0,4743,2231116.0
2012-06-26,481.0,477.0,470.0,471.0,0.0,1354,639347.0
2012-06-25,470.0,492.0,475.0,481.0,0.0,3588,1716144.0
2012-06-21,460.0,476.0,468.0,470.0,0.0,1135,534010.0
2012-06-20,450.0,467.0,458.0,460.0,0.0,535,246954.0
2012-06-19,456.0,452.0,445.0,450.0,0.0,1155,518315.0
2012-06-18,451.0,456.0,440.0,456.0,0.0,1917,854720.0
2012-06-17,454.0,455.0,446.0,451.0,0.0,1238,558449.0
2012-06-14,452.0,458.0,451.0,454.0,0.0,2240,1015198.0
2012-06-13,462.0,458.0,452.0,452.0,0.0,612,278120.0
2012-06-12,459.0,469.0,451.0,462.0,0.0,2679,1230698.0
2012-06-11,448.0,483.0,455.0,459.0,0.0,4609,2141988.0
2012-06-10,471.0,489.0,448.0,448.0,0.0,4204,1930233.0
2012-06-07,478.0,488.0,444.0,471.0,0.0,7766,3631991.0
2012-06-06,496.0,496.0,474.0,478.0,0.0,2420,1154743.0
2012-06-05,507.0,505.0,490.0,496.0,0.0,6211,3071744.0
2012-06-04,530.0,540.0,500.0,507.0,0.0,4742,2422735.0
2012-06-03,503.0,546.0,513.0,530.0,0.0,3927,2103740.0
2012-05-31,558.0,547.0,503.0,503.0,0.0,3552,1790256.0
2012-05-30,580.0,569.0,558.0,558.0,0.0,20,11270.0
2012-05-27,553.0,589.0,555.0,580.0,0.0,3940,2270670.0
2012-05-24,519.0,565.0,520.0,553.0,0.0,7266,3942013.0
2012-05-23,568.0,557.0,518.0,519.0,0.0,2246,1183854.0
2012-05-22,596.0,585.0,562.0,568.0,0.0,2174,1234487.0
2012-05-21,553.0,596.0,542.0,596.0,0.0,3791,2161639.0
2012-05-20,583.0,593.0,552.0,553.0,0.0,4586,2589849.0
2012-05-17,575.0,608.0,564.0,583.0,0.0,16161,9453794.0
2012-05-16,564.0,575.0,575.0,575.0,0.0,10,5750.0
2012-05-15,513.0,564.0,523.0,564.0,0.0,1845,1009130.0
2012-05-14,546.0,536.0,496.0,513.0,0.0,5016,2546634.0
