date,open,high,low,ltp,percent_change,qty,turnover
2026-08-14,1015.0,1015.0,1005.0,1005.3,-3.06,950,955965.0
2026-08-05,1029.0,1037.0,1029.0,1037.0,0.97,900,930400.0
2026-07-29,1027.1,1027.1,1027.0,1027.0,0.1,300,308105.6
2026-07-28,1025.9,1026.0,1025.9,1026.0,-0.3,600,615570.0
2026-07-27,1035.0,1035.0,1028.1,1029.1,-1.8,99,102143.6
2026-07-23,1048.0,1048.0,1048.0,1048.0,-2.95,20,20960.0
2026-07-16,1079.9,1079.9,1079.9,1079.9,2.65,10,10799.0
2026-07-15,1057.0,1057.0,1052.0,1052.0,0.19,208100,218961700.0
2026-07-13,1045.0,1050.0,1041.0,1050.0,-2.33,8480,8852880.0
2026-07-09,1045.0,1097.2,1045.0,1075.0,2.87,115,124876.7
2026-07-08,1045.0,1045.0,1044.0,1045.0,0.0,1870,1954100.0
2026-07-03,1045.0,1045.0,1045.0,1045.0,0.87,100,104500.0
2026-07-02,1043.0,1043.0,1036.0,1036.0,-1.33,50,52051.5
2026-06-18,1050.0,1050.0,1050.0,1050.0,0.69,25,26250.0
2026-06-17,1042.8,1042.8,1042.8,1042.8,-3.0,12,12513.6
2026-06-08,1075.0,1075.0,1075.0,1075.0,-2.71,25,26875.0
2026-05-14,1105.0,1105.0,1105.0,1105.0,-2.9,20,22100.0
2026-03-23,1138.0,1138.0,1138.0,1138.0,1.61,17,19346.0
2026-02-26,1119.5,1120.0,1119.5,1120.0,0.04,265,296692.5
2026-01-18,1097.6,1119.5,1097.6,1119.5,-0.04,845,939996.0
2026-01-04,1100.0,1120.0,1100.0,1120.0,1.82,225,251500.0
2026-01-01,1120.0,1120.0,1115.0,1100.0,-2.91,105,117250.0
2025-12-23,1133.0,1133.0,1133.0,1133.0,-1.39,200,226600.0
2025-12-14,1130.0,1130.0,1130.0,1149.0,1.68,5,5745.0
2025-12-08,1130.0,1130.0,1130.0,1130.0,-1.4,20,22600.0
2025-11-24,1103.0,1142.0,1103.0,1146.0,3.9,20,22775.0
2025-11-23,1103.0,1103.0,1103.0,1103.0,-1.96,25,27575.0
2025-11-10,1125.0,1125.0,1125.0,1125.0,0.27,30,33750.0
2025-10-30,1122.0,1122.0,1122.0,1122.0,1.84,20,22440.0
2025-10-28,1101.68,1101.68,1101.68,1101.68,2.0,50,55084.0
2025-10-09,1080.2,1080.2,1080.1,1080.1,-1.94,100,108011.0
2025-09-25,1101.5,1101.5,1101.5,1101.5,1.99,10,11015.0
