date,open,high,low,ltp,percent_change,qty,turnover
2025-03-09,10.86,10.9,10.82,10.9,0.0,62600,679865.02
2025-03-06,11.02,11.02,10.86,10.9,0.83,8820,96570.8
2025-03-05,10.8,10.9,10.77,10.81,0.28,9200,99536.0
2025-03-04,10.75,10.89,10.75,10.78,-0.19,7635,82205.45
2025-03-03,10.73,10.9,10.73,10.8,-1.1,18815,203480.7
2025-03-02,10.75,10.93,10.75,10.92,1.87,18700,203880.0
2025-02-27,11.0,11.0,10.64,10.72,-0.74,88321,968030.0
2025-02-25,10.8,10.9,10.8,10.8,0.65,24820,268568.0
2025-02-24,10.7,10.73,10.7,10.73,-0.19,18500,198136.0
2025-02-23,10.7,10.75,10.7,10.75,0.37,6700,71745.0
2025-02-20,10.61,10.85,10.61,10.71,-0.83,11700,126619.0
2025-02-18,10.66,10.81,10.66,10.8,1.31,10650,114918.0
2025-02-17,10.52,10.66,10.51,10.66,-0.37,9600,101996.0
2025-02-16,10.5,10.7,10.5,10.7,0.0,10200,109069.5
2025-02-13,10.61,10.8,10.61,10.7,-0.09,534680,5770951.0
2025-02-12,10.7,10.71,10.7,10.71,0.09,20300,217276.0
2025-02-11,10.84,10.86,10.63,10.7,0.47,712100,7730422.0
2025-02-10,10.55,10.66,10.55,10.65,0.0,15060,160103.0
2025-02-09,10.8,10.8,10.63,10.65,-1.66,12150,129351.3
2025-02-05,10.82,10.83,10.8,10.83,2.07,171800,1860297.0
2025-02-04,10.51,10.66,10.51,10.61,0.57,47940,509269.8
2025-02-03,10.7,10.72,10.55,10.55,-1.12,101695,1088032.25
2025-02-02,10.5,10.81,10.5,10.67,0.95,42450,454594.0
2025-01-28,10.57,10.7,10.56,10.57,0.09,29300,310514.0
2025-01-27,10.56,10.56,10.56,10.56,-0.09,3880,40972.8
2025-01-26,10.58,10.6,10.56,10.57,0.0,22700,239945.0
2025-01-23,10.61,10.61,10.56,10.57,-1.21,50789,538362.84
2025-01-22,10.7,10.7,10.7,10.7,1.9,14000,149800.0
2025-01-21,10.55,10.6,10.4,10.5,-0.94,82124,863990.0
2025-01-20,10.5,10.6,10.5,10.6,-0.93,11000,116050.0
2025-01-19,10.5,10.7,10.5,10.7,0.75,676,7133.2
2025-01-16,10.5,10.62,10.42,10.62,1.14,19100,200922.0
2025-01-15,10.43,10.6,10.43,10.5,-1.32,2465,25762.5
2025-01-13,10.75,10.75,10.64,10.64,0.85,600,6395.0
2025-01-12,10.5,10.55,10.5,10.55,0.0,5150,54307.5
2025-01-09,10.4,10.61,10.4,10.55,-0.28,11350,118859.0
2025-01-08,11.02,11.02,10.38,10.58,-2.13,565700,6180729.0
2025-01-07,10.8,10.81,10.59,10.81,1.98,164425,1774635.5
2025-01-06,10.6,10.6,10.4,10.6,1.44,15800,167320.0
2025-01-05,10.37,10.45,10.37,10.45,-1.04,5100,53277.0
2025-01-02,10.35,10.56,10.35,10.56,1.54,6100,64245.0
2025-01-01,10.32,10.4,10.32,10.4,0.87,11000,114257.0
2024-12-31,10.5,10.5,10.2,10.31,-0.19,103000,1060498.0
2024-12-29,10.33,10.33,10.33,10.33,-0.67,170,1756.1
2024-12-26,10.42,10.42,10.02,10.4,-2.16,264980,2686574.75
2024-12-24,10.6,10.63,10.29,10.63,0.0,239775,2506792.25
2024-12-23,10.79,10.79,10.63,10.63,0.28,600,6394.0
2024-12-22,10.43,10.6,10.43,10.6,0.0,32404,343128.36
2024-12-19,10.56,10.6,10.56,10.6,-0.84,6600,69921.28
2024-12-18,10.7,10.7,10.68,10.69,-0.56,12500,133611.0
2024-12-17,10.81,10.84,10.7,10.75,-2.18,19700,212234.1
2024-12-12,10.74,10.99,10.74,10.99,0.83,15200,166793.0
2024-12-11,10.7,10.9,10.7,10.9,1.68,1330,14267.0
2024-12-10,10.79,10.79,10.7,10.72,-0.65,23160,248850.0
2024-12-09,10.79,10.81,10.79,10.79,-1.01,36100,389791.0
2024-12-08,10.85,10.9,10.85,10.9,-0.09,7326,79803.4
2024-12-05,11.0,11.0,10.91,10.91,-0.46,47650,520096.5
2024-12-04,10.9,11.0,10.9,10.96,0.09,10700,117084.0
2024-12-03,11.0,11.09,10.9,10.95,0.46,100880,1115589.95
2024-12-02,11.04,11.04,10.84,10.9,-1.27,7800,85570.0
2024-12-01,11.0,11.1,11.0,11.04,0.36,8958,98865.32
2024-11-28,11.01,11.01,11.0,11.0,-0.99,2488,27382.88
2024-11-27,10.82,11.11,10.82,11.11,2.68,17650,194967.0
2024-11-26,10.85,10.9,10.8,10.82,-0.28,2150,23280.0
2024-11-25,10.9,10.94,10.85,10.85,-0.82,15800,172380.0
2024-11-24,10.61,10.94,10.61,10.94,1.39,21725,235325.25
2024-11-21,10.56,10.97,10.56,10.79,0.19,25020,273996.2
2024-11-20,10.75,10.79,10.75,10.77,-1.01,86000,926130.0
2024-11-19,10.8,10.88,10.8,10.88,0.28,4900,53107.0
2024-11-17,10.7,10.9,10.7,10.85,-0.46,12000,128743.0
2024-11-14,11.12,11.12,10.9,10.9,-0.09,5400,58948.0
2024-11-13,10.82,11.03,10.82,10.91,-0.73,8450,92369.0
2024-11-12,10.76,10.99,10.76,10.99,0.55,10200,112032.0
2024-11-11,11.0,11.22,10.78,10.93,-0.64,7100,77672.0
2024-11-10,10.98,11.0,10.91,11.0,0.92,4251,46667.41
2024-11-06,10.7,10.9,10.6,10.9,1.21,11050,120037.5
2024-11-05,10.98,10.98,10.77,10.77,-3.84,1400,15288.0
2024-10-30,10.79,11.2,10.61,11.2,1.73,22494,246019.0
2024-10-29,10.8,11.01,10.7,11.01,3.57,24337,266158.64
2024-10-28,10.6,10.81,10.6,10.63,0.38,2100,22324.5
2024-10-27,10.5,10.85,10.5,10.59,1.63,16400,175757.0
2024-10-24,10.4,10.49,10.4,10.42,-1.33,20700,215308.0
2024-10-23,10.63,10.63,10.42,10.56,-2.58,13325,141139.5
2024-10-22,10.84,10.84,10.81,10.84,0.0,1875,20293.5
2024-10-21,10.84,10.84,10.84,10.84,-1.19,29385,318533.4
2024-10-20,10.79,10.97,10.7,10.97,1.95,351123,3828175.7
2024-10-17,10.83,10.9,10.72,10.76,1.22,65250,703397.0
2024-10-16,10.59,10.69,10.59,10.63,0.19,25570,271301.3
2024-10-15,10.68,10.69,10.61,10.61,-0.84,3235,34544.35
2024-10-09,10.56,10.7,10.56,10.7,3.28,5300,56570.0
2024-10-08,10.52,10.52,10.36,10.36,-3.45,12100,127276.0
2024-10-07,10.6,10.74,10.6,10.73,2.0,176105,1878147.5
2024-10-06,10.0,10.52,10.0,10.52,3.65,114130,1179918.2
2024-10-02,10.15,10.15,10.15,10.15,1.5,3000,30450.0
2024-10-01,10.0,10.19,10.0,10.0,-1.96,72600,729998.0
2024-09-30,9.9,10.2,9.9,10.2,1.59,22436,222367.29
2024-09-29,9.85,10.04,9.85,10.04,0.2,1500,14965.0
2024-09-25,9.95,10.3,9.95,10.02,-1.28,78345,805393.5
2024-09-24,10.1,10.35,10.1,10.15,1.5,127380,1297150.6
2024-09-23,10.12,10.21,10.0,10.0,-3.1,49200,499288.0
2024-09-22,10.31,10.5,10.2,10.32,0.19,21750,223982.0
2024-09-18,10.72,10.72,10.3,10.3,-5.76,26350,278167.5
2024-09-16,10.72,10.93,10.19,10.93,0.0,14450,149255.0
2024-09-15,10.95,11.16,10.53,10.93,-2.15,33800,361766.0
2024-09-12,11.1,11.17,11.0,11.17,0.54,65870,733066.9
2024-09-11,11.32,11.32,11.11,11.11,-0.8,22300,250653.0
2024-09-10,11.3,11.3,11.08,11.2,-0.44,27700,311889.0
2024-09-09,11.2,11.32,11.02,11.25,0.45,20600,230264.5
2024-09-08,11.1,11.3,11.1,11.2,-0.88,22638,253020.6
2024-09-05,11.4,11.55,11.3,11.3,-0.53,33600,380592.0
2024-09-04,11.73,11.73,11.32,11.36,-1.22,82800,947044.0
2024-09-03,11.61,11.61,11.3,11.5,0.97,7573,85848.5
2024-09-02,11.41,11.5,11.36,11.39,-1.21,12000,136893.0
2024-09-01,11.5,11.73,11.48,11.53,-1.45,16850,195141.5
2024-08-29,11.35,11.91,11.35,11.7,1.92,101200,1173119.4
2024-08-28,11.22,11.67,11.2,11.48,2.32,237300,2688710.64
2024-08-27,11.1,11.3,11.1,11.22,-0.18,42930,482189.6
2024-08-25,11.3,11.36,11.24,11.24,-1.83,66245,747623.75
2024-08-22,11.17,11.47,11.17,11.45,1.33,45220,514930.0
2024-08-21,11.26,11.46,11.11,11.3,0.36,92148,1043190.74
2024-08-18,11.1,11.42,11.1,11.26,0.54,123850,1404728.3
2024-08-15,11.01,11.25,11.01,11.2,0.9,66374,741735.4
2024-08-14,11.0,11.23,11.0,11.1,-0.89,22600,251451.0
2024-08-13,11.11,11.59,11.08,11.2,0.81,88125,999782.0
2024-08-12,11.43,11.65,11.11,11.11,-0.89,109325,1237665.0
2024-08-11,11.35,11.58,11.21,11.21,-3.11,27500,313827.0
2024-08-08,11.2,11.57,11.05,11.57,3.67,84865,944131.5
2024-08-07,10.9,11.18,10.9,11.16,1.45,53693,589081.2
2024-08-06,11.0,11.1,10.8,11.0,0.46,31400,345486.0
2024-08-05,10.9,10.95,10.7,10.95,-1.53,20700,224296.0
2024-08-01,11.0,11.3,10.91,11.12,2.39,96330,1074007.7
2024-07-31,10.75,10.96,10.57,10.86,1.02,87509,943896.82
2024-07-30,10.6,10.75,10.58,10.75,0.0,39300,417860.0
2024-07-29,10.8,11.23,10.75,10.75,0.37,52350,567439.0
2024-07-28,10.44,10.71,10.41,10.71,2.59,15950,168490.0
2024-07-25,10.45,10.65,10.35,10.44,-0.1,25100,265275.0
2024-07-24,10.42,10.55,10.3,10.45,-1.69,8100,84526.0
2024-07-23,10.5,10.84,10.44,10.63,0.28,39020,417204.8
