date,open,high,low,ltp,percent_change,qty,turnover
2022-10-12,504.2,504.2,504.2,504.2,0.0,50000,18977000.0
2022-08-23,504.2,504.2,504.2,504.2,-0.02,84720,42715824.0
2022-08-14,504.3,504.3,504.3,504.3,-1.98,88000,44378400.0
2022-08-09,514.5,514.5,514.5,514.5,-2.0,87780,45162810.0
2022-08-07,525.0,525.0,525.0,525.0,6.12,83660,43921500.0
2022-05-24,494.7,494.7,494.7,494.7,-1.98,98000,48480600.0
2022-05-19,504.7,504.7,504.7,504.7,-1.98,100600,50772820.0
2022-05-12,514.9,514.9,514.9,514.9,-2.0,94580,48699242.0
2022-05-08,525.4,525.4,525.4,525.4,-2.0,60840,31965336.0
2022-05-04,536.1,536.1,536.1,536.1,-5.05,33727,18081044.7
2021-12-23,564.6,564.6,564.6,564.6,-2.0,41510,23436546.0
2021-12-16,576.1,576.1,576.1,576.1,-1.99,94000,54153400.0
2021-12-15,587.8,587.8,587.8,587.8,-1.98,100580,59120924.0
2021-12-14,599.7,599.7,599.7,599.7,-1.99,45000,26986500.0
2021-12-13,611.9,611.9,611.9,611.9,-1.99,62266,38100565.4
2021-12-12,624.3,624.3,624.3,624.3,-1.99,50000,31215000.0
2021-12-07,637.0,637.0,637.0,637.0,-2.0,25944,16526328.0
2021-11-25,650.0,650.0,650.0,650.0,0.0,19458,12647700.0
