date,open,high,low,ltp,percent_change,qty,turnover
2025-02-10,280.0,280.0,280.0,280.0,-6.67,21133,5917240.0
2023-11-30,300.0,300.0,300.0,300.0,0.0,389041,116712300.0
2023-08-13,300.0,300.0,300.0,300.0,-13.48,1948538,584561400.0
2022-12-15,366.0,366.0,366.0,366.0,0.0,100,32500.0
2022-12-12,366.0,366.0,366.0,366.0,0.0,200,65000.0
2022-11-29,366.0,366.0,366.0,366.0,0.0,200,65000.0
2022-11-23,350.0,350.0,350.0,350.0,7.69,140,49000.0
2022-11-15,325.0,325.0,325.0,325.0,0.0,200,65000.0
2022-10-23,366.0,366.0,366.0,366.0,0.0,1100,357500.0
2022-10-10,366.0,366.0,366.0,366.0,0.0,186500,60612500.0
2022-10-09,366.0,366.0,366.0,366.0,0.0,3100,1007500.0
2022-09-29,366.0,366.0,366.0,366.0,0.0,138000,44850000.0
2022-09-28,366.0,366.0,366.0,366.0,0.0,35000,11375000.0
2021-12-22,366.0,366.0,366.0,366.0,0.0,1000,366000.0
2021-07-28,629.0,629.0,629.0,629.0,0.0,18174,11431446.0
2021-06-17,629.0,629.0,629.0,629.0,0.0,55000,34595000.0
2021-04-15,292.0,292.0,292.0,292.0,0.0,16930,4943560.0
2020-11-05,297.0,297.0,292.0,292.0,0.0,1000,294500.0
