date,open,high,low,ltp,percent_change,qty,turnover
2026-08-11,1010.0,1010.0,1010.0,1010.0,-2.23,50,50500.0
2026-08-03,1033.0,1033.0,1033.0,1033.0,-0.02,30,30990.0
2026-07-27,1033.2,1033.2,1033.2,1033.2,-2.99,25,25830.0
2026-07-15,1065.0,1065.0,1065.0,1065.0,0.0,25,26625.0
2026-07-14,1050.0,1065.0,1050.0,1065.0,1.43,35,36900.0
2026-07-08,1050.0,1050.0,1050.0,1050.0,-1.41,45,47250.0
2026-07-03,1065.0,1065.0,1065.0,1065.0,0.0,30,31950.0
2026-06-30,1065.0,1065.0,1065.0,1065.0,0.0,40,42600.0
2026-06-29,1065.0,1065.0,1065.0,1065.0,0.0,200,213000.0
2026-06-23,1065.0,1065.0,1065.0,1065.0,0.47,25,26625.0
2026-06-18,1065.0,1065.0,1060.0,1060.0,1.82,50,53125.0
2026-06-16,1040.1,1041.1,1040.0,1041.1,-2.79,35,36412.5
2026-06-05,1040.2,1071.0,1040.2,1071.0,0.56,60,62727.5
2026-06-04,1061.0,1065.0,1061.0,1065.0,2.07,20,21260.0
2026-06-03,1043.4,1043.4,1043.4,1043.4,-2.67,10,10434.0
2026-06-02,1045.0,1072.8,1045.0,1072.0,2.91,100,106565.0
2026-06-01,1041.8,1041.8,1041.7,1041.7,-2.58,50,52086.0
2026-05-21,1069.3,1069.3,1069.3,1069.3,3.0,71,75920.3
2026-05-19,1038.2,1038.2,1038.2,1038.2,-0.37,25,25955.0
2026-05-18,1067.0,1067.0,1040.0,1042.1,-5.26,81,85103.5
2026-05-15,1100.0,1100.0,1100.0,1100.0,-2.48,20,22000.0
2025-12-15,1128.0,1128.0,1128.0,1128.0,0.36,451,508728.0
2025-12-08,1102.0,1102.0,1102.0,1124.0,2.0,1,1124.0
2025-12-07,1102.0,1102.0,1102.0,1102.0,-1.92,25,27550.0
2025-12-03,1099.9,1123.6,1099.9,1123.6,4.04,401,446537.6
2025-12-02,1080.0,1080.0,1080.0,1080.0,1.32,26,28080.0
2025-11-30,1041.0,1065.9,1035.3,1065.9,2.39,105,109855.5
2025-11-27,1040.8,1041.0,1040.8,1041.0,-1.98,50,52045.0
2025-11-24,1042.0,1062.0,1042.0,1062.0,0.19,50,52600.0
2025-11-20,1044.1,1060.0,1044.1,1060.0,-0.19,50,52602.5
2025-11-19,1046.0,1062.0,1046.0,1062.0,-0.28,49,51638.0
2025-11-18,1065.0,1065.0,1065.0,1065.0,0.47,25,26625.0
2025-11-17,1060.0,1060.0,1060.0,1060.0,0.19,77,81620.0
2025-11-13,1055.0,1055.0,1055.0,1058.0,1.53,26,27433.0
2025-11-11,1045.0,1045.0,1042.1,1042.1,-0.28,55,57388.0
2025-11-05,1045.0,1045.0,1045.0,1045.0,0.0,26,27170.0
2025-11-03,1045.0,1045.0,1045.0,1045.0,0.76,25,26125.0
2025-10-29,1035.0,1037.1,1035.0,1037.1,-1.23,50,51802.5
2025-10-28,1050.0,1050.0,1050.0,1050.0,0.0,15,15750.0
2025-10-19,1050.0,1050.0,1050.0,1050.0,1.92,25,26250.0
2025-10-14,1030.2,1030.2,1030.2,1030.2,2.0,25,25755.0
2025-09-23,1010.0,1010.0,1010.0,1010.0,-1.94,30,30300.0
2025-08-28,1030.0,1030.0,1030.0,1030.0,0.98,25,25750.0
2025-08-27,1020.0,1020.0,1020.0,1020.0,-0.97,46,46920.0
2025-08-26,1030.0,1050.0,1030.0,1030.0,-1.98,724,746720.0
2025-08-25,1010.0,1050.8,1010.0,1050.8,4.06,100,103341.0
2025-08-24,1009.0,1009.8,1009.0,1009.8,2.0,40,40380.0
2025-08-13,990.0,990.0,990.0,990.0,-1.0,50,49500.0
2025-08-05,1000.0,1000.0,1000.0,1000.0,-1.17,15,15000.0
2025-07-23,1000.0,1011.8,1000.0,1011.8,1.18,81,81263.8
2025-07-20,1000.0,1000.0,1000.0,1000.0,0.81,45,45000.0
2025-07-17,994.7,995.0,980.0,992.0,-2.27,256,254305.7
2025-07-16,1015.0,1015.0,1015.0,1015.0,1.5,59,59885.0
2025-07-15,1020.0,1020.0,1000.0,1000.0,-0.01,57,57345.0
2025-07-07,1000.1,1000.1,1000.1,1000.1,0.01,25,25002.5
2025-06-26,1000.0,1000.0,1000.0,1000.0,1.51,45,45000.0
2025-06-23,985.1,985.1,985.1,985.1,-1.59,25,24627.5
2025-06-18,1001.0,1001.0,1001.0,1001.0,-1.86,25,25025.0
2025-06-12,1020.0,1020.0,1020.0,1020.0,2.0,25,25500.0
2025-06-04,1000.0,1000.0,1000.0,1000.0,-1.86,25,25000.0
2025-06-02,1019.0,1019.0,1019.0,1019.0,1.94,105,106995.0
2025-05-20,999.6,999.6,999.6,999.6,-0.34,25,24990.0
2025-05-14,1003.0,1003.0,1003.0,1003.0,1.99,50,50150.0
2025-05-13,983.4,983.4,983.4,983.4,-1.76,100,98340.0
2025-05-11,1001.0,1001.0,1001.0,1001.0,0.1,30,30030.0
2025-05-08,1000.0,1000.0,1000.0,1000.0,0.82,25,25000.0
2025-05-05,972.5,972.5,972.5,991.9,1.99,1,991.9
2025-04-27,972.5,972.5,972.5,972.5,-1.52,50,48625.0
2025-04-22,987.5,987.5,987.5,987.5,1.99,25,24687.5
2025-04-21,968.2,968.2,968.2,968.2,-1.0,25,24205.0
2025-04-16,978.0,978.0,978.0,978.0,-0.11,25,24450.0
2025-04-09,979.1,979.1,979.1,979.1,-1.05,25,24477.5
2025-04-07,970.1,970.1,970.1,989.5,2.0,1,989.5
2025-04-02,975.0,975.0,970.1,970.1,0.01,115,111806.5
2025-03-30,970.1,970.1,970.0,970.0,0.52,85,82451.0
2025-03-24,965.0,965.0,965.0,965.0,1.05,25,24125.0
2025-02-23,955.0,955.0,955.0,955.0,0.0,25,23875.0
2025-02-16,955.0,955.0,955.0,955.0,0.0,30,28650.0
2025-01-28,955.0,955.0,955.0,955.0,-0.52,25,23875.0
2025-01-26,960.0,960.0,960.0,960.0,0.0,25,24000.0
2025-01-20,960.0,960.0,960.0,960.0,-1.54,25,24000.0
2025-01-19,980.0,980.0,975.0,975.0,-2.5,590,575775.0
2025-01-12,1000.0,1000.0,1000.0,1000.0,-0.89,50,50000.0
2025-01-06,1009.0,1009.0,1009.0,1009.0,-0.1,25,25225.0
2025-01-05,1010.0,1010.0,1010.0,1010.0,-1.46,10,10100.0
2025-01-01,1025.0,1025.0,1025.0,1025.0,1.99,25,25625.0
2024-12-22,1005.0,1005.0,1005.0,1005.0,0.1,25,25125.0
2024-12-17,1004.0,1004.0,1004.0,1004.0,-0.01,25,25100.0
2024-12-11,1004.1,1004.1,1004.1,1004.1,1.94,25,25102.5
2024-12-05,985.0,985.0,985.0,985.0,0.0,30,29550.0
2024-12-02,985.0,985.0,985.0,985.0,-0.96,30,29550.0
2024-11-24,975.0,994.5,975.0,994.5,1.48,60,59182.5
2024-11-14,980.0,980.0,980.0,980.0,0.0,50,49000.0
2024-11-10,980.0,980.0,980.0,980.0,0.0,25,24500.0
2024-10-29,980.0,980.0,980.0,980.0,-1.95,10,9800.0
2024-10-17,999.5,999.5,999.5,999.5,1.99,30,29985.0
2024-10-16,980.0,980.0,980.0,980.0,-0.51,25,24500.0
2024-10-15,985.0,985.0,985.0,985.0,0.0,25,24625.0
2024-10-09,985.0,985.0,985.0,985.0,0.51,10,9850.0
2024-10-06,980.0,980.0,980.0,980.0,-2.0,25,24500.0
2024-10-02,979.0,1000.0,979.0,1000.0,4.18,120,118770.0
2024-10-01,941.4,941.4,941.1,941.1,1.96,55,51862.0
2024-09-26,924.0,924.0,923.0,923.0,-1.7,50,46175.0
2024-09-23,939.0,939.0,939.0,939.0,0.01,25,23475.0
2024-09-22,938.9,938.9,938.9,938.9,2.0,50,46945.0
2024-09-11,920.5,920.5,920.5,920.5,-0.01,25,23012.5
2024-09-08,920.6,920.6,920.6,920.6,-1.98,25,23015.0
2024-09-03,939.0,940.0,939.0,939.2,0.6,75,70443.0
2024-08-25,952.6,952.6,933.6,933.6,-3.95,530,497278.0
2024-08-22,934.9,972.0,934.9,972.0,5.57,190,180487.5
2024-08-21,885.1,920.7,885.1,920.7,4.03,340,303183.0
2024-08-13,885.0,885.0,885.0,885.0,-1.67,25,22125.0
2024-08-12,885.0,900.0,885.0,900.0,1.69,75,67125.0
2024-08-11,879.5,885.0,879.5,885.0,-0.72,85,75000.0
2024-08-08,891.4,891.4,891.4,891.4,1.99,75,66855.0
2024-08-07,890.2,890.2,874.0,874.0,-1.81,50,44105.0
2024-08-05,890.1,890.1,890.1,890.1,-1.75,100,89010.0
