date,open,high,low,ltp,percent_change,qty,turnover
2025-10-08,436.0,436.0,436.0,436.0,0.0,600000,138600000.0
2024-06-23,436.0,436.0,436.0,436.0,0.0,1000,436000.0
2023-04-06,407.0,407.0,407.0,407.0,2.97,1000,407000.0
2020-11-25,395.25,395.25,395.25,395.25,295.25,1070205,422998526.25
2020-03-02,100.0,100.0,100.0,100.0,0.0,7749,774900.0
2019-12-11,245.0,245.0,245.0,245.0,-22.69,5000,1225000.0
2019-08-01,316.92,316.92,316.92,316.92,-65.17,235255,74557016.0
2016-12-20,910.0,910.0,910.0,910.0,0.0,238,216580.0
2016-12-04,249.0,200.0,200.0,200.0,0.0,3990,798000.0
2016-09-11,249.0,175.0,175.0,175.0,0.0,26597,4654475.0
2015-12-15,249.0,0.0,0.0,249.0,0.0,209251,27202630.0
2015-09-13,249.0,249.0,249.0,249.0,0.0,30,7470.0
2015-08-06,249.0,249.0,249.0,249.0,0.0,50,12450.0
2015-06-07,254.0,249.0,249.0,249.0,0.0,15000,3735000.0
2015-06-03,264.0,259.0,254.0,254.0,0.0,20,5130.0
2015-06-02,279.0,274.0,264.0,264.0,0.0,30,8070.0
2015-06-01,294.0,289.0,279.0,279.0,0.0,30,8520.0
2015-05-28,312.0,306.0,294.0,294.0,0.0,30,9000.0
2015-05-27,330.0,324.0,312.0,312.0,0.0,30,9540.0
2015-05-26,330.0,330.0,330.0,330.0,0.0,10,3300.0
2014-10-15,140.0,140.0,140.0,140.0,0.0,225820,31614800.0
2014-09-14,0.0,140.0,140.0,140.0,0.0,122408,17137120.0
