date,open,high,low,ltp,percent_change,qty,turnover
2026-08-12,1217.0,1217.0,1217.0,1217.0,-2.9,3000,3651000.0
2026-08-05,1253.3,1253.3,1253.3,1253.3,-3.0,60,75198.0
2026-08-04,1281.0,1292.0,1281.0,1292.0,3.78,65,83621.0
2026-08-03,1266.0,1266.0,1245.0,1245.0,-1.66,35,44100.0
2026-07-31,1266.0,1266.0,1266.0,1266.0,-0.02,55,69630.0
2026-07-27,1220.1,1266.2,1220.1,1266.2,3.78,1544,1955003.3
2026-07-24,1220.1,1220.1,1220.1,1220.1,-2.49,25,30502.5
2026-07-20,1290.0,1290.0,1251.3,1251.3,-1.63,145,185115.0
2026-07-16,1271.0,1272.0,1271.0,1272.0,1.76,30951,39369622.0
2026-07-14,1274.0,1274.0,1250.0,1250.0,0.14,310519,391641792.0
2026-07-10,1248.3,1248.3,1248.3,1248.3,3.0,300,374490.0
2026-07-09,1212.0,1212.0,1212.0,1212.0,-0.02,50,60600.0
2026-07-08,1248.9,1248.9,1212.2,1212.2,-5.85,35,43344.5
2026-07-07,1287.5,1287.5,1287.5,1287.5,3.0,67,86262.5
2026-07-06,1274.0,1274.0,1250.0,1250.0,-1.57,49344,62863656.0
2026-07-01,1275.0,1280.0,1270.0,1270.0,-0.78,111230,141262625.0
2026-06-26,1230.8,1290.4,1230.8,1280.0,7.11,31041,40054063.9
2026-06-23,1195.0,1195.0,1195.0,1195.0,-0.99,30,35850.0
2026-06-19,1208.0,1208.0,1207.0,1207.0,0.17,3000,3623000.0
2026-06-18,1204.0,1205.0,1204.0,1205.0,3.08,75,90340.0
2026-06-16,1223.0,1223.0,1169.0,1169.0,-3.84,49409,57762829.0
2026-06-10,1223.0,1223.0,1215.7,1215.7,-3.57,59877,72792651.4
2026-06-03,1254.0,1255.0,1254.0,1260.7,3.0,63,79072.1
2026-06-01,1225.0,1225.0,1224.0,1224.0,0.49,50,61225.0
2026-05-27,1223.0,1223.0,1218.0,1218.0,-2.17,53,64679.0
2026-05-25,1245.0,1245.0,1245.0,1245.0,-0.32,25,31125.0
2026-05-22,1249.0,1249.0,1249.0,1249.0,2.8,27,33723.0
2026-05-19,1216.0,1216.1,1215.0,1215.0,-1.38,85,103352.0
2026-05-15,1232.0,1232.0,1232.0,1232.0,-2.99,100,123200.0
2026-04-30,1270.0,1270.0,1270.0,1270.0,-2.98,140,177800.0
2026-04-27,1300.0,1309.0,1290.0,1309.0,0.69,105,136325.0
2026-04-21,1300.0,1300.0,1300.0,1300.0,0.0,100,130000.0
2026-04-20,1300.0,1300.0,1300.0,1300.0,0.0,600,780000.0
2026-04-17,1300.0,1300.0,1300.0,1300.0,1.56,300,390000.0
2026-04-16,1280.0,1280.0,1280.0,1280.0,-1.16,25,32000.0
2026-04-07,1295.0,1295.0,1295.0,1295.0,-1.75,475,615125.0
2026-04-06,1292.3,1318.0,1292.3,1318.0,1.99,80,105440.0
2026-04-01,1280.0,1292.3,1280.0,1292.3,2.0,115,148281.0
2026-03-22,1188.0,1267.0,1187.5,1267.0,6.65,282,355156.9
2026-03-19,1188.0,1188.0,1188.0,1188.0,-0.08,25,29700.0
2026-03-16,1198.0,1198.0,1198.0,1189.0,-0.75,6,7134.0
2026-02-22,1182.0,1198.0,1182.0,1198.0,1.35,26,31150.1
2026-02-17,1182.0,1182.0,1182.0,1182.0,-0.26,50,59100.0
2026-02-11,1185.1,1185.1,1185.1,1185.1,-1.32,25,29627.5
2026-02-08,1201.0,1201.0,1201.0,1201.0,-0.83,100,120100.0
2026-02-05,1211.0,1211.0,1211.0,1211.0,-1.62,25,30275.0
2026-02-03,1231.0,1231.0,1231.0,1231.0,0.0,25,30775.0
2026-02-02,1231.0,1231.0,1231.0,1231.0,0.08,25,30775.0
2026-01-28,1230.0,1230.0,1230.0,1230.0,0.24,25,30750.0
2026-01-26,1227.1,1230.0,1227.1,1227.0,-0.01,31,38112.0
2026-01-25,1227.1,1227.1,1227.1,1227.1,0.01,17,20860.7
2026-01-22,1251.0,1251.0,1251.0,1227.0,-1.92,8,9816.0
2026-01-21,1251.0,1251.0,1251.0,1251.0,0.0,6,7506.0
2026-01-20,1276.0,1276.0,1251.0,1251.0,-1.96,20,25020.0
2026-01-18,1302.0,1302.0,1302.0,1276.0,-2.0,5,6380.0
2026-01-13,1210.0,1302.0,1210.0,1302.0,6.2,451,584772.9
2026-01-07,1226.0,1226.0,1226.0,1226.0,0.0,25,30650.0
2026-01-05,1226.0,1226.0,1226.0,1226.0,-1.96,25,30650.0
2026-01-01,1251.0,1251.0,1226.0,1250.5,-2.0,80,99442.5
2025-12-29,1270.0,1276.0,1251.0,1276.0,2.24,239,304111.5
2025-12-28,1248.0,1248.0,1248.0,1248.0,-1.96,50,62400.0
2025-12-22,1298.0,1298.0,1273.0,1273.0,-1.93,101,128600.0
2025-12-21,1235.0,1298.0,1235.0,1298.0,5.1,154,199839.7
2025-12-17,1265.0,1265.0,1235.0,1235.0,-2.37,49703,61383238.0
2025-12-16,1265.0,1265.0,1265.0,1265.0,0.0,25,31625.0
2025-12-14,1215.0,1296.0,1215.0,1265.0,4.12,1172,1513667.3
2025-12-10,1226.0,1226.0,1215.0,1215.0,-2.88,50,61025.0
2025-12-08,1251.0,1251.0,1251.0,1251.0,-1.96,25,31275.0
2025-12-07,1251.0,1276.0,1251.0,1276.0,2.33,898,1145223.0
2025-12-03,1247.0,1247.0,1247.0,1247.0,-1.89,12,14964.0
2025-11-30,1396.5,1396.5,1268.0,1271.0,-8.99,605,781388.3
2025-11-19,1425.0,1425.0,1425.0,1396.5,-2.0,1,1396.5
2025-11-10,1322.0,1425.0,1322.0,1425.0,9.87,104402,148755904.0
2025-11-09,1224.0,1297.0,1224.0,1297.0,8.08,310,393940.0
2025-11-06,1200.0,1200.0,1200.0,1200.0,0.0,25,30000.0
2025-11-05,1200.0,1200.0,1200.0,1200.0,-0.83,49,58800.0
