fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,22.00,1.1579,23.1579,2023-01-31 [Closed]
2077/2078,21.4876,1.1309,22.6185,2021-12-12 [Closed]
2076/2077,8.00,0.42,8.42,2021-02-19 [Closed]
2075/2076,15.00,5.79,20.79,2019-12-29 [Closed]
2074/2075,15.00,5.79,20.79,2018-12-20 [Closed]
2073/2074,13.00,7.68,20.68,2017-12-24 [Closed]
2072/2073,20.00,11.05,31.05,2017-03-13 [Closed]
2071/2072,44.00,2.32,46.32,2015-12-29 [Closed]
2070/2071,25.00,20.00,45.00,2014-11-25 [Closed]
2069/2070,55.00,,55.00,2013-12-13 [Closed]
2068/2069,15.00,10.79,25.79,2012-12-21 [Closed]
2067/2068,40.00,10.00,50.00,2011-12-16 [Closed]
