date,open,high,low,ltp,percent_change,qty,turnover
2026-02-11,413.0,413.0,413.0,413.0,0.0,200000,80030000.0
2025-06-12,413.0,413.0,413.0,413.0,0.0,14000,5782000.0
2025-04-03,430.0,430.0,430.0,430.0,0.0,50000,21500000.0
2025-01-23,452.0,452.0,452.0,452.0,0.44,10000,4520000.0
2024-10-07,450.0,450.0,450.0,450.0,0.0,69992,31496400.0
2024-01-23,361.0,361.0,361.0,361.0,0.0,100000,36100000.0
2022-06-08,435.0,435.0,435.0,435.0,0.0,13100,5698500.0
2022-02-14,1006.0,1006.0,1006.0,1006.0,0.0,5000,5030000.0
2022-01-12,1006.0,1006.0,1006.0,1006.0,0.0,10000,10060000.0
2021-11-17,1006.0,1006.0,1006.0,1006.0,0.0,1300,1307800.0
2021-11-14,1006.0,1006.0,1006.0,1006.0,-1.95,5000,5030000.0
2021-11-02,1026.0,1026.0,1026.0,1026.0,2.0,5000,5130000.0
2021-09-23,1005.9,1005.9,1005.9,1005.9,2.0,22000,22129800.0
2021-09-16,986.2,986.2,986.2,986.2,2.0,20000,19724000.0
2021-09-09,966.9,966.9,966.9,966.9,1.99,30000,29007000.0
2021-08-31,948.0,948.0,948.0,948.0,1.94,5000,4740000.0
2021-08-29,930.0,930.0,930.0,930.0,0.0,2742,2550060.0
2021-08-09,930.0,930.0,930.0,930.0,0.0,4764,4430520.0
2021-08-08,920.0,930.0,920.0,930.0,1.09,8000,7390000.0
2021-06-21,920.0,920.0,920.0,920.0,0.0,4278,3935760.0
2021-06-20,920.0,920.0,920.0,920.0,0.22,17115,15745800.0
2021-05-16,918.0,918.0,918.0,918.0,1.89,3000,2754000.0
2021-04-06,865.0,901.0,865.0,901.0,6.12,20000,18019430.0
2021-04-05,849.0,849.0,849.0,849.0,1.92,30000,25470000.0
2021-04-04,833.0,833.0,833.0,833.0,1.96,10000,8330000.0
2021-03-03,817.0,817.0,817.0,817.0,-1.92,15000,12255000.0
2021-02-28,833.0,833.0,833.0,833.0,-2.0,15000,12495000.0
2021-02-25,850.0,850.0,850.0,850.0,-1.96,25000,21250000.0
2021-01-26,867.0,867.0,867.0,867.0,2.0,6595,5717865.0
2021-01-20,850.0,850.0,850.0,850.0,0.0,13000,11050000.0
2021-01-18,850.0,850.0,850.0,850.0,0.0,1000,850000.0
2021-01-17,850.0,850.0,850.0,850.0,0.0,12000,10200000.0
2021-01-13,845.0,850.0,845.0,850.0,1.19,10000,8460000.0
2021-01-10,840.0,840.0,840.0,840.0,1.2,10000,8400000.0
2021-01-07,830.0,830.0,830.0,830.0,0.0,3000,2490000.0
2021-01-05,830.0,830.0,830.0,830.0,1.97,12648,10497840.0
2020-12-28,814.0,814.0,814.0,814.0,1.88,2000,1628000.0
2020-12-20,799.0,799.0,799.0,799.0,0.0,56288,44974112.0
2020-12-14,799.0,799.0,799.0,799.0,1.91,10000,7990000.0
2020-11-29,784.0,784.0,784.0,784.0,-2.0,10000,7840000.0
2020-11-25,800.0,800.0,800.0,800.0,1.27,5000,4000000.0
2020-10-07,790.0,790.0,790.0,790.0,1.94,4186,3306940.0
2020-09-22,775.0,775.0,775.0,775.0,0.0,10000,7750000.0
2020-09-21,775.0,775.0,775.0,775.0,0.0,15000,11625000.0
2020-08-30,500.0,500.0,500.0,500.0,0.0,20000,10000000.0
2020-02-10,500.0,500.0,500.0,500.0,-0.4,21014,10507000.0
2020-02-09,502.0,502.0,502.0,502.0,0.4,22345,11217190.0
2020-01-12,500.0,500.0,500.0,500.0,0.0,11000,5500000.0
2020-01-07,500.0,500.0,500.0,500.0,-1.57,10000,5000000.0
2019-12-08,508.0,508.0,508.0,508.0,-1.93,42000,21336000.0
2019-11-13,518.0,518.0,518.0,518.0,0.0,20000,10360000.0
2019-09-22,518.0,518.0,518.0,518.0,1.97,28803,14919954.0
2019-09-11,508.0,508.0,508.0,508.0,0.0,10125,5143500.0
2019-09-05,508.0,508.0,508.0,508.0,0.0,10000,5080000.0
2019-09-04,508.0,508.0,508.0,508.0,-1.36,10000,5080000.0
2019-09-01,515.0,515.0,515.0,515.0,-1.72,20000,10300000.0
2019-08-07,524.0,524.0,524.0,524.0,-1.13,12500,6550000.0
2019-08-01,530.0,530.0,530.0,530.0,0.0,32500,17225000.0
2019-07-16,530.0,530.0,530.0,530.0,0.76,65000,34450000.0
2019-07-15,526.0,526.0,526.0,526.0,0.0,48343,25428418.0
2019-07-07,514.0,526.0,514.0,526.0,4.37,20000,10400000.0
2019-07-01,504.0,504.0,504.0,504.0,-27.27,25000,12600000.0
2019-04-30,693.0,693.0,693.0,693.0,30.26,24024,16648632.0
2019-01-22,532.0,532.0,532.0,532.0,0.0,15000,7980000.0
2019-01-10,532.0,532.0,532.0,532.0,0.0,3297,1754004.0
2019-01-03,532.0,532.0,532.0,532.0,0.0,23810,12666920.0
2018-11-18,532.0,532.0,532.0,532.0,0.0,4150,2207800.0
