fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,20.00,1.0526,21.0526,2025-09-28 [Closed]
2080/2081,20.00,5.00,25.00,2024-09-20 [Closed]
2079/2080,25.00,5.00,30.00,2023-12-26 [Closed]
2078/2079,25.00,5.00,30.00,2022-09-30 [Closed]
2077/2078,30.00,5.00,35.00,2021-09-21 [Closed]
2076/2077,0.00,10.00,10.00,2020-10-08 [Closed]
2075/2076,0.00,30.00,30.00,2019-12-26 [Closed]
2074/2075,10.00,30.00,40.00,2018-12-14 [Closed]
2073/2074,0.00,25.00,25.00,2017-12-20 [Closed]
2072/2073,10.00,10.00,20.00,2016-12-22 [Closed]
2071/2072,0.00,10.00,10.00,2015-12-24 [Closed]
2070/2071,0.00,20.00,20.00,2014-12-29 [Closed]
2069/2070,20.00,20.00,40.00,2014-02-01 [Closed]
