date,open,high,low,ltp,percent_change,qty,turnover
2026-05-04,1070.0,1070.0,1070.0,1070.0,-0.37,25,26750.0
2026-04-27,1103.0,1074.0,1074.0,1074.0,-2.63,25,26850.0
2026-04-07,1103.0,1103.0,1103.0,1103.0,-1.96,23,25369.0
2026-03-22,1090.0,1125.0,1090.0,1125.0,5.14,373,418736.0
2026-03-15,1070.0,1070.0,1070.0,1070.0,0.08,161,172270.0
2026-03-01,1069.1,1069.1,1069.1,1069.1,-1.1,25,26727.5
2026-02-25,1081.0,1081.0,1081.0,1081.0,0.0,25,27025.0
2026-02-23,1081.0,1081.0,1081.0,1081.0,0.37,15,16215.0
2026-02-17,1078.1,1078.1,1077.0,1077.0,-0.1,153,164808.5
2026-02-16,1078.1,1078.1,1078.1,1078.1,-0.19,25,26952.5
2026-02-03,1080.1,1080.1,1080.1,1080.1,-0.45,25,27002.5
2026-02-01,1085.0,1085.0,1085.0,1085.0,-1.81,25,27125.0
2026-01-29,1105.0,1105.0,1105.0,1105.0,0.0,100,110500.0
2026-01-20,1105.0,1105.0,1105.0,1105.0,-1.95,100,110500.0
2026-01-06,1127.0,1127.0,1127.0,1127.0,-1.92,25,28175.0
2026-01-04,1196.4,1196.4,1196.4,1149.1,-3.95,3,3470.7
2025-12-22,1196.4,1196.4,1196.4,1196.4,1.99,10,11964.0
2025-12-21,1118.0,1173.0,1103.1,1173.0,4.92,518,598748.0
2025-12-18,1118.0,1118.0,1118.0,1118.0,-1.07,25,27950.0
2025-12-17,1130.1,1130.1,1130.1,1130.1,1.99,50,56505.0
2025-12-14,1108.0,1108.0,1108.0,1108.0,-1.42,25,27700.0
2025-12-10,1124.0,1124.0,1124.0,1124.0,0.0,25,28100.0
2025-12-03,1124.0,1124.0,1124.0,1124.0,2.0,25,28100.0
2025-11-30,1102.0,1102.0,1102.0,1102.0,-0.72,25,27550.0
2025-11-24,1110.0,1110.0,1110.0,1110.0,-1.25,25,27750.0
2025-11-23,1124.0,1145.0,1124.0,1124.0,2.0,1045,1185458.0
2025-11-20,1102.0,1102.0,1102.0,1102.0,0.0,3,3306.0
2025-11-19,1102.1,1102.1,1102.0,1102.0,-1.96,125,137752.5
2025-11-18,1105.0,1124.0,1105.0,1124.0,0.0,200,222900.0
2025-11-17,1102.0,1124.0,1102.0,1124.0,0.54,37,41324.0
2025-11-11,1119.0,1119.0,1119.0,1118.0,-0.09,3,3354.0
2025-11-10,1141.0,1141.0,1141.0,1119.0,-1.93,1,1119.0
2025-11-03,1092.0,1141.0,1092.0,1141.0,4.49,101,115207.0
2025-10-30,1092.0,1092.0,1092.0,1092.0,-1.27,25,27300.0
2025-10-29,1120.0,1120.0,1120.0,1106.1,-1.24,1,1106.1
2025-10-28,1120.0,1120.0,1120.0,1120.0,1.81,50,56000.0
2025-10-14,1122.0,1122.0,1122.0,1100.1,-1.95,1,1100.1
2025-10-13,1079.0,1137.0,1079.0,1122.0,3.78,447,504187.0
2025-10-09,1096.0,1096.0,1081.1,1081.1,-3.04,114,124735.4
2025-10-08,1115.0,1115.0,1115.0,1115.0,-1.85,100,111500.0
2025-10-07,1086.3,1136.0,1086.3,1136.0,4.58,1001,1136925.1
2025-09-24,1086.3,1086.3,1086.3,1086.3,2.0,100,108630.0
2025-09-07,1065.0,1065.0,1065.0,1065.0,1.43,25,26625.0
2025-09-03,1050.0,1050.0,1050.0,1050.0,-0.94,50,52500.0
2025-09-02,1060.0,1060.0,1060.0,1060.0,1.92,25,26500.0
2025-08-31,1040.1,1040.1,1040.0,1040.0,-1.42,75,78002.5
2025-08-27,1050.0,1055.0,1044.0,1055.0,0.0,150,157725.0
2025-08-25,1055.0,1055.0,1055.0,1055.0,0.0,25,26375.0
2025-08-24,1076.0,1076.0,1055.0,1055.0,-1.95,200,211525.0
2025-08-21,1075.1,1076.0,1075.1,1076.0,-1.91,40,43026.5
2025-07-14,1070.0,1097.0,1070.0,1097.0,1.95,100,108447.5
2025-07-10,1076.0,1076.0,1076.0,1076.0,1.92,43,46268.0
2025-07-06,1045.7,1055.7,1045.7,1055.7,1.51,500,524850.0
2025-07-03,1040.1,1040.1,1040.0,1040.0,-1.56,50,52002.5
2025-07-02,1056.5,1056.5,1056.5,1056.5,-1.99,100,105650.0
2025-06-23,1078.0,1078.0,1078.0,1078.0,1.6,25,26950.0
2025-06-19,1061.0,1061.0,1061.0,1061.0,-1.58,25,26525.0
2025-06-09,1055.0,1078.0,1055.0,1078.0,2.18,50,53898.0
2025-06-05,1055.0,1055.0,1055.0,1055.0,0.48,25,26375.0
2025-06-04,1050.0,1050.0,1050.0,1050.0,0.38,25,26250.0
2025-05-28,1046.0,1046.0,1046.0,1046.0,0.0,25,26150.0
2025-05-27,1046.0,1046.0,1046.0,1046.0,-1.97,25,26150.0
2025-05-26,1067.0,1067.0,1067.0,1067.0,0.0,25,26675.0
2025-05-21,1067.0,1067.0,1067.0,1067.0,2.0,80,85360.0
2025-05-20,1046.1,1046.1,1046.1,1046.1,-1.31,25,26152.5
2025-05-15,1060.0,1060.0,1060.0,1060.0,0.0,25,26500.0
2025-05-05,1060.0,1060.0,1060.0,1060.0,-2.0,300,318000.0
2025-05-04,1081.6,1081.6,1081.6,1081.6,-1.99,25,27040.0
2025-04-30,1102.0,1103.6,1102.0,1103.6,2.0,2027,2236837.2
2025-04-28,1047.0,1082.0,1047.0,1082.0,3.34,165,178148.0
2025-04-23,1047.1,1047.1,1047.0,1047.0,0.1,50,52354.0
2025-04-10,1046.0,1046.0,1046.0,1046.0,-1.41,25,26150.0
2025-04-09,1061.0,1061.0,1061.0,1061.0,2.0,45,47745.0
2025-04-08,1040.2,1040.2,1040.2,1040.2,0.2,50,52010.0
2025-04-07,1017.8,1017.8,1017.8,1038.1,1.99,5,5190.5
2025-03-27,1017.8,1017.8,1017.8,1017.8,-0.99,25,25445.0
2025-03-18,1028.0,1028.0,1028.0,1028.0,0.29,25,25700.0
2025-03-12,1015.0,1025.0,1015.0,1025.0,-0.1,150,152750.0
2025-03-05,1026.0,1026.0,1026.0,1026.0,0.0,25,25650.0
2025-03-04,1026.0,1026.0,1026.0,1026.0,0.0,20,20520.0
2025-03-03,1026.0,1026.0,1026.0,1026.0,0.1,50,51300.0
2025-03-02,1025.0,1025.0,1025.0,1025.0,0.97,25,25625.0
2025-02-27,1015.2,1015.2,1015.2,1015.2,0.02,25,25380.0
2025-02-25,1015.0,1015.0,1015.0,1015.0,-1.46,25,25375.0
2025-02-24,1030.0,1030.0,1030.0,1030.0,-1.72,25,25750.0
2025-02-23,1048.0,1048.0,1048.0,1048.0,0.29,241,252568.0
2025-02-18,1045.0,1045.0,1045.0,1045.0,0.0,25,26125.0
2025-02-17,1031.0,1045.0,1026.2,1045.0,-0.63,136,141496.0
2025-02-13,1051.6,1051.6,1051.6,1051.6,2.0,10,10516.0
2025-02-11,1031.0,1031.0,1031.0,1031.0,-0.39,100,103100.0
2025-02-10,1035.0,1035.0,1035.0,1035.0,-0.96,25,25875.0
2025-02-02,1045.0,1045.0,1045.0,1045.0,3.47,125,130551.0
2025-01-28,1010.0,1010.0,1010.0,1010.0,-1.66,25,25250.0
2025-01-20,1025.0,1027.0,1025.0,1027.0,-1.72,125,128325.0
2025-01-19,1045.0,1045.0,1045.0,1045.0,-0.95,260,271700.0
2025-01-13,1055.0,1055.0,1055.0,1055.0,-1.86,25,26375.0
2025-01-09,1075.0,1075.0,1075.0,1075.0,1.42,210,225750.0
2025-01-07,1060.0,1060.0,1060.0,1060.0,-0.66,25,26500.0
2025-01-05,1082.0,1082.2,1067.0,1067.0,0.57,235,251500.0
2024-12-23,1082.0,1082.0,1061.0,1061.0,2.02,229,247147.0
2024-12-17,1040.0,1040.0,1040.0,1040.0,0.48,25,26000.0
2024-12-12,1035.0,1035.0,1035.0,1035.0,-1.96,50,51750.0
2024-12-08,1055.7,1055.7,1055.7,1055.7,2.0,50,52785.0
2024-12-04,1035.0,1035.0,1035.0,1035.0,0.49,30,31050.0
2024-12-03,1030.0,1030.0,1030.0,1030.0,0.0,50,51500.0
2024-12-02,1030.0,1030.0,1030.0,1030.0,0.0,29,29870.0
2024-12-01,1030.0,1030.0,1030.0,1030.0,-0.29,100,103000.0
2024-11-28,1033.0,1033.0,1033.0,1033.0,-0.02,25,25825.0
2024-11-25,1032.0,1033.2,1032.0,1033.2,-1.6,55,56796.0
2024-11-21,1033.0,1050.0,1033.0,1050.0,0.19,125,130745.0
