date,open,high,low,ltp,percent_change,qty,turnover
2026-01-04,675.0,675.0,675.0,675.0,0.0,12000,8100000.0
2025-12-24,675.0,675.0,675.0,675.0,0.0,2500,1687500.0
2025-12-02,675.0,675.0,675.0,675.0,0.0,20581,13892175.0
2025-11-10,675.0,675.0,675.0,675.0,0.0,12754,8608950.0
2025-11-06,675.0,675.0,675.0,675.0,0.0,5000,3375000.0
2025-10-29,675.0,675.0,675.0,675.0,0.0,4306,2906550.0
2025-08-07,675.0,675.0,675.0,675.0,0.0,3500,2362500.0
2025-07-13,675.0,675.0,675.0,675.0,0.0,1000,675000.0
2025-06-16,675.0,675.0,675.0,675.0,0.0,3000,2025000.0
2025-06-08,675.0,675.0,675.0,675.0,0.0,10000,6750000.0
2025-05-27,675.0,675.0,675.0,675.0,0.0,1749,1180575.0
2025-05-25,675.0,675.0,675.0,675.0,0.0,15000,10125000.0
2025-05-19,675.0,675.0,675.0,675.0,0.0,4079,2753325.0
2025-04-23,675.0,675.0,675.0,675.0,0.0,5000,3375000.0
2024-11-26,755.0,755.0,755.0,755.0,0.0,1000,755000.0
2024-11-25,755.0,755.0,755.0,755.0,0.0,5580,4212900.0
2024-11-24,755.0,755.0,755.0,755.0,-1.95,13316,10053580.0
2024-11-21,770.0,770.0,770.0,770.0,0.0,5000,3850000.0
2024-11-14,770.0,770.0,770.0,770.0,0.0,15000,11550000.0
2024-11-11,785.0,785.0,770.0,770.0,-1.91,18000,14100000.0
2024-10-22,785.0,785.0,785.0,785.0,5.37,10000,7850000.0
2024-07-22,745.0,745.0,745.0,745.0,0.0,2312,1722440.0
2024-07-11,745.0,745.0,745.0,745.0,0.0,5000,3725000.0
2024-01-30,631.0,631.0,631.0,631.0,0.0,7300,4606300.0
2023-01-25,1115.0,1115.0,1115.0,1115.0,0.0,2534,2825410.0
2023-01-05,1115.0,1115.0,1115.0,1115.0,0.0,2027,2260105.0
2022-09-28,1152.0,1152.0,1152.0,1152.0,0.0,61930,47597845.0
2022-09-05,1152.0,1152.0,1152.0,1152.0,0.0,2534,2919168.0
2022-07-24,1152.0,1152.0,1152.0,1152.0,0.0,6335,7297920.0
2022-01-20,1537.0,1537.0,1537.0,1537.0,0.0,3000,4611000.0
2022-01-10,1537.0,1537.0,1537.0,1537.0,0.0,36500,37303000.0
2022-01-05,1537.0,1537.0,1537.0,1537.0,0.0,3850,3995075.0
2022-01-04,1537.0,1537.0,1537.0,1537.0,0.0,39550,41233796.0
2022-01-03,1537.0,1537.0,1537.0,1537.0,0.0,2000,2062000.0
2021-10-19,1537.0,1537.0,1537.0,1537.0,0.0,12780,19642860.0
2021-10-10,1537.0,1537.0,1537.0,1537.0,0.0,6390,9821430.0
2021-07-14,100.0,100.0,100.0,100.0,0.0,32000,32705000.0
2021-02-14,777.0,801.0,727.0,727.0,0.0,110000,80849035.0
