date,open,high,low,ltp,percent_change,qty,turnover
2015-05-24,130.0,132.0,132.0,132.0,0.0,30000,3960000.0
2015-03-02,130.0,130.0,130.0,130.0,0.0,30000,3900000.0
2014-12-08,124.0,130.0,126.0,130.0,0.0,78000,10066000.0
2014-10-09,124.0,124.0,124.0,124.0,0.0,6000,744000.0
2014-06-15,122.0,124.0,122.0,124.0,0.0,8000,984000.0
2013-09-24,60.0,0.0,0.0,60.0,0.0,7684,261256.0
2013-08-25,60.0,0.0,0.0,60.0,0.0,30739,1844340.0
2012-06-03,116.0,39.0,38.0,39.0,0.0,372098,14357270.0
2012-01-11,118.0,116.0,116.0,116.0,0.0,1900,220400.0
2011-07-14,118.0,118.0,118.0,118.0,0.0,5321,627878.0
2011-03-30,119.0,118.0,118.0,118.0,0.0,22078,2605204.0
