date,open,high,low,ltp,percent_change,qty,turnover
2023-07-13,701.9,701.9,677.0,693.5,0.65,588,406103.0
2023-07-12,657.0,690.0,655.0,689.0,3.14,3259,2186991.5
2023-07-11,672.0,680.0,649.8,668.0,0.89,1444,954346.9
2023-07-10,663.0,670.0,660.0,662.1,1.86,662,441361.7
2023-07-09,642.6,655.0,642.0,650.0,3.17,217,141306.6
2023-07-06,633.0,639.0,630.0,630.0,-1.25,93,58947.0
2023-07-05,663.5,663.5,638.0,638.0,-5.13,438,287049.0
2023-07-04,673.0,673.0,659.6,672.5,1.89,695,463036.3
2023-07-03,681.0,684.0,658.0,660.0,-3.08,1866,1253231.0
2023-07-02,714.0,719.0,681.0,681.0,-6.46,2898,2007707.0
2023-06-28,748.6,753.0,690.0,728.0,-0.82,4060,2846392.3
2023-06-27,692.8,737.0,692.8,734.0,8.05,5227,3795437.2
2023-06-26,666.0,679.3,658.1,679.3,4.03,1842,1231588.0
2023-06-25,660.0,685.8,650.0,653.0,-2.96,2560,1697518.8
2023-06-22,680.3,680.3,666.7,672.9,-1.09,248,167690.1
2023-06-21,654.0,680.3,635.4,680.3,1.96,2710,1755002.6
2023-06-20,681.0,706.8,667.2,667.2,-0.12,1307,905368.8
2023-06-19,708.9,708.9,668.0,668.0,-5.77,1235,833054.6
2023-06-18,670.0,708.9,657.0,708.9,5.81,1145,760109.5
2023-06-15,659.6,673.0,647.0,670.0,-0.45,219,144811.5
2023-06-14,678.7,692.2,651.9,673.0,-0.78,1320,905627.0
2023-06-13,640.0,678.3,640.0,678.3,5.65,1491,978620.7
2023-06-12,635.0,643.0,635.0,642.0,0.47,1543,991991.0
2023-06-11,630.0,639.0,620.1,639.0,1.43,495,311861.0
2023-06-08,630.0,630.0,618.0,630.0,0.0,634,398485.0
2023-06-07,620.2,630.0,620.0,630.0,1.61,367,230117.6
2023-06-06,618.0,620.0,618.0,620.0,0.32,392,242436.0
2023-06-05,619.0,619.0,607.0,618.0,-0.31,534,325775.2
2023-06-04,587.5,619.9,587.5,619.9,7.62,366,220793.0
2023-06-01,597.5,597.5,576.0,576.0,-1.72,1200,707357.8
2023-05-31,583.0,589.0,583.0,586.1,-0.66,199,116545.0
2023-05-30,590.0,602.0,580.0,590.0,-1.99,400,233120.0
2023-05-28,644.0,645.0,602.0,602.0,-4.9,655,409670.3
2023-05-24,612.0,633.0,605.0,633.0,4.98,1098,677658.0
2023-05-23,583.6,603.0,583.6,603.0,5.38,445,265166.0
2023-05-22,582.2,582.2,572.2,572.2,-3.67,50,29010.0
2023-05-21,580.0,594.0,580.0,594.0,1.92,20,11740.0
2023-05-18,561.2,594.6,556.0,582.8,5.93,1453,815928.8
2023-05-17,568.1,568.1,550.2,550.2,-1.22,440,244368.0
2023-05-16,547.0,557.0,545.8,557.0,0.02,340,185773.0
2023-05-15,526.4,556.9,526.4,556.9,4.05,526,280835.9
2023-05-14,546.0,546.0,535.2,535.2,-2.34,511,276539.2
2023-05-11,550.0,550.0,548.0,548.0,-2.32,30,16470.0
2023-05-10,566.0,566.0,550.0,561.0,-1.06,320,177249.0
2023-05-09,560.0,570.0,560.0,567.0,3.07,70,39611.0
2023-05-08,550.1,550.1,550.1,550.1,-1.94,17,9351.7
2023-05-04,554.0,572.2,554.0,561.0,-0.71,390,220124.0
2023-05-03,565.0,565.0,565.0,565.0,0.36,59,33335.0
2023-05-02,575.0,575.0,563.0,563.0,-3.94,198,113653.2
2023-04-30,586.1,586.1,586.1,586.1,-1.99,80,46888.0
2023-04-27,586.0,598.0,576.5,598.0,1.86,695,403812.5
2023-04-26,586.1,587.1,584.1,587.1,-1.49,867,507337.0
2023-04-25,596.0,596.0,596.0,596.0,0.0,120,71520.0
2023-04-24,577.3,596.0,577.3,596.0,1.88,224,132193.8
2023-04-23,600.1,600.1,581.2,585.0,-3.31,250,148106.5
2023-04-20,608.0,608.0,605.0,605.0,-1.63,84,50890.0
2023-04-19,622.2,622.2,615.0,615.0,0.82,20,12372.0
2023-04-18,602.0,610.0,602.0,610.0,0.49,270,162685.0
2023-04-17,620.0,622.0,607.0,607.0,-1.62,190,116856.8
2023-04-16,615.0,617.0,605.0,617.0,-1.3,280,171583.0
2023-04-13,654.0,665.0,621.0,625.1,-4.42,601,378473.5
2023-04-12,621.0,655.0,610.0,654.0,7.41,853,528943.1
2023-04-11,595.0,608.9,595.0,608.9,4.0,49,29313.5
2023-04-10,590.0,590.0,585.5,585.5,-0.76,20,11755.0
2023-04-09,594.4,594.4,590.0,590.0,-2.72,1000,591364.3
2023-04-06,627.3,639.8,605.0,606.5,-1.38,103,62999.5
2023-04-05,620.0,620.0,615.0,615.0,-0.16,207,127583.0
2023-04-04,615.0,627.0,615.0,616.0,0.16,1535,947500.0
2023-04-03,619.5,622.0,607.2,615.0,-0.73,1391,852411.6
2023-04-02,633.0,645.0,619.5,619.5,-2.13,2674,1680529.4
