date,open,high,low,ltp,percent_change,qty,turnover
2016-06-14,449.0,468.0,447.0,468.0,0.0,3468,1568102.0
2016-06-13,441.0,449.0,441.0,449.0,0.0,1701,758579.0
2016-06-12,444.0,461.0,441.0,441.0,0.0,2461,1113951.0
2016-06-09,461.0,453.0,444.0,444.0,0.0,88,39468.0
2016-06-08,482.0,473.0,460.0,461.0,0.0,1222,565764.0
2016-06-07,510.0,500.0,482.0,482.0,0.0,611,303601.0
2016-06-01,500.0,520.0,510.0,510.0,0.0,100,51100.0
2016-05-31,530.0,520.0,500.0,500.0,0.0,30,15300.0
2016-05-30,561.0,550.0,530.0,530.0,0.0,510,275400.0
2016-05-29,550.0,561.0,561.0,561.0,0.0,10,5610.0
2016-05-26,540.0,550.0,550.0,550.0,0.0,159,87450.0
2016-05-25,541.0,563.0,540.0,540.0,0.0,1080,604140.0
2016-05-24,492.0,541.0,501.0,541.0,0.0,8003,4292405.0
2016-05-23,448.0,492.0,456.0,492.0,0.0,1450,710820.0
2016-05-22,408.0,448.0,416.0,448.0,0.0,50,21600.0
2016-05-19,372.0,408.0,379.0,408.0,0.0,50,19660.0
2016-05-18,339.0,372.0,345.0,372.0,0.0,60,21360.0
2016-05-17,321.0,339.0,327.0,339.0,0.0,30,9990.0
2016-01-14,326.0,325.0,320.0,321.0,0.0,1406,453144.0
2016-01-13,320.0,326.0,326.0,326.0,0.0,20,6520.0
2016-01-12,325.0,320.0,320.0,320.0,0.0,137,43840.0
2016-01-11,325.0,325.0,325.0,325.0,0.0,86,27950.0
2016-01-10,327.0,325.0,325.0,325.0,0.0,143,46475.0
2016-01-06,333.0,327.0,327.0,327.0,0.0,914,298878.0
2016-01-04,339.0,333.0,333.0,333.0,0.0,53,17649.0
2016-01-03,333.0,339.0,339.0,339.0,0.0,61,20679.0
2015-12-29,329.0,333.0,333.0,333.0,0.0,500,166500.0
2015-12-28,334.0,329.0,328.0,329.0,0.0,311,102167.0
2015-12-27,346.0,340.0,334.0,334.0,0.0,915,308610.0
2015-12-24,334.0,346.0,340.0,346.0,0.0,30,10320.0
2015-12-23,334.0,334.0,334.0,334.0,0.0,80,26720.0
2015-12-22,352.0,346.0,334.0,334.0,0.0,786,269725.0
2015-12-21,346.0,352.0,352.0,352.0,0.0,20,7040.0
2015-12-20,340.0,346.0,346.0,346.0,0.0,20,6920.0
2015-12-17,334.0,340.0,339.0,340.0,0.0,529,179850.0
2015-12-10,328.0,334.0,334.0,334.0,0.0,296,98864.0
2015-12-09,322.0,328.0,328.0,328.0,0.0,20,6560.0
2015-12-08,318.0,324.0,320.0,322.0,0.0,716,230868.0
2015-12-07,306.0,318.0,300.0,318.0,0.0,427,128880.0
2015-12-06,300.0,310.0,306.0,306.0,0.0,800,245136.0
2015-12-03,300.0,300.0,295.0,300.0,0.0,1539,461081.0
2015-12-02,310.0,304.0,300.0,300.0,0.0,1100,332000.0
2015-12-01,322.0,316.0,310.0,310.0,0.0,1000,313000.0
2015-11-30,334.0,328.0,322.0,322.0,0.0,220,72040.0
2015-11-29,340.0,334.0,334.0,334.0,0.0,100,33400.0
2015-11-26,346.0,340.0,340.0,340.0,0.0,161,54740.0
2015-11-25,353.0,346.0,346.0,346.0,0.0,100,34600.0
2015-11-24,360.0,353.0,353.0,353.0,0.0,200,70600.0
2015-11-23,364.0,360.0,360.0,360.0,0.0,100,36000.0
2015-11-22,460.0,451.0,451.0,451.0,0.0,100,45100.0
2015-11-16,465.0,460.0,460.0,460.0,0.0,30,13800.0
2015-11-15,448.0,465.0,456.0,465.0,0.0,597,277434.0
2015-11-09,459.0,455.0,448.0,448.0,0.0,622,280321.0
2015-11-08,426.0,459.0,434.0,459.0,0.0,746,331715.0
2015-10-15,448.0,440.0,426.0,426.0,0.0,304,131240.0
2015-10-14,440.0,448.0,448.0,448.0,0.0,265,118720.0
2015-10-05,432.0,440.0,440.0,440.0,0.0,200,88000.0
2015-10-04,432.0,432.0,423.0,432.0,0.0,891,378762.0
2015-09-30,438.0,432.0,425.0,432.0,0.0,803,343846.0
2015-09-29,455.0,455.0,438.0,438.0,0.0,460,204100.0
2015-09-16,441.0,455.0,449.0,455.0,0.0,1000,452000.0
2015-09-15,468.0,468.0,441.0,441.0,0.0,1174,531828.0
2015-09-14,477.0,468.0,468.0,468.0,0.0,59,27612.0
2015-09-09,460.0,486.0,468.0,477.0,0.0,1497,710080.0
2015-09-08,423.0,460.0,430.0,460.0,0.0,162,72670.0
2015-09-07,410.0,423.0,415.0,423.0,0.0,220,91460.0
2015-09-06,415.0,410.0,410.0,410.0,0.0,44,18040.0
2015-09-03,415.0,415.0,415.0,415.0,0.0,198,82170.0
