date,open,high,low,ltp,percent_change,qty,turnover
2026-08-07,1069.0,1069.0,1069.0,1069.0,-2.99,25,26725.0
2026-08-03,1070.0,1102.0,1070.0,1102.0,3.28,125,134550.0
2026-07-31,1067.0,1067.0,1067.0,1067.0,-3.0,100,106700.0
2026-07-29,1100.0,1100.0,1100.0,1100.0,0.0,25,27500.0
2026-07-24,1100.0,1100.0,1095.0,1100.0,1.38,120,131875.0
2026-07-16,1085.0,1085.0,1085.0,1085.0,-2.25,25,27125.0
2026-07-15,1110.0,1110.0,1110.0,1110.0,2.59,20,22200.0
2026-07-14,1082.0,1082.0,1082.0,1082.0,-2.96,50,54100.0
2026-07-09,1120.0,1149.0,1120.0,1115.0,2.48,16530,18745160.0
2026-07-08,1088.0,1088.1,1088.0,1088.0,0.27,13500,14688050.0
2026-07-07,1085.5,1085.5,1085.0,1085.1,0.47,125,135655.0
2026-06-22,1080.0,1080.0,1080.0,1080.0,0.09,30,32400.0
2026-06-18,1079.0,1079.0,1079.0,1079.0,0.0,25,26975.0
2026-06-16,1079.0,1079.0,1079.0,1079.0,0.33,25,26975.0
2026-06-12,1074.1,1075.5,1074.0,1075.5,0.42,50,53739.0
2026-06-09,1080.0,1080.0,1072.0,1071.0,-3.51,100,107491.5
2026-06-05,1110.0,1110.0,1110.0,1110.0,0.0,25,27750.0
2026-06-04,1110.0,1110.0,1110.0,1110.0,0.0,75,83250.0
2026-06-03,1100.0,1110.0,1100.0,1110.0,0.91,50,55250.0
2026-06-02,1100.0,1100.0,1100.0,1100.0,2.78,75,82500.0
2026-06-01,1070.2,1070.2,1070.2,1070.2,-1.27,30,32106.0
2026-05-27,1140.0,1140.0,1084.0,1084.0,-4.91,225,248320.0
2026-05-25,1140.0,1140.0,1140.0,1140.0,0.0,35,39900.0
2026-05-20,1140.0,1140.0,1140.0,1140.0,0.0,25,28500.0
2026-05-14,1140.0,1140.0,1140.0,1140.0,0.0,10,11400.0
2026-05-13,1140.0,1140.0,1140.0,1140.0,-0.44,25,28500.0
2026-04-29,1145.0,1145.0,1145.0,1145.0,0.0,25,28625.0
2026-04-27,1145.0,1145.0,1145.0,1145.0,0.0,25,28625.0
2026-04-24,1145.0,1145.0,1145.0,1145.0,0.0,5,5725.0
2026-04-15,1145.0,1145.0,1145.0,1145.0,0.0,125,143125.0
2026-04-13,1145.0,1145.0,1145.0,1145.0,0.0,25,28625.0
2026-04-07,1145.0,1145.0,1145.0,1145.0,0.0,100,114500.0
2026-04-05,1145.0,1145.0,1145.0,1145.0,0.0,75,85875.0
2026-03-25,1145.0,1145.0,1145.0,1145.0,0.44,100,114500.0
2026-03-17,1130.0,1140.0,1130.0,1140.0,1.79,100,113750.0
2026-02-02,1120.0,1120.0,1120.0,1120.0,0.0,25,28000.0
