date,open,high,low,ltp,percent_change,qty,turnover
2026-08-12,1383.2,1383.2,1383.2,1263.0,-8.69,4,5249.0
2026-08-10,1383.2,1383.2,1383.2,1383.2,-2.99,10,13832.0
2026-07-24,1425.9,1425.9,1425.9,1425.9,-3.0,20,28518.0
2026-07-16,1328.0,1362.8,1328.0,1470.0,10.69,39,54034.0
2026-07-15,1289.0,1305.0,1289.0,1328.0,3.03,21,27528.0
2026-07-14,1218.4,1253.0,1169.0,1289.0,8.96,20986,25853899.0
2026-06-16,1170.4,1183.0,1170.4,1183.0,4.1,25000,29574874.0
2026-06-11,1135.0,1150.0,1135.0,1136.4,0.39,100,114306.0
2026-06-10,1203.0,1203.0,1132.0,1132.0,-8.71,25000,28301060.0
2026-05-21,1211.0,1211.0,1211.0,1240.0,2.39,15,18600.0
2026-04-07,1211.0,1211.0,1211.0,1211.0,1.45,50,60550.0
2026-04-01,1180.0,1193.68,1180.0,1193.68,1.99,75,89061.7
2026-03-23,1165.0,1170.4,1165.0,1170.4,2.0,75,87589.0
2026-03-22,1147.5,1147.5,1147.5,1147.5,2.0,92,105570.0
2026-02-16,1123.1,1125.0,1123.0,1125.0,-1.24,190,213572.5
2026-02-05,1162.0,1162.0,1139.1,1139.1,-1.97,110,127430.7
2026-02-03,1162.0,1162.0,1162.0,1162.0,0.0,45,52290.0
2026-01-22,1160.0,1162.0,1160.0,1162.0,1.93,102,118474.0
2025-12-16,1140.0,1140.0,1140.0,1140.0,1.69,25,28500.0
2025-11-02,1167.0,1167.0,1167.0,1121.0,-3.94,2,2264.7
2025-10-29,1189.0,1189.0,1189.0,1167.0,-1.85,1,1167.0
2025-09-25,1100.2,1189.0,1100.2,1189.0,8.07,279,327340.0
2025-09-21,1120.0,1120.0,1100.2,1100.2,-0.18,60,67002.0
2025-09-03,1102.3,1102.3,1102.2,1102.22,-0.79,100,110222.5
2025-09-01,1111.0,1111.0,1111.0,1111.0,-1.33,25,27775.0
2025-08-31,1126.0,1126.0,1126.0,1126.0,-1.92,100,112600.0
2025-08-26,1141.5,1141.5,1141.5,1148.0,0.57,1,1148.0
2025-08-24,1139.0,1141.5,1139.0,1141.5,1.28,25,28512.5
2025-08-07,1127.1,1127.1,1127.1,1127.1,2.0,20,22542.0
2025-08-04,1105.0,1105.0,1105.0,1105.0,-1.95,25,27625.0
2025-05-04,1127.0,1127.0,1127.0,1127.0,-2.0,25,28175.0
2025-04-16,1150.0,1150.0,1150.0,1150.0,-1.63,25,28750.0
2025-04-03,1160.0,1169.0,1160.0,1169.0,0.95,100,116500.0
2025-03-20,1134.0,1156.0,1134.0,1158.0,3.39,200,229015.0
2025-03-17,1120.0,1120.0,1120.0,1120.0,-0.62,25,28000.0
2025-03-02,1125.0,1127.0,1125.0,1127.0,1.99,110,123912.5
2025-02-27,1100.0,1105.0,1100.0,1105.0,0.91,100,110375.0
2025-02-25,1095.0,1095.0,1095.0,1095.0,-1.44,90,98550.0
2025-02-23,1111.0,1111.0,1111.0,1111.0,0.0,67,74437.0
2025-02-12,1111.0,1111.0,1111.0,1111.0,-0.04,65,72215.0
2025-02-11,1111.5,1111.5,1111.5,1111.5,0.05,50,55575.0
2025-02-10,1122.5,1122.5,1111.0,1111.0,2.97,400,448381.0
2025-02-06,1096.0,1096.0,1079.0,1079.0,-1.73,315,344185.0
2025-02-04,1098.0,1098.0,1098.0,1098.0,-1.96,100,109800.0
2025-02-02,1118.9,1120.0,1118.9,1120.0,2.1,466,521887.0
2025-01-28,1097.0,1097.0,1097.0,1097.0,-0.72,50,54850.0
2025-01-26,1102.0,1105.0,1102.0,1105.0,0.27,54,59610.0
2025-01-23,1102.0,1102.0,1102.0,1102.0,-1.61,292,321784.0
2025-01-19,1107.4,1120.0,1107.4,1120.0,-0.88,1590,1779666.0
2025-01-08,1120.0,1130.0,1120.0,1130.0,0.89,2544,2857720.0
2025-01-07,1115.0,1120.0,1115.0,1120.0,0.45,2456,2744872.0
