date,open,high,low,ltp,percent_change,qty,turnover
2026-04-29,100.0,108.1,103.0,108.1,8.1,500000,53999500.0
2026-04-16,100.0,100.0,100.0,100.0,0.0,170485,17048500.0
2026-03-12,100.0,100.0,100.0,100.0,0.0,110169,11016900.0
2026-01-27,100.0,100.0,100.0,100.0,0.0,100517,10051700.0
2026-01-01,100.0,100.0,100.0,100.0,0.0,68472,6847200.0
2025-12-14,100.0,100.0,100.0,100.0,0.0,8000,800000.0
2025-12-02,100.0,100.0,100.0,100.0,0.0,6180,618000.0
2025-11-24,100.0,100.0,100.0,100.0,0.0,15000,1500000.0
2025-11-16,100.0,100.0,100.0,100.0,0.0,21908,2190800.0
2025-11-13,100.0,100.0,100.0,100.0,0.0,28695,2869500.0
2025-11-09,104.0,104.0,100.0,100.0,-3.85,441812,44541220.0
2025-10-08,104.0,104.0,104.0,104.0,0.0,8788,913952.0
2025-09-02,104.0,104.0,104.0,104.0,0.0,50398,5241392.0
2025-08-28,104.0,104.0,104.0,104.0,0.0,201035,20907640.0
2025-07-17,104.0,104.0,104.0,104.0,0.97,282355,29364920.0
2025-07-14,103.0,103.0,103.0,103.0,-1.9,10000,1030000.0
2025-06-17,105.0,105.0,105.0,105.0,0.0,4175,438375.0
2025-06-10,105.0,105.0,105.0,105.0,0.0,23849,2504145.0
2025-06-04,105.0,105.0,105.0,105.0,0.0,12528,1315440.0
2025-05-25,105.0,105.0,105.0,105.0,0.0,43720,4590600.0
2025-05-13,105.0,105.0,105.0,105.0,-0.28,30152,3165960.0
2025-04-22,105.3,105.3,105.3,105.3,0.0,500000,53500000.0
2025-04-13,105.0,105.3,105.0,105.3,0.1,200000,21045000.0
2025-03-25,105.2,105.2,105.2,105.2,0.0,19905,2094006.0
2025-02-17,105.2,105.2,105.2,105.2,0.0,12521,1317209.2
2025-01-26,105.2,105.2,105.2,105.2,0.0,3950,415540.0
2024-12-26,103.6,105.2,103.6,105.2,3.54,218260,22960536.0
2024-12-24,101.6,101.6,101.6,101.6,-1.93,21916,2226665.6
2024-12-19,103.6,103.6,103.6,103.6,0.0,44210,4580156.0
2024-12-08,103.6,103.6,103.6,103.6,0.0,107837,11171913.2
2024-12-04,103.6,103.6,103.6,103.6,0.0,26323,2727062.8
2024-11-19,103.6,103.6,103.6,103.6,0.0,32529,3370004.4
2024-11-17,103.6,103.6,103.6,103.6,-1.99,10660,1104376.0
2024-11-14,107.8,107.8,105.7,105.7,-3.91,83843,8961932.0
2024-11-06,110.0,110.0,110.0,110.0,-1.79,7942,873620.0
2024-10-24,112.0,112.0,112.0,112.0,-1.23,421840,47246080.0
2024-10-20,113.4,113.4,113.4,113.4,0.0,144408,16375867.2
2024-10-06,113.4,113.4,113.4,113.4,0.0,11355,1287657.0
2024-08-27,113.4,113.4,113.4,113.4,0.0,12691,1439159.4
2024-08-25,113.4,113.4,113.4,113.4,-1.99,437350,49595490.0
2024-08-22,115.7,115.7,115.7,115.7,-1.95,45758,5294200.6
2024-08-18,118.0,118.0,118.0,118.0,0.0,27463,3240634.0
2024-08-15,120.1,120.1,118.0,118.0,-1.75,87343,10405894.3
2024-08-01,120.1,120.1,120.1,120.1,0.0,56916,6835611.6
2024-07-31,120.1,120.1,120.1,120.1,-1.96,46168,5544776.8
2024-07-25,122.5,122.5,122.5,122.5,-2.0,70000,8575000.0
2024-07-21,125.0,125.0,125.0,125.0,0.0,150000,18750000.0
2024-06-19,125.0,125.0,125.0,125.0,-0.71,50626,6328250.0
2024-06-16,136.3,136.3,125.9,125.9,-9.42,284614,35833159.6
2024-06-06,139.0,139.0,139.0,139.0,0.0,2500,347500.0
2024-06-02,139.0,139.0,139.0,139.0,0.0,105585,14676315.0
2024-05-08,139.0,139.0,139.0,139.0,0.0,410915,57117185.0
2024-05-07,139.0,139.0,139.0,139.0,0.0,30000,4170000.0
2024-05-05,139.0,139.0,139.0,139.0,0.0,425287,59114893.0
2024-04-09,139.0,139.0,139.0,139.0,0.0,7868,1093652.0
2024-04-03,110.0,111.0,110.0,111.0,0.0,41050,4536025.0
2024-03-13,139.0,139.0,139.0,139.0,0.0,10082,1401398.0
2024-03-07,139.0,139.0,139.0,139.0,0.0,176480,24530720.0
2024-02-27,139.0,139.0,139.0,139.0,0.0,19023,2644197.0
2024-02-26,141.2,141.2,138.4,139.0,-3.47,100527,13914390.4
2024-02-20,110.0,110.0,110.0,110.0,0.0,39717,4368870.0
2024-02-14,144.0,144.0,144.0,144.0,0.0,808520,116426880.0
2024-02-08,115.5,115.5,115.5,115.5,0.0,10000,1155000.0
2024-01-09,144.1,144.1,144.0,144.0,-0.07,43133,6213965.3
2023-12-11,144.1,144.1,144.1,144.1,0.0,80205,11557540.5
2023-12-06,144.1,144.1,144.1,144.1,0.0,180105,25953130.5
2023-11-22,120.0,122.0,120.0,122.0,0.0,850010,102009200.0
2023-11-02,120.0,144.1,120.0,144.1,-1.97,531593,64552551.3
2023-10-31,147.0,147.0,147.0,147.0,0.0,10241,1505427.0
2023-09-13,147.0,147.0,147.0,147.0,0.0,23200,3410400.0
2023-08-30,147.0,147.0,147.0,147.0,0.0,3825,562275.0
2023-08-10,147.0,147.0,147.0,147.0,0.0,38048,5593056.0
2023-08-09,147.0,147.0,147.0,147.0,0.0,8000,1176000.0
2023-08-02,130.0,147.0,130.0,147.0,0.0,362817,47353210.0
2023-07-13,147.0,147.0,147.0,147.0,0.0,25000,3675000.0
2023-07-10,130.1,130.1,130.0,130.0,0.0,1915000,248950500.0
2023-05-03,147.0,147.0,147.0,147.0,0.0,21000,3087000.0
2023-04-24,147.0,147.0,147.0,147.0,1.38,23200,3410400.0
2023-04-02,145.0,145.0,145.0,145.0,0.0,8840,1281800.0
2023-03-09,145.0,145.0,145.0,145.0,-1.36,34684,5029180.0
2023-01-12,147.0,147.0,147.0,147.0,0.0,63500,9334500.0
2023-01-03,147.0,147.0,147.0,147.0,0.0,313019,46013793.0
2022-12-20,147.0,147.0,147.0,147.0,0.68,8035,1181145.0
2022-11-16,146.0,146.0,146.0,146.0,0.0,40000,5840000.0
2022-11-10,146.0,146.0,146.0,146.0,0.0,6885,1005210.0
2022-11-02,146.0,146.0,146.0,146.0,0.0,18290,2670340.0
2022-11-01,146.0,146.0,146.0,146.0,0.0,60000,8760000.0
2022-10-12,146.0,146.0,146.0,146.0,0.0,600,87600.0
2022-09-21,146.0,146.0,146.0,146.0,0.27,13527,1974942.0
2022-09-13,145.6,145.6,145.6,145.6,0.0,25000,3640000.0
2022-09-06,145.6,145.6,145.6,145.6,0.0,320,32000.0
2022-08-30,145.6,145.6,145.6,145.6,1.96,8000,1164800.0
2022-08-24,142.8,142.8,142.8,142.8,0.0,640,64000.0
2022-08-14,140.0,142.8,140.0,142.8,2.0,159249,22578357.2
2022-07-24,140.0,140.0,140.0,140.0,0.0,4500,630000.0
2022-07-07,140.0,140.0,140.0,140.0,0.0,3480,487200.0
2022-05-04,205.0,205.0,205.0,205.0,0.0,42055,8621275.0
2022-04-24,205.0,205.0,205.0,205.0,1.49,135000,27675000.0
2022-04-05,191.0,202.0,190.05,202.0,-1.46,60675,11574344.55
2022-03-21,205.0,205.0,205.0,205.0,0.0,14629,2998945.0
2022-03-06,205.0,205.0,205.0,205.0,0.0,6000,1390000.0
2022-02-27,205.0,205.0,205.0,205.0,0.0,50000,10250000.0
2022-01-16,205.0,205.0,205.0,205.0,0.0,3816,782280.0
2022-01-12,205.0,205.0,205.0,205.0,0.0,50000,10250000.0
2022-01-05,205.0,205.0,205.0,205.0,-1.91,350000,71750000.0
2021-12-28,209.0,209.0,209.0,209.0,0.0,2000,418000.0
2021-12-07,195.0,195.0,195.0,195.0,0.0,5000,975000.0
2021-12-06,188.0,195.0,188.0,195.0,3.72,98325,19112600.0
2021-11-30,188.0,188.0,188.0,188.0,0.0,101325,21347840.0
2021-11-28,188.0,188.0,188.0,188.0,0.0,75606,14213928.0
2021-11-24,188.0,188.0,188.0,188.0,0.0,38540,7245520.0
2021-11-23,188.0,188.0,188.0,188.0,0.0,90000,16920000.0
2021-11-22,188.0,188.0,188.0,188.0,0.0,7840,1473920.0
2021-11-03,188.0,188.0,188.0,188.0,0.0,83322,15664536.0
2021-10-26,188.0,188.0,188.0,188.0,0.0,5000,940000.0
2021-10-20,188.0,188.0,188.0,188.0,0.0,1435,269780.0
2021-10-19,188.0,188.0,188.0,188.0,0.0,7220,1357360.0
2021-10-05,188.0,188.0,188.0,188.0,0.0,242016,45499008.0
2021-10-04,188.0,188.0,188.0,188.0,0.48,410000,77080000.0
2021-09-30,187.0,187.1,187.0,187.1,0.05,64477,12060146.7
2021-09-26,187.0,187.0,187.0,187.0,0.0,88500,16549500.0
2021-09-08,187.0,187.0,187.0,187.0,0.0,35915,6716105.0
