date,open,high,low,ltp,percent_change,qty,turnover
2026-05-04,948.0,960.0,880.1,888.0,-6.33,111017,100830677.0
2026-04-30,940.0,1030.0,885.1,948.0,-1.05,108003,100071698.3
2026-04-29,1039.0,1090.9,943.2,958.1,-7.79,208142,202285218.1
2026-04-28,1172.9,1280.0,1025.0,1039.0,-6.99,538665,583340716.6
2026-04-27,1019.9,1117.1,1019.9,1117.1,15.0,79890,89204220.0
2026-04-24,886.2,971.4,886.2,971.4,15.0,9180,8912259.0
2026-04-23,756.6,844.7,756.6,844.7,14.99,4760,4018632.0
2026-04-22,657.9,734.6,657.9,734.6,15.0,1740,1276342.0
2026-04-21,580.0,638.8,580.0,638.8,15.0,1000,637512.0
2026-04-20,507.2,555.5,507.2,555.5,14.99,900,498464.0
2026-04-17,447.9,483.1,447.9,483.1,10.0,550,260263.0
2026-04-16,407.2,439.2,407.2,439.2,9.99,420,183677.0
2026-04-15,370.2,399.3,370.2,399.3,10.0,630,249971.0
2026-04-13,330.0,363.0,330.0,363.0,10.0,410,147191.0
2026-04-10,300.0,330.0,300.0,330.0,10.0,250,81310.0
2026-05-05,888.0,916.7,850.0,897.0,1.01,87957,77374062.7
2026-05-06,897.0,918.0,875.0,876.0,-2.34,52889,47055834.8
2026-05-07,860.1,890.0,860.0,869.9,-0.7,40050,34779181.9
2026-05-08,850.0,916.0,850.0,897.0,3.12,65696,58491796.1
