date,open,high,low,ltp,percent_change,qty,turnover
2014-07-01,169.0,185.0,170.0,185.0,0.0,4180,770250.0
2014-06-30,154.0,169.0,151.0,169.0,0.0,4810,798750.0
2014-06-29,140.0,154.0,142.0,154.0,0.0,1820,276180.0
2014-06-26,138.0,142.0,138.0,140.0,0.0,950,133350.0
2014-06-25,138.0,140.0,136.0,138.0,0.0,715,99130.0
2014-06-24,142.0,144.0,138.0,138.0,0.0,450,64205.0
2014-06-23,138.0,142.0,133.0,142.0,0.0,760,104610.0
2014-06-19,139.0,138.0,131.0,138.0,0.0,580,78940.0
2014-06-18,132.0,141.0,132.0,139.0,0.0,1080,148360.0
2014-06-17,142.0,140.0,132.0,132.0,0.0,560,75630.0
2014-06-16,136.0,145.0,134.0,142.0,0.0,3995,563645.0
2014-06-15,136.0,136.0,130.0,136.0,0.0,3390,452280.0
2014-06-12,129.0,138.0,128.0,136.0,0.0,2360,317400.0
2014-06-11,129.0,132.0,127.0,129.0,0.0,2220,287760.0
2014-06-10,129.0,129.0,126.0,129.0,0.0,690,88610.0
2014-06-09,127.0,129.0,123.0,129.0,0.0,1330,168530.0
2014-06-08,127.0,128.0,123.0,127.0,0.0,790,98850.0
2014-06-05,133.0,131.0,127.0,127.0,0.0,640,81650.0
2014-06-04,137.0,135.0,126.0,133.0,0.0,380,49000.0
2014-06-03,140.0,138.0,127.0,137.0,0.0,6590,871690.0
2014-06-02,139.0,140.0,135.0,140.0,0.0,230,31540.0
2014-05-27,137.0,139.0,138.0,139.0,0.0,180,24920.0
2014-05-26,144.0,142.0,135.0,137.0,0.0,1820,253960.0
2014-05-25,140.0,144.0,138.0,144.0,0.0,2120,297520.0
2014-05-22,140.0,148.0,134.0,140.0,0.0,1810,253810.0
2014-05-21,130.0,142.0,128.0,140.0,0.0,2840,388030.0
2014-05-20,122.0,132.0,124.0,130.0,0.0,4630,587660.0
2014-05-19,120.0,122.0,114.0,122.0,0.0,950,112140.0
2014-05-18,126.0,130.0,120.0,120.0,0.0,2390,307250.0
2014-05-15,115.0,126.0,115.0,126.0,0.0,4590,563620.0
2014-05-13,105.0,115.0,107.0,115.0,0.0,2780,319260.0
2014-05-12,104.0,106.0,104.0,105.0,0.0,970,101680.0
2014-05-11,111.0,109.0,103.0,104.0,0.0,390,41430.0
2014-05-08,115.0,115.0,111.0,111.0,0.0,530,59270.0
2014-05-07,105.0,115.0,107.0,115.0,0.0,1310,149690.0
2014-05-06,102.0,105.0,103.0,105.0,0.0,330,34110.0
2014-05-05,102.0,102.0,102.0,102.0,0.0,160,16320.0
2014-05-04,100.0,102.0,100.0,102.0,0.0,2330,233360.0
2014-04-30,102.0,100.0,100.0,100.0,0.0,60,6000.0
2014-04-29,100.0,102.0,100.0,102.0,0.0,648,65356.0
2014-04-28,100.0,102.0,100.0,100.0,0.0,640,64020.0
2014-04-27,101.0,102.0,99.0,100.0,0.0,850,84930.0
2014-04-23,101.0,103.0,100.0,101.0,0.0,280,28300.0
2014-04-22,102.0,102.0,101.0,101.0,0.0,390,39650.0
2014-04-21,98.0,104.0,99.0,102.0,0.0,850,86460.0
2014-04-20,102.0,101.0,98.0,98.0,0.0,1150,115240.0
2014-04-15,98.0,102.0,99.0,102.0,0.0,360,36430.0
2014-04-13,99.0,98.0,98.0,98.0,0.0,160,15680.0
2014-04-10,102.0,102.0,99.0,99.0,0.0,390,39280.0
2014-04-09,100.0,102.0,99.0,102.0,0.0,200,20090.0
2014-04-07,100.0,100.0,100.0,100.0,0.0,70,7000.0
2014-04-06,100.0,100.0,99.0,100.0,0.0,130,12940.0
2014-04-03,101.0,101.0,99.0,100.0,0.0,190,18910.0
2014-04-02,100.0,101.0,101.0,101.0,0.0,60,6060.0
2014-04-01,100.0,102.0,99.0,100.0,0.0,350,35160.0
2014-03-31,101.0,100.0,100.0,100.0,0.0,80,8000.0
2014-03-27,102.0,101.0,100.0,101.0,0.0,480,48120.0
2014-03-26,100.0,102.0,102.0,102.0,0.0,270,27540.0
2014-03-25,102.0,102.0,98.0,100.0,0.0,700,70600.0
2014-03-24,100.0,102.0,101.0,102.0,0.0,60,6110.0
2014-03-23,99.0,100.0,98.0,100.0,0.0,240,23910.0
2014-03-20,101.0,99.0,98.0,99.0,0.0,340,33650.0
2014-03-19,102.0,101.0,100.0,101.0,0.0,280,28260.0
