date,open,high,low,ltp,percent_change,qty,turnover
2015-01-25,126.0,124.0,124.0,124.0,0.0,500,62000.0
2013-09-25,128.0,126.0,126.0,126.0,0.0,50000,6300000.0
2013-07-23,130.0,128.0,128.0,128.0,0.0,18815,2408320.0
2013-01-02,130.0,130.0,130.0,130.0,0.0,5512,716560.0
2011-08-18,130.0,130.0,130.0,130.0,0.0,92500,12025000.0
2011-07-05,139.0,137.0,130.0,130.0,0.0,80400,10453600.0
2011-07-04,141.0,139.0,139.0,139.0,0.0,100,13900.0
2011-06-26,148.0,141.0,141.0,141.0,0.0,100,14100.0
2011-06-23,151.0,148.0,148.0,148.0,0.0,100,14800.0
2011-06-21,165.0,157.0,151.0,151.0,0.0,300,46200.0
