date,open,high,low,ltp,percent_change,qty,turnover
2014-11-12,142.0,140.0,140.0,140.0,0.0,1000,140000.0
2014-11-09,142.0,142.0,142.0,142.0,0.0,70,9940.0
2014-10-16,140.0,142.0,142.0,142.0,0.0,100,14200.0
2014-10-15,138.0,140.0,140.0,140.0,0.0,323,45220.0
2014-10-12,140.0,138.0,138.0,138.0,0.0,209,28842.0
2014-10-09,138.0,140.0,140.0,140.0,0.0,383,53620.0
2014-09-18,140.0,138.0,138.0,138.0,0.0,35,4830.0
2014-09-16,138.0,140.0,140.0,140.0,0.0,43,6020.0
2014-09-15,140.0,138.0,138.0,138.0,0.0,586,80868.0
2014-09-14,140.0,140.0,140.0,140.0,0.0,2750,385000.0
2014-09-11,140.0,140.0,140.0,140.0,0.0,612,85680.0
2014-09-07,142.0,140.0,140.0,140.0,0.0,121,16940.0
2014-09-04,143.0,142.0,142.0,142.0,0.0,2047,290674.0
2014-09-03,146.0,145.0,143.0,143.0,0.0,740,107097.0
2014-09-01,157.0,154.0,146.0,146.0,0.0,1123,167560.0
2014-08-31,162.0,162.0,157.0,157.0,0.0,521,82715.0
2014-08-28,159.0,162.0,159.0,162.0,0.0,379,60492.0
2014-08-27,162.0,159.0,159.0,159.0,0.0,47,7473.0
2014-08-21,165.0,168.0,162.0,162.0,0.0,1190,195420.0
2014-08-20,168.0,168.0,165.0,165.0,0.0,301,50127.0
2014-08-19,168.0,168.0,168.0,168.0,0.0,115,19320.0
2014-08-18,170.0,168.0,168.0,168.0,0.0,221,37128.0
2014-08-14,181.0,178.0,170.0,170.0,0.0,772,133968.0
2014-08-07,184.0,184.0,181.0,181.0,0.0,457,83257.0
2014-08-05,187.0,184.0,184.0,184.0,0.0,28,5152.0
2014-08-04,190.0,187.0,187.0,187.0,0.0,38,7106.0
2014-07-31,186.0,192.0,183.0,190.0,0.0,1079,202427.0
2014-07-30,180.0,186.0,183.0,186.0,0.0,182,33738.0
2014-07-28,175.0,181.0,178.0,180.0,0.0,284,50938.0
2014-07-27,171.0,178.0,169.0,175.0,0.0,691,121015.0
2014-07-24,165.0,171.0,166.0,171.0,0.0,3965,665734.0
2014-07-23,170.0,169.0,165.0,165.0,0.0,3740,623380.0
2014-07-22,172.0,176.0,170.0,170.0,0.0,885,153034.0
2014-07-21,174.0,175.0,171.0,172.0,0.0,1220,211561.0
