date,open,high,low,ltp,percent_change,qty,turnover
2015-03-04,133.0,146.0,135.0,146.0,0.0,6252,901075.0
2015-03-03,121.0,133.0,120.0,133.0,0.0,5934,763961.0
2015-03-01,120.0,122.0,119.0,121.0,0.0,568,67966.0
2015-02-26,112.0,120.0,114.0,120.0,0.0,1295,154690.0
2015-02-24,110.0,112.0,110.0,112.0,0.0,1368,152108.0
2015-02-23,112.0,110.0,104.0,110.0,0.0,656,70704.0
2015-02-22,124.0,122.0,112.0,112.0,0.0,1603,181734.0
2015-02-15,120.0,124.0,122.0,124.0,0.0,1222,149572.0
2015-02-11,123.0,124.0,120.0,120.0,0.0,3627,437796.0
2015-02-10,119.0,123.0,117.0,123.0,0.0,602,70944.0
2015-02-09,115.0,119.0,115.0,119.0,0.0,1960,226621.0
2015-02-08,118.0,119.0,115.0,115.0,0.0,1476,171892.0
2015-02-05,120.0,122.0,118.0,118.0,0.0,232,27696.0
2015-02-04,111.0,120.0,112.0,120.0,0.0,2539,287719.0
2015-02-03,104.0,111.0,106.0,111.0,0.0,2438,267478.0
2015-01-27,102.0,105.0,103.0,104.0,0.0,235,24422.0
2015-01-18,100.0,102.0,102.0,102.0,0.0,74,7548.0
2015-01-14,102.0,102.0,100.0,100.0,0.0,32,3234.0
2015-01-12,104.0,102.0,102.0,102.0,0.0,323,32946.0
2015-01-07,106.0,105.0,104.0,104.0,0.0,143,14969.0
2015-01-06,108.0,108.0,106.0,106.0,0.0,216,23138.0
2015-01-05,108.0,111.0,108.0,108.0,0.0,921,100404.0
2015-01-04,107.0,108.0,105.0,108.0,0.0,1357,145109.0
2015-01-01,111.0,109.0,107.0,107.0,0.0,97,10425.0
2014-12-31,113.0,111.0,111.0,111.0,0.0,162,17982.0
2014-12-28,114.0,113.0,113.0,113.0,0.0,71,8023.0
2014-12-24,112.0,114.0,114.0,114.0,0.0,98,11172.0
2014-12-23,114.0,112.0,112.0,112.0,0.0,1000,112000.0
2014-12-22,111.0,115.0,112.0,114.0,0.0,3668,415220.0
2014-12-21,113.0,111.0,109.0,111.0,0.0,412,45654.0
2014-12-18,118.0,116.0,107.0,113.0,0.0,9590,1040397.0
2014-12-17,131.0,129.0,118.0,118.0,0.0,349,42369.0
2014-12-16,145.0,143.0,131.0,131.0,0.0,280,38220.0
2014-12-04,147.0,145.0,145.0,145.0,0.0,17,2465.0
2014-12-03,150.0,147.0,147.0,147.0,0.0,100,14700.0
2014-12-01,146.0,150.0,147.0,150.0,0.0,142,21185.0
2014-11-20,151.0,148.0,146.0,146.0,0.0,108,15908.0
2014-11-16,154.0,151.0,151.0,151.0,0.0,70,10570.0
2014-10-27,147.0,154.0,149.0,154.0,0.0,187,28399.0
2014-10-21,145.0,147.0,147.0,147.0,0.0,40,5880.0
2014-09-29,146.0,145.0,143.0,145.0,0.0,1291,185969.0
2014-09-28,143.0,149.0,145.0,146.0,0.0,1218,178564.0
2014-09-10,145.0,143.0,143.0,143.0,0.0,552,78936.0
2014-09-09,143.0,145.0,145.0,145.0,0.0,100,14500.0
2014-09-04,135.0,143.0,137.0,143.0,0.0,605,84397.0
2014-09-03,139.0,137.0,135.0,135.0,0.0,4660,629180.0
2014-08-31,133.0,139.0,135.0,139.0,0.0,850,117850.0
2014-08-28,134.0,133.0,133.0,133.0,0.0,179,23807.0
2014-08-27,130.0,134.0,132.0,134.0,0.0,34,4520.0
2014-08-21,136.0,134.0,130.0,130.0,0.0,1275,166306.0
2014-08-20,137.0,138.0,134.0,136.0,0.0,2534,344009.0
2014-08-19,150.0,147.0,137.0,137.0,0.0,6210,880186.0
2014-08-18,159.0,156.0,150.0,150.0,0.0,1235,189060.0
2014-08-14,165.0,162.0,159.0,159.0,0.0,81,12915.0
2014-08-07,167.0,165.0,165.0,165.0,0.0,830,136950.0
2014-08-05,173.0,170.0,167.0,167.0,0.0,202,34139.0
2014-08-03,176.0,174.0,173.0,173.0,0.0,250,43300.0
2014-07-31,177.0,180.0,174.0,176.0,0.0,3945,691812.0
2014-07-30,185.0,185.0,167.0,177.0,0.0,14026,2454809.0
2014-07-28,182.0,186.0,182.0,185.0,0.0,5739,1060115.0
2014-07-27,166.0,182.0,166.0,182.0,0.0,16807,2935491.0
2014-07-24,151.0,166.0,151.0,166.0,0.0,3200,502082.0
2014-07-23,151.0,151.0,150.0,151.0,0.0,712,106900.0
2014-07-22,154.0,157.0,151.0,151.0,0.0,797,121103.0
2014-07-21,154.0,154.0,151.0,154.0,0.0,1136,173144.0
2014-07-20,156.0,159.0,154.0,154.0,0.0,3136,489821.0
2014-07-17,162.0,159.0,156.0,156.0,0.0,1278,200202.0
2014-07-16,168.0,165.0,162.0,162.0,0.0,977,159405.0
2014-07-15,165.0,168.0,162.0,168.0,0.0,659,107916.0
2014-07-14,168.0,165.0,165.0,165.0,0.0,91,15015.0
2012-03-29,183.0,171.0,168.0,168.0,0.0,48,8100.0
2012-03-27,186.0,183.0,183.0,183.0,0.0,10,1830.0
2012-03-25,189.0,186.0,186.0,186.0,0.0,10,1860.0
2012-03-19,198.0,195.0,189.0,189.0,0.0,1347,258624.0
2012-02-27,214.0,210.0,198.0,198.0,0.0,212,42728.0
2012-01-25,218.0,214.0,214.0,214.0,0.0,67,14338.0
2012-01-16,222.0,218.0,218.0,218.0,0.0,268,58424.0
2011-10-09,222.0,222.0,222.0,222.0,0.0,11,2442.0
2011-10-02,222.0,222.0,222.0,222.0,0.0,898,199356.0
2011-05-18,222.0,222.0,222.0,222.0,0.0,35,7770.0
2011-04-28,226.0,222.0,222.0,222.0,0.0,23,5106.0
