date,open,high,low,ltp,percent_change,qty,turnover
2023-02-28,637.0,637.0,621.0,624.0,-3.85,4665,2921591.0
2023-02-27,611.0,649.0,601.0,649.0,4.86,4818,2951921.2
2023-02-26,599.1,619.9,595.0,618.9,1.46,10803,6478287.2
2023-02-23,630.0,630.0,601.1,610.0,-2.24,4482,2734910.9
2023-02-22,611.6,628.9,611.6,624.0,1.13,3800,2347111.8
2023-02-20,615.5,622.9,605.0,617.0,-1.75,3139,1914927.9
2023-02-16,620.2,632.6,607.8,628.0,-0.32,7491,4608094.5
2023-02-15,633.0,640.0,625.0,630.0,-0.63,3606,2279584.7
2023-02-14,620.0,642.0,620.0,634.0,0.48,4305,2732175.0
2023-02-12,657.0,658.0,627.5,631.0,-4.23,8441,5345021.9
2023-02-09,662.0,662.0,646.8,658.9,-0.47,5033,3289978.6
2023-02-08,675.1,678.0,654.7,662.0,0.02,8023,5324834.1
2023-02-07,650.0,661.9,642.0,661.9,3.58,4596,2994887.7
2023-02-06,620.1,663.2,620.1,639.0,1.43,2140,1379902.6
2023-02-05,635.0,645.0,630.0,630.0,-0.79,3963,2519324.3
2023-02-02,650.0,659.0,627.0,635.0,-2.05,6736,4290014.0
2023-02-01,661.0,661.0,646.6,648.3,-2.22,4530,2956714.2
2023-01-31,646.8,663.0,640.0,663.0,2.5,10266,6655055.2
2023-01-30,665.0,670.0,646.8,646.8,-2.77,10960,7246864.9
2023-01-29,670.0,678.0,657.0,665.2,0.03,9396,6266033.3
2023-01-26,676.0,676.0,655.7,665.0,0.26,18808,12487591.5
2023-01-25,667.0,673.0,644.0,663.3,1.42,5187,3448118.6
2023-01-24,645.1,654.0,633.0,654.0,-0.58,6387,4101992.3
2023-01-23,656.0,664.0,640.0,657.8,-0.92,3947,2566185.0
2023-01-19,645.0,671.0,638.2,663.9,2.93,25105,16456107.1
2023-01-18,665.0,669.0,640.0,645.0,-1.1,30619,19961396.8
2023-01-17,655.0,670.0,645.0,652.2,-0.73,20463,13451334.9
2023-01-12,690.0,693.0,656.6,657.0,-3.24,17113,11507796.7
2023-01-10,714.0,728.0,672.0,679.0,-3.0,19493,13498699.7
2023-01-09,700.0,707.9,688.0,700.0,0.14,20225,14127282.8
2023-01-08,700.0,715.9,680.0,699.0,1.35,25987,18060474.0
2023-01-05,739.5,795.0,739.5,788.0,8.69,64509,50175117.6
2023-01-04,678.2,725.0,678.2,725.0,5.07,14838,10427112.0
2023-01-03,709.0,709.0,686.0,690.0,-2.13,12704,8835981.4
2023-01-02,676.2,708.9,650.1,705.0,6.33,9745,6715794.6
2023-01-01,654.0,689.5,645.1,663.0,3.35,19378,12940052.2
2022-12-29,600.0,641.5,595.1,641.5,6.9,14778,9222471.7
