date,open,high,low,ltp,percent_change,qty,turnover
2023-05-09,374.0,379.0,367.6,367.6,-1.16,987,367924.0
2023-05-08,372.1,374.9,365.0,371.9,-1.59,4856,1793062.3
2023-05-07,376.0,378.0,373.0,377.9,-0.5,1719,646353.3
2023-05-04,370.1,380.4,370.0,379.8,1.82,5488,2066270.6
2023-05-03,373.0,377.0,372.4,373.0,-1.82,3533,1318861.0
2023-05-02,373.1,380.0,372.0,379.9,0.26,5935,2227490.5
2023-04-30,375.1,378.9,375.1,378.9,-0.94,2662,1000780.9
2023-04-27,377.3,382.5,375.0,382.5,0.13,3690,1391984.8
2023-04-26,394.9,395.9,382.0,382.0,-2.05,3250,1254706.7
2023-04-25,390.9,390.9,385.0,390.0,0.96,567,219735.0
2023-04-24,382.1,392.0,382.1,386.3,-0.9,1320,507979.0
2023-04-23,383.1,389.8,381.0,389.8,-0.05,1746,668685.8
2023-04-20,390.0,395.0,390.0,390.0,-1.52,88,34370.0
2023-04-19,389.0,396.0,389.0,396.0,1.56,1459,571092.6
2023-04-18,388.0,399.7,380.0,389.9,-1.29,2353,914487.9
2023-04-17,393.0,395.0,390.0,395.0,-1.25,1208,473100.6
2023-04-16,400.0,402.7,395.0,400.0,0.25,1089,433482.0
2023-04-13,402.0,413.9,398.0,399.0,-2.16,3243,1304910.0
2023-04-12,393.7,407.8,393.0,407.8,5.65,9075,3618462.5
2023-04-11,381.0,386.0,373.4,386.0,1.31,1720,650628.1
2023-04-10,380.0,382.0,375.0,381.0,0.82,3011,1138534.5
2023-04-09,380.1,381.1,375.2,377.9,-1.84,2773,1046302.6
2023-04-06,386.0,390.0,380.1,385.0,-1.28,5166,1975505.4
2023-04-05,390.0,390.0,385.3,390.0,-0.48,3397,1319313.5
2023-04-04,381.0,392.0,381.0,391.9,1.01,3415,1322283.5
2023-04-03,386.2,393.0,380.3,388.0,-1.52,1151,442074.3
2023-04-02,400.0,403.9,389.0,394.0,-1.25,11646,4623821.8
2023-03-30,406.0,406.9,395.0,399.0,0.0,14390,5759569.8
2023-03-29,395.0,409.0,393.0,399.0,0.58,5838,2329037.6
2023-03-28,394.1,403.0,388.2,396.7,0.69,5718,2263132.0
2023-03-27,385.0,395.0,379.1,394.0,2.07,8852,3381835.0
2023-03-26,380.0,393.4,380.0,386.0,-0.28,526,203031.0
2023-03-23,390.0,395.0,384.1,387.1,-0.79,5266,2053368.2
2023-03-22,403.0,404.0,390.2,390.2,-2.45,2769,1090808.0
2023-03-20,400.0,400.0,395.0,400.0,0.25,8151,3229208.0
2023-03-19,402.0,402.0,395.0,399.0,-0.42,3302,1309272.7
2023-03-16,405.0,415.0,400.2,414.0,2.25,12183,4943144.6
2023-03-15,405.0,408.0,400.2,404.9,0.47,7110,2862138.4
2023-03-14,402.1,408.0,400.0,403.0,-1.23,4333,1747336.0
2023-03-13,406.1,409.0,401.0,408.0,-0.27,6501,2622034.2
2023-03-12,421.0,421.0,409.1,409.1,-2.83,3827,1578999.2
2023-03-09,410.0,425.3,404.0,421.0,4.21,13302,5523790.0
2023-03-07,411.9,411.9,396.9,404.0,0.0,2161,872285.0
2023-03-05,405.0,406.0,398.1,404.0,-0.49,8024,3216955.6
2023-03-02,410.0,410.0,403.1,406.0,-1.22,6516,2645366.7
