fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2077/2078,13.00,0.6842,13.6842,2022-12-23 [Closed]
2076/2077,15.00,0.87,15.87,2021-11-26 [Closed]
2075/2076,7.00,8.00,15.00,2021-01-01 [Closed]
2074/2075,12.5,0.00,12.5,
2074/2075,12.5,0.00,12.5,2020-07-03 [Closed]
2073/2074,12.5,0.6563,13.1562,2018-03-14 [Closed]
2073/2074,12.5,0.00,12.5,2019-09-17 [Closed]
2072/2073,25.00,,25.00,2017-08-30 [Closed]
2068/2069,13.00,,13.00,2013-04-25 [Closed]
2067/2068,20.00,1.05,21.05,2012-02-16 [Closed]
