date,open,high,low,ltp,percent_change,qty,turnover
2023-05-08,350.0,352.0,340.0,340.0,-3.87,18155,6262238.6
2023-05-07,352.2,355.0,347.0,353.7,-1.56,8720,3064356.5
2023-05-04,358.0,359.3,351.0,359.3,-0.75,12067,4289026.2
2023-05-03,360.2,365.8,355.0,362.0,-1.01,8435,3027650.5
2023-05-02,366.0,367.0,362.0,365.7,0.47,3493,1271961.5
2023-04-30,367.0,367.0,364.0,364.0,-2.12,4482,1635775.5
2023-04-27,372.8,372.8,362.3,371.9,1.36,3235,1186376.4
2023-04-26,372.1,381.4,360.1,366.9,-1.9,19093,7011333.3
2023-04-25,374.3,378.0,373.0,374.0,0.54,3992,1500981.9
2023-04-24,362.6,372.9,362.6,372.0,0.54,2983,1105249.1
2023-04-23,376.0,376.0,369.1,370.0,-1.65,10348,3850604.1
2023-04-20,375.0,389.9,375.0,376.2,-1.49,4167,1583253.1
2023-04-19,388.0,388.0,375.2,381.9,0.24,2314,878516.2
2023-04-18,386.0,387.0,378.8,381.0,-1.3,3011,1144734.6
2023-04-17,389.0,389.0,378.8,386.0,0.0,6127,2328519.6
2023-04-16,384.0,390.0,381.2,386.0,-0.75,3927,1515420.0
2023-04-13,385.1,405.0,385.0,388.9,-0.26,18756,7379104.0
2023-04-12,375.0,390.0,375.0,389.9,4.84,12348,4753332.3
2023-04-11,363.1,372.3,363.1,371.9,1.89,8813,3262182.6
2023-04-10,375.0,375.0,362.2,365.0,-0.82,9459,3471769.7
2023-04-09,377.1,380.0,367.0,368.0,-3.41,8651,3220271.6
2023-04-06,392.0,392.0,381.0,381.0,-1.55,12123,4646974.6
2023-04-05,395.0,395.0,381.3,387.0,-2.03,18138,7024737.0
2023-04-04,395.0,399.0,392.0,395.0,-0.5,6626,2614411.0
2023-04-03,396.0,405.0,394.2,397.0,-0.75,9003,3576775.6
2023-04-02,411.0,411.0,400.0,400.0,-0.74,7154,2879629.9
2023-03-30,407.0,413.0,403.0,403.0,-0.74,7359,2983644.0
2023-03-29,413.0,413.0,405.4,406.0,-1.93,7559,3088378.6
2023-03-28,405.0,420.0,405.0,414.0,0.51,16042,6633377.3
2023-03-27,393.0,411.9,392.3,411.9,3.75,18962,7584062.1
2023-03-26,405.0,405.1,395.5,397.0,-1.98,12923,5154679.0
2023-03-23,405.0,410.0,402.0,405.0,-1.22,3426,1382357.3
2023-03-22,407.0,415.9,403.0,410.0,0.49,8444,3464132.5
2023-03-20,407.9,409.0,401.4,408.0,1.75,3485,1415166.8
2023-03-19,400.0,406.9,400.0,401.0,-0.07,6760,2713615.9
2023-03-16,400.4,408.0,400.4,401.3,-1.4,7542,3045216.4
2023-03-15,405.1,411.9,405.1,407.0,-1.45,7936,3238660.3
2023-03-14,407.0,418.0,406.0,413.0,1.47,14339,5869149.1
2023-03-13,411.0,418.0,406.1,407.0,-2.63,5879,2402897.8
2023-03-12,423.1,426.2,415.0,418.0,-0.95,8119,3431380.9
2023-03-09,423.1,425.0,417.0,422.0,1.71,6216,2621110.4
2023-03-07,412.0,420.0,410.0,414.9,2.7,7762,3213937.2
2023-03-05,422.0,425.0,403.7,404.0,-4.49,15157,6211201.2
2023-03-02,426.0,430.9,423.0,423.0,-1.9,4703,1998330.8
2023-03-01,433.3,441.0,430.0,431.2,-2.0,5956,2583761.8
2023-02-28,442.0,447.7,437.0,440.0,0.23,1677,741640.2
2023-02-27,440.0,461.5,430.3,439.0,-1.06,13033,5726861.3
2023-02-26,428.0,444.5,420.2,443.7,1.77,6821,2971800.6
2023-02-23,447.0,448.0,436.0,436.0,-2.94,8832,3877690.5
2023-02-22,447.8,454.0,440.3,449.2,2.3,10161,4554429.2
2023-02-20,448.0,452.0,439.0,439.1,-3.07,13463,5984315.6
2023-02-16,452.2,461.0,452.2,453.0,-1.52,8355,3807075.7
2023-02-15,473.0,474.1,460.0,460.0,-1.16,9534,4420909.1
2023-02-14,470.0,481.0,465.4,465.4,-2.02,15362,7250345.0
2023-02-12,494.0,494.0,468.0,475.0,-5.75,55100,26284819.7
2023-02-09,476.0,504.9,475.0,504.0,5.0,24539,11952013.0
2023-02-08,477.3,486.8,468.0,480.0,2.56,48666,23252604.1
2023-02-07,450.0,468.0,450.0,468.0,4.23,22980,10552852.9
2023-02-06,448.0,461.0,441.0,449.0,0.2,20845,9410341.6
2023-02-05,466.0,470.0,448.1,448.1,-3.84,20028,9121175.1
2023-02-02,486.9,490.0,459.0,466.0,-2.45,10335,4846678.0
2023-02-01,485.0,487.0,477.0,477.7,0.08,13917,6674984.0
2023-01-31,513.6,533.0,477.3,477.3,-5.21,57575,28535241.3
2022-05-12,616.0,627.0,569.0,569.0,-7.63,134602,78390792.3
2022-05-11,610.0,616.0,600.0,616.0,2.84,6510,3959073.9
2022-05-10,590.0,603.0,585.1,599.0,3.28,2631,1566778.6
2022-05-09,582.2,599.0,578.0,580.0,-2.19,10495,6153391.3
2022-05-08,598.0,599.0,570.0,593.0,-1.17,15752,9110297.4
2022-05-05,615.0,625.0,595.0,600.0,-3.23,15579,9408362.7
2022-05-04,621.0,641.0,613.0,620.0,-1.87,8932,5556447.9
2022-05-02,645.0,645.0,623.2,631.8,-3.54,24630,15557031.9
2022-04-28,662.9,662.9,643.1,655.0,0.0,3206,2070333.4
2022-04-27,668.1,668.1,640.0,655.0,0.0,4196,2722168.4
2022-04-26,654.0,664.1,651.1,655.0,0.0,9230,6066349.9
2022-04-25,679.4,690.0,654.0,655.0,-1.67,11387,7564495.3
2022-04-24,641.0,677.8,638.0,666.1,5.7,8417,5519759.5
2022-04-21,630.0,647.7,626.3,630.2,-0.44,12185,7672391.7
2022-04-20,654.0,654.0,633.0,633.0,-2.47,4342,2762725.9
2022-04-19,640.0,666.5,636.5,649.0,0.62,7917,5160495.4
2022-04-18,655.0,656.0,642.9,645.0,-2.57,12995,8409563.8
2022-04-17,663.0,680.0,651.0,662.0,-1.94,4930,3276176.4
2022-04-13,665.0,696.0,660.0,675.1,0.6,4868,3297762.0
2022-04-12,677.0,700.0,671.1,671.1,-2.74,8928,6054737.1
2022-04-11,706.0,725.0,690.0,690.0,-2.68,17960,12621022.7
2022-04-07,690.0,711.0,686.0,709.0,3.5,17671,12441470.6
2022-04-06,700.0,700.0,671.0,685.0,-0.72,11020,7527601.7
2022-04-05,707.0,707.0,686.0,690.0,-3.9,30354,21070403.9
2022-04-04,735.0,740.0,709.6,718.0,-1.52,15437,11147182.2
2022-04-03,740.0,740.0,729.0,729.1,-1.84,9556,6995578.4
2022-03-31,748.0,748.0,730.0,742.8,-0.56,7710,5658568.3
2022-03-30,720.0,749.7,720.0,747.0,1.91,13512,9902012.3
2022-03-29,745.0,745.0,730.0,733.0,-0.54,4378,3210370.5
2022-03-28,762.0,762.0,735.0,737.0,-2.77,25102,18661496.0
2022-03-27,770.1,801.0,750.0,758.0,0.4,97935,76054402.8
2022-03-24,717.0,765.0,715.6,755.0,3.42,46351,34313839.7
2022-03-23,721.2,730.0,715.2,730.0,-0.54,18561,13424749.3
