date,open,high,low,ltp,percent_change,qty,turnover
2022-04-26,375.0,375.0,375.0,375.0,-1.32,1000,375000.0
2022-04-24,380.0,380.0,380.0,380.0,0.0,84932,32274160.0
2022-01-02,340.0,340.0,340.0,340.0,0.0,41317,14047780.0
2021-12-26,340.0,340.0,340.0,340.0,0.0,45449,15452660.0
2021-07-25,520.0,520.0,520.0,520.0,0.0,21634,11249680.0
2021-07-18,520.0,520.0,520.0,520.0,0.0,30000,15600000.0
2021-07-11,520.0,520.0,520.0,520.0,0.0,31000,16120000.0
2020-10-14,353.0,353.0,353.0,353.0,0.0,95724,33790572.0
2019-02-27,232.0,232.0,232.0,232.0,-18.6,24788,5750816.0
2018-10-15,285.0,285.0,285.0,285.0,0.0,49578,14129730.0
2018-10-07,285.0,285.0,285.0,285.0,0.0,50422,14370270.0
2018-07-19,285.0,285.0,285.0,285.0,-1.72,1073444,305931552.0
2018-07-16,294.0,294.0,290.0,290.0,-3.33,178355,52079656.0
2018-07-11,300.0,300.0,300.0,300.0,0.0,357476,107242800.0
2018-03-21,314.0,314.0,314.0,314.0,-1.88,1221,383394.0
2018-03-20,320.0,320.0,320.0,320.0,-1.84,4000,1280000.0
2018-02-27,931.0,931.0,895.0,895.0,-5.79,57008,52102160.0
2017-12-12,950.0,950.0,950.0,950.0,0.0,40000,38000000.0
2017-12-11,950.0,950.0,950.0,950.0,0.0,50000,47500000.0
2017-12-06,950.0,950.0,950.0,950.0,0.0,35000,33250000.0
