date,open,high,low,ltp,percent_change,qty,turnover
2026-03-25,270.0,270.0,270.0,270.0,0.0,10320,2786400.0
2026-02-25,270.0,270.0,270.0,270.01,0.0,178000,48061780.0
2026-02-24,270.0,270.0,270.0,270.0,0.0,1880,507600.0
2026-01-13,270.0,270.0,270.0,270.0,0.0,13045,3522150.0
2026-01-12,270.0,270.0,270.0,270.0,0.0,13045,3522150.0
2025-12-28,270.0,270.0,270.0,270.0,0.0,23700,6399000.0
2025-12-21,270.0,270.0,270.0,270.0,0.0,11858,2407174.0
2025-12-18,270.0,270.0,270.0,270.0,0.0,45569,12303630.0
2025-11-17,270.0,270.0,270.0,270.0,0.0,21384,5773680.0
2025-11-13,270.0,270.0,270.0,270.0,0.0,4077,1100790.0
2025-08-07,300.0,300.0,300.0,300.0,0.0,1695,508500.0
2025-08-03,300.0,300.0,300.0,300.0,-0.96,14470,4341000.0
2025-07-30,302.9,302.9,302.9,302.9,0.0,10000,3029000.0
2025-07-10,302.9,302.9,302.9,302.9,-1.97,35640,10795356.0
2025-07-09,309.0,309.0,309.0,309.0,0.0,14256,4405104.0
2025-06-29,309.0,309.0,309.0,309.0,0.0,52000,16068000.0
2025-06-23,309.0,309.0,309.0,309.0,0.0,6039,1866051.0
2025-05-28,309.0,309.0,309.0,309.0,0.0,90584,27990456.0
2025-05-19,309.0,309.0,309.0,309.0,0.0,1000,309000.0
2025-05-15,309.0,309.0,309.0,309.0,0.0,245806,75954054.0
2025-05-13,309.0,309.0,309.0,309.0,0.0,6039,1866051.0
2025-05-11,309.0,309.0,309.0,309.0,0.0,6039,1866051.0
2025-02-11,270.0,270.0,270.0,270.0,0.0,18000,4860000.0
2025-01-19,270.0,270.0,270.0,270.0,0.0,30000,8100000.0
2025-01-07,270.0,270.0,270.0,270.0,0.0,21960,5929200.0
2025-01-02,270.0,270.0,270.0,270.0,0.0,2415600,461742820.0
2025-01-01,270.0,270.0,270.0,270.0,0.0,100000,27000000.0
2024-12-18,270.0,270.0,270.0,270.0,0.0,2000,540000.0
2024-12-11,270.0,270.0,270.0,270.0,0.0,162950,29412475.0
2024-12-10,270.0,270.0,270.0,270.0,-1.82,27375,7391250.0
2024-10-27,275.0,275.0,275.0,275.0,-0.15,10980,3019500.0
2024-09-23,275.4,275.4,275.4,275.4,0.0,2000,550800.0
2024-09-04,275.4,275.4,275.4,275.4,0.0,42920,11820168.0
2024-08-29,275.4,275.4,275.4,275.4,0.0,60000,16524000.0
2024-08-08,275.4,275.4,275.4,275.4,0.0,2000,550800.0
2024-08-06,275.4,275.4,275.4,275.4,0.0,10800,2974320.0
2024-07-31,275.4,275.4,275.4,275.4,0.0,100000,27540000.0
2024-07-29,275.4,275.4,275.4,275.4,0.0,45000,12393000.0
2024-07-14,275.4,275.4,275.4,275.4,0.0,37500,10327500.0
2024-07-04,275.4,275.4,275.4,275.4,0.0,100000,27540000.0
2024-07-01,275.4,275.4,275.4,275.4,0.0,54900,15119460.0
2024-06-23,275.4,275.4,275.4,275.4,0.0,57645,15875433.0
2024-06-06,275.4,275.4,275.4,275.4,0.0,60000,16524000.0
2024-06-05,275.4,275.4,275.4,275.4,0.0,40000,11016000.0
2024-05-12,275.4,275.4,275.4,275.4,-1.99,21960,6047784.0
2024-04-15,281.0,281.0,281.0,281.0,0.0,71370,20054970.0
2024-04-09,281.0,281.0,281.0,281.0,0.0,25000,7025000.0
2024-02-04,296.0,296.0,296.0,296.0,0.0,1000,296000.0
