date,open,high,low,ltp,percent_change,qty,turnover
2014-04-03,247.0,245.0,240.0,240.0,0.0,1000,244149.0
2014-04-02,248.0,249.0,247.0,247.0,0.0,890,220662.0
2014-04-01,247.0,248.0,245.0,248.0,0.0,621,152969.0
2014-03-31,246.0,247.0,243.0,247.0,0.0,960,235424.0
2014-03-27,248.0,248.0,242.0,246.0,0.0,2615,640020.0
2014-03-26,245.0,249.0,241.0,248.0,0.0,2355,572962.0
2014-03-25,240.0,248.0,244.0,245.0,0.0,1232,301751.0
2014-03-24,236.0,240.0,240.0,240.0,0.0,250,60000.0
2014-03-23,239.0,243.0,236.0,236.0,0.0,3365,807478.0
2014-03-20,240.0,239.0,239.0,239.0,0.0,40,9560.0
2014-03-18,248.0,244.0,240.0,240.0,0.0,1223,293612.0
2014-03-13,240.0,248.0,240.0,248.0,0.0,851,206444.0
2014-03-12,250.0,250.0,240.0,240.0,0.0,1321,320874.0
2014-03-11,255.0,250.0,250.0,250.0,0.0,27,6750.0
2014-03-10,262.0,260.0,255.0,255.0,0.0,2627,676825.0
2014-03-09,266.0,265.0,260.0,262.0,0.0,4203,1098986.0
2014-03-06,247.0,266.0,250.0,266.0,0.0,2975,774147.0
2014-03-05,242.0,250.0,242.0,247.0,0.0,660,162338.0
2014-03-04,251.0,247.0,242.0,242.0,0.0,921,225395.0
2014-03-03,261.0,262.0,251.0,251.0,0.0,2600,669521.0
2014-02-26,266.0,264.0,261.0,261.0,0.0,527,137628.0
2014-02-25,269.0,267.0,260.0,266.0,0.0,2467,649764.0
2014-02-24,266.0,271.0,269.0,269.0,0.0,388,104538.0
2014-02-23,260.0,270.0,260.0,266.0,0.0,4899,1295267.0
2014-02-20,255.0,260.0,260.0,260.0,0.0,200,52000.0
2014-02-18,255.0,260.0,255.0,255.0,0.0,2262,583565.0
2014-02-17,270.0,265.0,255.0,255.0,0.0,657,168520.0
2014-02-16,275.0,280.0,266.0,270.0,0.0,3740,1014504.0
2014-02-13,273.0,275.0,270.0,275.0,0.0,3883,1064626.0
2014-02-12,265.0,275.0,270.0,273.0,0.0,3065,838714.0
2014-02-11,268.0,278.0,265.0,265.0,0.0,36404,9835379.0
2014-02-10,269.0,275.0,267.0,268.0,0.0,4942,1334673.0
2014-02-09,258.0,270.0,259.0,269.0,0.0,8140,2150485.0
2014-02-06,248.0,258.0,246.0,258.0,0.0,3447,860935.0
2014-02-04,245.0,248.0,243.0,248.0,0.0,2268,553346.0
2014-02-03,250.0,253.0,245.0,245.0,0.0,6558,1621092.0
2014-02-02,256.0,254.0,250.0,250.0,0.0,306,77535.0
2014-01-29,255.0,256.0,250.0,256.0,0.0,956,240405.0
2014-01-28,247.0,256.0,250.0,255.0,0.0,4221,1065153.0
2014-01-27,255.0,250.0,246.0,247.0,0.0,3384,838233.0
2014-01-26,250.0,260.0,250.0,255.0,0.0,3105,784270.0
2014-01-23,246.0,253.0,249.0,250.0,0.0,2929,732134.0
2014-01-22,260.0,255.0,246.0,246.0,0.0,621,154117.0
2014-01-21,265.0,265.0,260.0,260.0,0.0,839,219272.0
2014-01-20,255.0,265.0,255.0,265.0,0.0,3194,828549.0
