date,open,high,low,ltp,percent_change,qty,turnover
2013-05-23,139.0,139.0,128.0,132.0,0.0,7226,945138.0
2013-05-22,138.0,142.0,136.0,139.0,0.0,23264,3214396.0
2013-05-21,138.0,138.0,135.0,138.0,0.0,30775,4183969.0
2013-05-20,140.0,140.0,138.0,138.0,0.0,7309,1015342.0
2013-05-19,140.0,140.0,138.0,140.0,0.0,520,71912.0
2013-05-16,132.0,140.0,133.0,140.0,0.0,1695,227785.0
2013-05-15,132.0,134.0,132.0,132.0,0.0,2000,266000.0
2013-05-14,131.0,134.0,132.0,132.0,0.0,1499,198682.0
2013-05-13,130.0,132.0,128.0,131.0,0.0,2142,278439.0
2013-05-12,130.0,132.0,128.0,130.0,0.0,1397,180978.0
2013-05-09,136.0,134.0,130.0,130.0,0.0,2451,322593.0
2013-05-07,130.0,136.0,132.0,136.0,0.0,591,78928.0
2013-05-06,131.0,130.0,128.0,130.0,0.0,847,109328.0
2013-05-05,134.0,132.0,130.0,131.0,0.0,630,82460.0
2013-05-02,137.0,136.0,134.0,134.0,0.0,269,36233.0
2013-04-30,137.0,137.0,137.0,137.0,0.0,158,21646.0
2013-04-29,140.0,138.0,137.0,137.0,0.0,666,91888.0
2013-04-28,141.0,143.0,140.0,140.0,0.0,471,66759.0
2013-04-25,143.0,145.0,141.0,141.0,0.0,636,91040.0
2013-04-23,142.0,144.0,143.0,143.0,0.0,348,49822.0
2013-04-18,140.0,143.0,141.0,142.0,0.0,287,40851.0
2013-04-17,141.0,140.0,139.0,140.0,0.0,53,7399.0
2013-04-16,143.0,144.0,141.0,141.0,0.0,2749,391729.0
2013-04-15,143.0,143.0,141.0,143.0,0.0,880,125606.0
2013-04-11,143.0,143.0,143.0,143.0,0.0,1090,155870.0
2013-04-09,144.0,144.0,142.0,143.0,0.0,1043,149452.0
2013-04-08,147.0,146.0,143.0,144.0,0.0,3355,484661.0
2013-04-07,146.0,150.0,147.0,147.0,0.0,94,13906.0
2013-04-04,151.0,150.0,145.0,146.0,0.0,8701,1276255.0
2013-04-03,154.0,151.0,151.0,151.0,0.0,40,6040.0
2013-04-02,154.0,154.0,154.0,154.0,0.0,100,15400.0
2013-04-01,150.0,154.0,145.0,154.0,0.0,2382,358032.0
2013-03-31,148.0,153.0,147.0,150.0,0.0,3242,483831.0
2013-03-28,156.0,153.0,146.0,148.0,0.0,466,68937.0
2013-03-27,144.0,156.0,144.0,156.0,0.0,8815,1316317.0
2013-03-25,140.0,145.0,138.0,144.0,0.0,6657,943598.0
2013-03-24,138.0,142.0,140.0,140.0,0.0,5115,720732.0
2013-03-21,142.0,140.0,138.0,138.0,0.0,137,19046.0
2013-03-20,145.0,143.0,140.0,142.0,0.0,2763,389234.0
2013-03-19,142.0,146.0,141.0,145.0,0.0,14074,2028367.0
2013-03-18,143.0,142.0,142.0,142.0,0.0,174,24708.0
2013-03-17,141.0,145.0,141.0,143.0,0.0,2443,349490.0
2013-03-14,140.0,142.0,140.0,141.0,0.0,397,55820.0
2013-03-13,140.0,142.0,140.0,140.0,0.0,4893,689537.0
2013-03-11,139.0,144.0,140.0,140.0,0.0,5997,841454.0
2013-03-07,138.0,140.0,138.0,139.0,0.0,7676,1062107.0
2013-03-06,138.0,138.0,136.0,138.0,0.0,6172,851392.0
2013-03-05,136.0,138.0,138.0,138.0,0.0,31,4278.0
2013-03-04,133.0,136.0,135.0,136.0,0.0,1080,145993.0
2013-03-03,134.0,135.0,133.0,133.0,0.0,1164,156157.0
2013-02-28,138.0,138.0,134.0,134.0,0.0,1176,159450.0
2013-02-27,140.0,140.0,138.0,138.0,0.0,819,114022.0
2013-02-26,140.0,141.0,138.0,140.0,0.0,10868,1501588.0
2013-02-24,140.0,140.0,140.0,140.0,0.0,700,98000.0
2013-02-21,144.0,144.0,140.0,140.0,0.0,429,60576.0
2013-02-20,147.0,146.0,144.0,144.0,0.0,351,50725.0
2013-02-19,143.0,147.0,145.0,147.0,0.0,40,5840.0
2013-02-17,143.0,145.0,143.0,143.0,0.0,1050,150250.0
2013-02-14,137.0,143.0,131.0,143.0,0.0,2093,280043.0
2013-02-12,139.0,137.0,137.0,137.0,0.0,1000,137000.0
2013-02-10,141.0,139.0,139.0,139.0,0.0,200,27800.0
2013-02-07,141.0,142.0,141.0,141.0,0.0,327,46132.0
2013-02-06,141.0,141.0,141.0,141.0,0.0,170,23970.0
2013-02-05,138.0,142.0,139.0,141.0,0.0,1050,147300.0
2013-02-04,138.0,138.0,136.0,138.0,0.0,193,26534.0
2013-01-31,138.0,138.0,138.0,138.0,0.0,500,69000.0
2013-01-30,140.0,138.0,138.0,138.0,0.0,299,41262.0
2013-01-28,140.0,140.0,138.0,140.0,0.0,670,93024.0
2013-01-27,143.0,141.0,139.0,140.0,0.0,3025,425778.0
2013-01-24,144.0,143.0,142.0,143.0,0.0,139,19838.0
2013-01-20,144.0,144.0,142.0,144.0,0.0,80,11480.0
2013-01-15,146.0,144.0,144.0,144.0,0.0,110,15840.0
2013-01-13,149.0,151.0,146.0,146.0,0.0,1042,153767.0
