date,open,high,low,ltp,percent_change,qty,turnover
2026-04-23,255.8,255.8,255.8,255.8,0.0,40513,10363225.4
2026-04-01,255.8,255.8,255.8,255.8,0.0,19671,5031841.8
2026-02-08,255.8,255.8,255.8,255.8,-1.99,4492,1149053.6
2025-09-28,118.0,118.0,118.0,118.0,0.0,14566,1718788.0
2025-08-19,118.0,118.0,118.0,118.0,0.0,3933,464094.0
2025-07-29,118.0,118.0,118.0,118.0,0.0,1028,121304.0
2025-06-19,118.0,118.0,118.0,118.0,0.0,3933,464094.0
2025-05-26,118.0,118.0,118.0,118.0,0.0,3433,405094.0
2025-04-01,118.0,118.0,118.0,118.0,0.0,100,11800.0
2025-02-13,118.0,118.0,118.0,118.0,-1.67,3539,417602.0
2025-01-15,120.0,120.0,120.0,120.0,-1.64,1716,205920.0
2024-12-18,122.0,122.0,122.0,122.0,-1.61,3433,418826.0
2024-11-20,124.0,124.0,124.0,124.0,-1.59,3723,461652.0
2024-11-13,126.0,126.0,126.0,126.0,-1.56,15000,1890000.0
2024-10-20,128.0,128.0,128.0,128.0,-1.54,1060,135680.0
2024-09-29,130.0,130.0,130.0,130.0,-1.52,3433,446290.0
2024-09-12,132.0,132.0,132.0,132.0,-1.49,3433,453156.0
2024-08-12,134.0,134.0,134.0,134.0,-1.98,3433,460022.0
2024-08-01,136.7,136.7,136.7,136.7,-1.94,3433,469291.1
2024-07-29,139.4,139.4,139.4,139.4,-1.97,3433,478560.2
2024-06-30,151.0,151.0,142.2,142.2,-7.66,30701,4450125.5
2024-06-27,163.0,163.0,154.0,154.0,-7.23,10309,1622734.0
2024-06-24,178.4,178.4,166.0,166.0,-8.79,13558,2298788.8
2024-06-02,182.0,182.0,182.0,182.0,0.0,10299,1874418.0
2024-02-07,176.0,176.0,167.0,167.0,-6.7,36029,6130342.0
2024-02-05,179.0,179.0,179.0,179.0,0.0,3451,617729.0
2023-10-05,170.0,170.0,161.0,161.0,-6.94,11243,1853146.0
2023-10-01,182.0,182.0,173.0,173.0,-6.49,19086,3371670.0
2023-08-02,201.0,201.0,185.0,185.0,-9.76,64277,12048040.0
2023-08-01,223.0,223.0,205.0,205.0,-9.69,38373,7952201.0
2023-07-26,231.0,231.0,227.0,227.0,-3.4,3723,845645.0
2023-07-25,235.0,235.0,235.0,235.0,0.0,3024,710640.0
2022-10-16,119.0,119.0,119.0,119.0,0.0,54019,6428261.0
2022-10-13,119.0,119.0,119.0,119.0,0.0,166209,19778871.0
2022-09-06,119.0,119.0,119.0,119.0,0.0,35720,4250680.0
2022-07-22,119.0,119.0,119.0,119.0,0.0,3239,385441.0
2022-07-21,119.0,119.0,119.0,119.0,0.0,3239,385441.0
2022-07-20,119.0,119.0,119.0,119.0,0.0,15069,1793211.0
2022-07-14,119.0,119.0,119.0,119.0,0.0,111042,13213998.0
2022-07-13,119.0,119.0,119.0,119.0,0.0,19161,2280159.0
2021-03-01,101.0,101.0,101.0,101.0,0.0,181572,18338772.0
2021-01-26,101.0,101.0,101.0,101.0,0.0,27633,2790933.0
2021-01-13,101.0,101.0,101.0,101.0,0.0,87808,8868608.0
2020-12-23,101.0,101.0,101.0,101.0,0.0,50062,5056262.0
2020-12-15,101.0,101.0,101.0,101.0,0.0,74085,7482585.0
2020-09-16,101.0,101.0,101.0,101.0,0.0,79989,8078886.0
2020-09-14,101.0,101.0,101.0,101.0,0.0,253453,25598726.0
2020-09-13,101.0,101.0,101.0,101.0,0.0,137680,13905684.0
2020-08-10,101.0,101.0,101.0,101.0,0.0,850,85850.0
2020-07-14,101.0,101.0,101.0,101.0,0.0,1487,150187.0
2020-01-05,101.0,101.0,101.0,101.0,0.0,9714,981114.0
2020-01-02,101.0,101.0,101.0,101.0,0.0,156328,15789128.0
2018-10-11,101.0,101.0,101.0,101.0,0.0,22440,2266440.0
2018-08-07,101.0,101.0,101.0,101.0,0.0,343537,34697236.0
2018-08-06,101.0,101.0,101.0,101.0,1.0,241000,24341000.0
2018-06-21,100.0,100.0,100.0,100.0,0.0,80000,8000000.0
2018-04-24,100.0,100.0,100.0,100.0,-0.99,160000,16000000.0
2018-03-11,101.0,101.0,101.0,101.0,0.0,6800,686800.0
2016-01-13,101.0,101.0,101.0,101.0,0.0,95250,9620250.0
2015-12-31,101.0,101.0,101.0,101.0,0.0,168000,16968000.0
2015-04-20,105.0,105.0,101.0,101.0,0.0,204900,20910700.0
2014-09-21,105.0,105.0,105.0,105.0,0.0,250,26250.0
2014-08-24,105.0,105.0,105.0,105.0,0.0,100,10500.0
2014-08-13,105.0,105.0,105.0,105.0,0.0,100,10500.0
2014-07-22,105.0,105.0,105.0,105.0,0.0,2000,210000.0
2014-07-16,106.0,105.0,105.0,105.0,0.0,900,94500.0
2012-03-11,104.0,106.0,106.0,106.0,0.0,10000,1060000.0
2012-02-16,102.0,104.0,104.0,104.0,0.0,20000,2080000.0
2012-02-08,100.0,102.0,102.0,102.0,0.0,8920,909840.0
2012-02-06,99.0,100.0,100.0,100.0,0.0,5000,500000.0
2012-01-17,98.0,99.0,99.0,99.0,0.0,167000,16533000.0
2011-12-19,98.0,98.0,98.0,98.0,0.0,142480,13963040.0
2011-11-28,107.0,105.0,98.0,98.0,0.0,14500,1437000.0
2011-11-10,113.0,111.0,107.0,107.0,0.0,44720,4843320.0
2011-11-03,115.0,115.0,113.0,113.0,0.0,163180,18655700.0
2011-09-04,125.0,123.0,115.0,115.0,0.0,3650,438750.0
2011-09-01,0.0,135.0,125.0,125.0,0.0,4800,622200.0
