date,open,high,low,ltp,percent_change,qty,turnover
2026-01-22,100.0,100.0,100.0,100.0,0.0,34000,3400000.0
2026-01-20,100.0,100.0,100.0,100.0,0.0,91247,9124700.0
2026-01-08,100.0,100.0,100.0,100.0,-0.89,6852,685200.0
2025-12-21,100.9,100.9,100.9,100.9,0.0,18920,1909028.0
2025-12-16,100.9,100.9,100.9,100.9,0.0,23501,1997585.0
2025-12-10,100.9,100.9,100.9,100.9,0.0,18295,1845965.5
2025-12-07,100.9,100.9,100.9,100.9,0.0,328947,33190752.3
2025-11-24,100.9,100.9,100.9,100.9,0.0,14217,1434495.3
2025-11-23,100.9,100.9,100.9,100.9,0.0,366348,36964513.2
2025-11-10,100.9,100.9,100.9,100.9,0.0,207518,20938566.2
2025-11-04,100.9,100.9,100.9,100.9,0.0,10827,1092444.3
2025-09-25,100.9,100.9,100.9,100.9,0.0,5152,519836.8
2025-09-24,100.9,100.9,100.9,100.9,-1.94,521868,52656481.2
2025-09-23,102.9,102.9,102.9,102.9,-2.0,3378,347596.2
2025-08-14,105.0,105.0,105.0,105.0,0.0,51879,5447295.0
2025-08-12,105.0,105.0,105.0,105.0,0.0,4000,420000.0
2025-08-05,105.0,105.0,105.0,105.0,1.35,39415,4138575.0
2025-07-31,105.7,105.7,103.6,103.6,-3.9,1940422,202439803.3
2025-07-30,107.8,107.8,107.8,107.8,-2.0,9882,1065279.6
2025-07-27,110.0,110.0,110.0,110.0,0.0,409181,45009910.0
2025-07-06,110.0,110.0,110.0,110.0,0.0,23501,1997585.0
2025-06-17,110.0,110.0,110.0,110.0,0.0,24000,2640000.0
2025-06-12,110.0,110.0,110.0,110.0,0.0,1000,110000.0
2025-06-05,110.0,110.0,110.0,110.0,0.0,16247,1787170.0
2025-05-19,110.0,110.0,110.0,110.0,0.0,43235,4755850.0
2025-05-18,110.0,110.0,110.0,110.0,0.0,62152,6836720.0
2025-05-15,110.0,110.0,110.0,110.0,0.0,8532,938520.0
2025-04-20,110.0,110.0,110.0,110.0,0.0,12389,1362790.0
2025-04-16,110.0,110.0,110.0,110.0,0.0,26565,2922150.0
2025-04-15,110.0,110.0,110.0,110.0,0.0,25069,2757590.0
2025-04-13,110.0,110.0,110.0,110.0,0.0,39407,4334770.0
2025-04-09,110.0,110.0,110.0,110.0,1.29,86466,9511260.0
2025-04-07,108.6,108.6,108.6,108.6,0.0,35721,3879300.6
2025-03-30,108.6,108.6,108.6,108.6,-1.99,10000,1086000.0
