date,open,high,low,ltp,percent_change,qty,turnover
2011-10-16,83.0,83.0,82.0,82.0,0.0,155,12815.0
2011-10-13,90.0,89.0,83.0,83.0,0.0,1635,138865.0
2011-10-12,94.0,93.0,90.0,90.0,0.0,80,7330.0
2011-10-10,96.0,95.0,94.0,94.0,0.0,275,25990.0
2011-10-09,101.0,99.0,96.0,96.0,0.0,710,69380.0
2011-09-22,101.0,101.0,101.0,101.0,0.0,90,9090.0
2011-09-19,106.0,104.0,101.0,101.0,0.0,320,32650.0
2011-09-18,110.0,108.0,106.0,106.0,0.0,5030,533240.0
2011-08-15,116.0,114.0,110.0,110.0,0.0,40,4460.0
2011-07-26,116.0,116.0,116.0,116.0,0.0,140,16240.0
2011-07-19,106.0,116.0,100.0,116.0,0.0,875,89960.0
2011-07-17,104.0,106.0,102.0,106.0,0.0,160,16470.0
2011-07-12,111.0,106.0,104.0,104.0,0.0,1055,111760.0
2011-07-03,115.0,113.0,111.0,111.0,0.0,14980,1662820.0
2011-06-21,107.0,117.0,109.0,115.0,0.0,545,62925.0
2011-06-20,101.0,99.0,98.0,98.0,0.0,350,34510.0
2011-06-19,101.0,99.0,98.0,98.0,0.0,350,34510.0
2011-06-16,109.0,107.0,101.0,101.0,0.0,1330,137530.0
2011-06-02,105.0,109.0,107.0,109.0,0.0,65,7015.0
2011-06-01,103.0,105.0,103.0,105.0,0.0,100,10400.0
2011-05-31,104.0,103.0,101.0,103.0,0.0,190,19370.0
2011-05-30,107.0,105.0,103.0,104.0,0.0,150,15600.0
2011-05-26,106.0,107.0,103.0,107.0,0.0,160,16640.0
2011-05-25,97.0,106.0,94.0,106.0,0.0,515,49960.0
2011-05-24,98.0,97.0,97.0,97.0,0.0,140,13580.0
2011-05-23,102.0,100.0,98.0,98.0,0.0,550,54300.0
2011-05-22,98.0,102.0,98.0,102.0,0.0,9710,979825.0
2011-05-19,98.0,100.0,98.0,98.0,0.0,480,47475.0
2011-05-18,99.0,100.0,97.0,98.0,0.0,1365,134840.0
2011-05-16,99.0,99.0,98.0,99.0,0.0,360,35290.0
2011-05-15,101.0,99.0,99.0,99.0,0.0,70,6930.0
2011-05-12,103.0,103.0,101.0,101.0,0.0,125,12675.0
2011-05-11,106.0,104.0,99.0,103.0,0.0,525,53275.0
2011-05-10,114.0,109.0,106.0,106.0,0.0,1090,117415.0
2011-04-27,118.0,116.0,114.0,114.0,0.0,290,33080.0
2011-04-21,122.0,120.0,118.0,118.0,0.0,40,4760.0
2011-04-19,132.0,126.0,122.0,122.0,0.0,15455,1947200.0
2011-04-11,132.0,132.0,132.0,132.0,0.0,210,27720.0
2011-04-06,126.0,132.0,128.0,132.0,0.0,30,3900.0
2011-04-04,130.0,128.0,126.0,126.0,0.0,40,5080.0
2011-03-31,132.0,130.0,124.0,130.0,0.0,265,33790.0
2011-03-30,134.0,132.0,132.0,132.0,0.0,160,21120.0
2011-03-29,130.0,134.0,128.0,134.0,0.0,315,41190.0
2011-03-28,132.0,130.0,130.0,130.0,0.0,10,1300.0
2011-03-27,124.0,132.0,126.0,132.0,0.0,130,16790.0
2011-03-25,119.0,126.0,108.0,124.0,0.0,1600,178900.0
2011-03-20,109.0,119.0,102.0,119.0,0.0,2735,287800.0
