date,open,high,low,ltp,percent_change,qty,turnover
2019-03-10,191.0,191.0,181.0,188.0,0.0,4428,825374.0
2019-03-07,171.0,188.0,171.0,188.0,9.94,15396,2776086.0
2019-03-06,165.0,171.0,165.0,171.0,3.64,2024,342759.0
2019-03-05,163.0,167.0,162.0,165.0,3.13,4852,803152.0
2019-03-03,160.0,160.0,158.0,160.0,0.0,904,144514.0
2019-02-27,157.0,160.0,154.0,160.0,3.9,3852,603569.0
2019-02-26,153.0,154.0,150.0,154.0,2.67,527,80354.0
2019-02-24,153.0,153.0,150.0,150.0,0.0,110,16650.0
2019-02-21,150.0,150.0,150.0,150.0,-1.96,110,16500.0
2019-02-20,153.0,153.0,152.0,153.0,2.0,111,16943.0
2019-02-18,150.0,150.0,150.0,150.0,-0.66,124,18600.0
2019-02-14,151.0,154.0,151.0,151.0,0.0,540,81630.0
2019-02-13,154.0,154.0,151.0,151.0,-0.66,1277,193510.0
2019-02-12,152.0,152.0,152.0,152.0,0.66,203,30853.0
2019-02-11,154.0,155.0,150.0,151.0,0.0,2271,345596.0
2019-02-10,149.0,151.0,148.0,151.0,0.0,266,39656.0
2019-02-07,151.0,151.0,151.0,151.0,-1.95,111,16755.0
2019-02-06,151.0,154.0,151.0,154.0,0.65,64,9823.0
2019-02-05,157.0,157.0,152.0,153.0,-4.38,1164,179576.0
2019-02-04,157.0,160.0,157.0,160.0,0.0,558,87921.0
2019-02-03,160.0,160.0,160.0,160.0,-1.84,10,1600.0
2019-01-31,155.0,163.0,153.0,163.0,7.24,6317,1002321.0
2019-01-30,156.0,159.0,152.0,152.0,-0.65,1416,221007.0
2019-01-29,153.0,153.0,152.0,153.0,0.66,1134,172820.0
2019-01-28,151.0,152.0,151.0,152.0,2.01,218,33118.0
2019-01-27,152.0,155.0,149.0,149.0,-1.97,2311,351213.0
2019-01-24,152.0,152.0,152.0,152.0,0.66,1110,168720.0
2019-01-23,153.0,156.0,151.0,151.0,0.67,300,45910.0
2019-01-22,146.0,150.0,145.0,150.0,2.74,2436,353732.0
2019-01-21,146.0,148.0,146.0,146.0,-1.35,68,10024.0
2019-01-20,148.0,148.0,148.0,148.0,-1.99,732,108336.0
2019-01-17,147.0,151.0,147.0,151.0,1.34,516,76666.0
2019-01-16,147.0,149.0,147.0,149.0,-0.67,1021,151845.0
2019-01-15,150.0,150.0,150.0,150.0,-1.32,903,135450.0
2019-01-14,156.0,156.0,152.0,152.0,-1.94,2035,309435.0
2019-01-13,152.0,155.0,152.0,155.0,1.97,127,19457.0
2019-01-10,155.0,155.0,150.0,152.0,-3.8,1385,210475.0
2019-01-09,161.0,161.0,158.0,158.0,0.0,60,9510.0
2019-01-08,158.0,158.0,158.0,158.0,-1.86,10,1580.0
2019-01-07,158.0,161.0,158.0,161.0,3.87,20,3190.0
2018-12-31,156.0,156.0,155.0,155.0,-2.55,390,60830.0
2018-12-30,173.0,173.0,165.0,167.0,-1.76,908,152451.0
2018-12-27,171.0,174.0,170.0,170.0,1.19,1017,175698.0
2018-12-26,164.0,168.0,164.0,168.0,1.82,304,50242.0
2018-12-25,165.0,165.0,165.0,165.0,0.0,23,3792.0
2018-12-24,165.0,168.0,164.0,165.0,-0.6,333,54817.0
2018-12-23,167.0,168.0,165.0,166.0,1.22,460,76347.0
2018-12-20,164.0,164.0,164.0,164.0,1.23,446,73144.0
2018-12-19,165.0,165.0,162.0,162.0,-1.82,91,14775.0
2018-12-18,165.0,165.0,165.0,165.0,-1.79,181,29865.0
2018-12-17,156.0,168.0,156.0,168.0,8.39,1717,280570.0
