date,open,high,low,ltp,percent_change,qty,turnover
2012-07-23,81.0,83.0,80.0,82.0,0.0,2740,223320.0
2012-07-22,77.0,84.0,78.0,81.0,0.0,1610,131900.0
2012-07-19,81.0,80.0,77.0,77.0,0.0,410,31790.0
2012-07-18,80.0,82.0,80.0,81.0,0.0,160,12980.0
2012-07-17,74.0,81.0,74.0,80.0,0.0,3010,234540.0
2012-07-16,75.0,75.0,73.0,74.0,0.0,4320,323520.0
2012-07-15,73.0,75.0,74.0,75.0,0.0,640,47600.0
2012-07-12,72.0,73.0,71.0,73.0,0.0,460,33180.0
2012-07-11,74.0,74.0,72.0,72.0,0.0,600,43880.0
2012-07-10,73.0,74.0,73.0,74.0,0.0,160,11820.0
2012-07-09,75.0,75.0,73.0,73.0,0.0,2540,187950.0
2012-07-08,75.0,75.0,74.0,75.0,0.0,1500,112460.0
2012-07-05,72.0,76.0,75.0,75.0,0.0,3160,237320.0
2012-07-04,75.0,76.0,71.0,72.0,0.0,640,47580.0
2012-07-03,75.0,75.0,73.0,75.0,0.0,840,62380.0
2012-07-02,77.0,76.0,74.0,75.0,0.0,1930,144660.0
2012-07-01,80.0,79.0,74.0,77.0,0.0,1450,110480.0
2012-06-28,74.0,80.0,75.0,80.0,0.0,1450,111190.0
2012-06-27,75.0,75.0,73.0,74.0,0.0,1020,75540.0
2012-06-26,72.0,75.0,73.0,75.0,0.0,3470,256890.0
2012-06-25,72.0,74.0,72.0,72.0,0.0,1160,84820.0
2012-06-21,74.0,74.0,71.0,72.0,0.0,2970,215300.0
2012-06-20,74.0,74.0,72.0,74.0,0.0,1020,74720.0
2012-06-19,73.0,74.0,72.0,74.0,0.0,1280,93870.0
2012-06-18,73.0,74.0,72.0,73.0,0.0,1770,129390.0
2012-06-17,71.0,73.0,70.0,73.0,0.0,1960,138780.0
2012-06-14,73.0,73.0,70.0,71.0,0.0,3470,247130.0
2012-06-13,73.0,75.0,71.0,73.0,0.0,3150,229590.0
2012-06-12,75.0,74.0,69.0,73.0,0.0,2050,146860.0
2012-06-11,71.0,75.0,70.0,75.0,0.0,1420,104090.0
2012-06-10,73.0,73.0,67.0,71.0,0.0,2750,193960.0
2012-06-07,73.0,76.0,72.0,73.0,0.0,4950,364290.0
2012-06-06,73.0,74.0,70.0,73.0,0.0,4880,353500.0
2012-06-05,70.0,73.0,68.0,73.0,0.0,2610,182890.0
2012-06-04,74.0,75.0,69.0,70.0,0.0,1430,102240.0
2012-06-03,68.0,74.0,67.0,74.0,0.0,740,52990.0
2012-05-31,71.0,72.0,67.0,68.0,0.0,3630,251750.0
2012-05-30,73.0,71.0,67.0,71.0,0.0,3960,272570.0
2012-05-29,77.0,76.0,73.0,73.0,0.0,1440,107800.0
2012-05-27,78.0,77.0,77.0,77.0,0.0,30,2310.0
2012-05-24,76.0,78.0,75.0,78.0,0.0,1430,107780.0
2012-05-23,78.0,77.0,75.0,76.0,0.0,1780,136560.0
2012-05-22,80.0,79.0,76.0,78.0,0.0,3070,236880.0
2012-05-21,81.0,81.0,78.0,80.0,0.0,3320,262890.0
2012-05-20,86.0,85.0,80.0,81.0,0.0,2300,189560.0
2012-05-16,87.0,86.0,86.0,86.0,0.0,20,1720.0
2012-05-15,83.0,87.0,84.0,87.0,0.0,220,18910.0
2012-05-14,88.0,87.0,83.0,83.0,0.0,1510,127340.0
2012-05-13,88.0,89.0,87.0,88.0,0.0,1390,121980.0
2012-05-10,90.0,90.0,87.0,88.0,0.0,3500,309340.0
2012-05-09,92.0,91.0,88.0,90.0,0.0,1369,122861.0
2012-05-08,91.0,92.0,92.0,92.0,0.0,100,9200.0
2012-05-07,90.0,91.0,91.0,91.0,0.0,240,21840.0
2012-05-03,88.0,90.0,89.0,90.0,0.0,470,42220.0
2012-05-02,95.0,94.0,88.0,88.0,0.0,300,27740.0
2012-04-30,98.0,97.0,95.0,95.0,0.0,100,9560.0
2012-04-29,102.0,100.0,97.0,98.0,0.0,450,44350.0
2012-04-26,104.0,104.0,100.0,102.0,0.0,1380,141580.0
2012-04-25,95.0,104.0,99.0,104.0,0.0,250,25320.0
2012-04-24,92.0,95.0,92.0,95.0,0.0,290,26990.0
2012-04-22,91.0,93.0,86.0,92.0,0.0,4190,379820.0
2012-04-19,101.0,99.0,91.0,91.0,0.0,430,42030.0
