date,open,high,low,ltp,percent_change,qty,turnover
2017-03-28,352.0,366.0,355.0,365.0,0.0,2494,902776.0
2017-03-26,352.0,355.0,345.0,352.0,0.0,4658,1637936.0
2017-03-23,329.0,352.0,324.0,352.0,0.0,2911,984081.0
2017-03-22,354.0,360.0,329.0,329.0,0.0,3259,1118248.0
2017-03-21,331.0,354.0,330.0,354.0,0.0,3965,1333134.0
2017-03-20,327.0,349.0,325.0,331.0,0.0,1303,438451.0
2017-03-19,342.0,340.0,327.0,327.0,0.0,1691,558577.0
2017-03-16,343.0,346.0,340.0,342.0,0.0,509,174675.0
2017-03-15,326.0,343.0,328.0,343.0,0.0,492,165477.0
2017-03-14,325.0,331.0,326.0,326.0,0.0,538,175526.0
2017-03-13,331.0,331.0,325.0,325.0,0.0,120,39120.0
2017-03-09,337.0,331.0,331.0,331.0,0.0,20,6620.0
2017-03-07,342.0,337.0,337.0,337.0,0.0,148,49876.0
2017-03-06,340.0,346.0,342.0,342.0,0.0,411,141862.0
2017-03-05,338.0,340.0,340.0,340.0,0.0,59,20060.0
2017-03-02,340.0,340.0,335.0,338.0,0.0,147,49449.0
2017-03-01,350.0,352.0,340.0,340.0,0.0,623,215160.0
2017-02-28,352.0,354.0,350.0,350.0,0.0,103,36224.0
2017-02-26,355.0,352.0,352.0,352.0,0.0,19,6688.0
2017-02-22,343.0,355.0,349.0,355.0,0.0,73,25777.0
2017-02-21,350.0,345.0,343.0,343.0,0.0,219,75417.0
2017-02-20,350.0,358.0,345.0,350.0,0.0,1176,416716.0
2017-02-19,335.0,360.0,341.0,350.0,0.0,675,236049.0
2017-02-16,329.0,335.0,325.0,335.0,0.0,556,183458.0
2017-02-15,317.0,329.0,323.0,329.0,0.0,1130,368934.0
2017-02-14,322.0,328.0,316.0,317.0,0.0,329,105132.0
2017-02-13,299.0,322.0,303.0,322.0,0.0,252,77186.0
2017-02-12,332.0,332.0,299.0,299.0,0.0,1934,606086.0
2017-02-09,333.0,333.0,327.0,332.0,0.0,291,96217.0
2017-02-08,349.0,345.0,333.0,333.0,0.0,481,164303.0
2017-02-07,360.0,360.0,349.0,349.0,0.0,744,261095.0
2017-02-06,355.0,363.0,358.0,360.0,0.0,1983,716208.0
2017-02-05,353.0,388.0,355.0,355.0,0.0,3498,1287252.0
2017-02-02,321.0,353.0,327.0,353.0,0.0,2702,935184.0
2017-02-01,303.0,321.0,309.0,321.0,0.0,218,67660.0
2017-01-31,312.0,307.0,295.0,303.0,0.0,1552,462546.0
2017-01-30,336.0,330.0,312.0,312.0,0.0,196,63990.0
2017-01-26,342.0,340.0,323.0,336.0,0.0,1092,365881.0
2017-01-25,355.0,348.0,342.0,342.0,0.0,47,16146.0
2017-01-24,370.0,365.0,351.0,355.0,0.0,1028,368146.0
2017-01-23,375.0,370.0,368.0,370.0,0.0,377,138934.0
2017-01-22,370.0,375.0,370.0,375.0,0.0,259,96255.0
2017-01-19,371.0,370.0,368.0,370.0,0.0,112,41356.0
2017-01-18,381.0,377.0,370.0,371.0,0.0,441,163954.0
2017-01-17,354.0,381.0,360.0,381.0,0.0,2045,747205.0
2017-01-16,350.0,361.0,343.0,354.0,0.0,408,144136.0
2017-01-15,361.0,354.0,347.0,350.0,0.0,112,39190.0
2017-01-12,361.0,361.0,361.0,361.0,0.0,198,71478.0
2017-01-11,353.0,361.0,353.0,361.0,0.0,993,356599.0
2017-01-10,350.0,363.0,352.0,353.0,0.0,979,350170.0
2017-01-09,362.0,356.0,350.0,350.0,0.0,378,132984.0
2017-01-08,356.0,370.0,360.0,362.0,0.0,738,267460.0
2017-01-05,350.0,357.0,350.0,356.0,0.0,129,45428.0
2017-01-04,357.0,357.0,345.0,350.0,0.0,959,335848.0
2017-01-03,370.0,377.0,357.0,357.0,0.0,467,167922.0
2017-01-02,371.0,370.0,370.0,370.0,0.0,525,194250.0
2017-01-01,368.0,375.0,370.0,371.0,0.0,492,182955.0
2016-12-29,349.0,368.0,348.0,368.0,0.0,220,77864.0
2016-12-28,353.0,355.0,349.0,349.0,0.0,340,119509.0
2016-12-27,341.0,353.0,341.0,353.0,0.0,324,113686.0
2016-12-26,348.0,345.0,340.0,341.0,0.0,214,73328.0
2016-12-22,342.0,348.0,342.0,348.0,0.0,50,17220.0
2016-12-21,370.0,364.0,342.0,342.0,0.0,1586,563816.0
2016-12-20,377.0,370.0,368.0,370.0,0.0,571,211206.0
2016-12-19,381.0,380.0,377.0,377.0,0.0,565,214175.0
2016-12-18,381.0,381.0,372.0,381.0,0.0,774,293541.0
2016-12-15,381.0,381.0,375.0,381.0,0.0,490,185992.0
2016-12-14,380.0,387.0,374.0,381.0,0.0,455,171680.0
2016-12-12,380.0,380.0,373.0,380.0,0.0,665,250518.0
2016-12-11,397.0,393.0,380.0,380.0,0.0,544,207877.0
2016-12-08,387.0,397.0,390.0,397.0,0.0,800,312958.0
2016-12-07,380.0,387.0,387.0,387.0,0.0,800,309600.0
2016-12-06,392.0,385.0,373.0,380.0,0.0,1488,570918.0
2016-12-05,410.0,415.0,392.0,392.0,0.0,961,381790.0
2016-12-04,437.0,430.0,408.0,410.0,0.0,1159,478600.0
2016-12-01,420.0,445.0,428.0,437.0,0.0,1326,583140.0
2016-11-30,395.0,420.0,390.0,420.0,0.0,168,67991.0
2016-11-29,384.0,395.0,380.0,395.0,0.0,711,273649.0
2016-11-28,388.0,385.0,381.0,384.0,0.0,503,192115.0
2016-11-27,393.0,395.0,379.0,388.0,0.0,702,273071.0
2016-11-23,425.0,417.0,386.0,393.0,0.0,911,365005.0
2016-11-22,462.0,460.0,425.0,425.0,0.0,287,125831.0
2016-11-20,471.0,470.0,452.0,462.0,0.0,391,180299.0
2016-11-17,480.0,471.0,471.0,471.0,0.0,200,94200.0
2016-11-16,486.0,480.0,471.0,480.0,0.0,717,340323.0
2016-11-15,478.0,493.0,485.0,486.0,0.0,1787,873350.0
2016-11-14,476.0,481.0,478.0,478.0,0.0,809,388294.0
2016-11-13,485.0,476.0,476.0,476.0,0.0,11,5236.0
2016-11-10,482.0,490.0,485.0,485.0,0.0,26,12675.0
2016-11-09,470.0,482.0,467.0,482.0,0.0,206,98414.0
2016-11-08,473.0,494.0,470.0,470.0,0.0,1427,685059.0
2016-11-07,475.0,481.0,473.0,473.0,0.0,642,308352.0
2016-11-03,475.0,475.0,471.0,475.0,0.0,169,79859.0
2016-10-27,475.0,475.0,470.0,475.0,0.0,30,14150.0
2016-10-26,500.0,490.0,470.0,475.0,0.0,219,104506.0
2016-10-25,510.0,500.0,500.0,500.0,0.0,226,113000.0
2016-10-24,500.0,510.0,495.0,510.0,0.0,1262,629774.0
2016-10-23,500.0,505.0,490.0,500.0,0.0,2062,1026405.0
2016-10-20,494.0,500.0,495.0,500.0,0.0,2346,1172822.0
2016-10-19,500.0,500.0,494.0,494.0,0.0,779,388990.0
2016-10-18,510.0,510.0,500.0,500.0,0.0,2605,1303520.0
2016-10-17,515.0,520.0,510.0,510.0,0.0,326,166520.0
2016-10-16,520.0,520.0,510.0,515.0,0.0,546,281160.0
2016-10-06,525.0,527.0,510.0,520.0,0.0,1493,774933.0
2016-10-05,525.0,526.0,525.0,525.0,0.0,170,89260.0
2016-10-04,545.0,545.0,525.0,525.0,0.0,95,50755.0
2016-10-03,530.0,545.0,539.0,545.0,0.0,861,464966.0
2016-10-02,520.0,540.0,529.0,530.0,0.0,427,226904.0
2016-09-29,510.0,520.0,511.0,520.0,0.0,423,219169.0
2016-09-28,540.0,535.0,510.0,510.0,0.0,260,137034.0
2016-09-27,535.0,540.0,532.0,540.0,0.0,172,92364.0
2016-09-26,502.0,535.0,505.0,535.0,0.0,486,253229.0
2016-09-25,531.0,522.0,502.0,502.0,0.0,1639,829765.0
2016-09-22,539.0,539.0,531.0,531.0,0.0,91,48685.0
2016-09-21,530.0,539.0,521.0,539.0,0.0,810,428633.0
2016-09-20,555.0,555.0,530.0,530.0,0.0,1722,919142.0
2016-09-18,550.0,560.0,550.0,555.0,0.0,2219,1224725.0
2016-09-14,545.0,550.0,525.0,550.0,0.0,1643,886900.0
2016-09-12,580.0,590.0,545.0,545.0,0.0,3418,1933576.0
2016-09-11,603.0,610.0,579.0,580.0,0.0,4287,2505200.0
2016-09-08,613.0,625.0,600.0,603.0,0.0,8606,5243643.0
2016-09-07,598.0,640.0,595.0,613.0,0.0,31730,19460210.0
2016-09-06,544.0,598.0,554.0,598.0,0.0,7963,4760774.0
2016-09-05,495.0,544.0,490.0,544.0,0.0,25151,13352451.0
2016-09-04,450.0,495.0,455.0,495.0,0.0,16357,7909492.0
2016-09-03,450.0,495.0,455.0,495.0,0.0,16357,7909492.0
2016-09-01,435.0,453.0,425.0,450.0,0.0,6327,2813688.0
2016-08-31,433.0,435.0,425.0,435.0,0.0,1445,623786.0
2016-08-30,411.0,434.0,417.0,433.0,0.0,965,408047.0
2016-08-29,410.0,416.0,410.0,411.0,0.0,345,141523.0
2016-08-28,412.0,412.0,405.0,410.0,0.0,696,285041.0
2016-08-24,408.0,422.0,400.0,412.0,0.0,2494,1034160.0
2016-08-23,405.0,409.0,397.0,408.0,0.0,2289,918088.0
2016-08-22,430.0,430.0,392.0,405.0,0.0,3719,1497054.0
2016-08-21,405.0,445.0,413.0,430.0,0.0,7496,3302219.0
2016-08-17,369.0,405.0,376.0,405.0,0.0,4130,1663758.0
2016-08-16,350.0,369.0,344.0,369.0,0.0,1367,485733.0
2016-08-15,377.0,380.0,350.0,350.0,0.0,3791,1365062.0
2016-08-14,402.0,394.0,370.0,377.0,0.0,445,172726.0
2016-08-11,394.0,408.0,395.0,402.0,0.0,2853,1142962.0
2016-08-10,385.0,397.0,385.0,394.0,0.0,718,279951.0
2016-08-08,390.0,385.0,385.0,385.0,0.0,45,17325.0
2016-08-07,386.0,396.0,384.0,390.0,0.0,1163,452988.0
