date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.5,9.7,9.02,9.38,-2.39,2440,22541.2
2026-02-11,9.8,9.8,9.61,9.61,-2.73,350,3411.0
2026-02-10,9.69,9.9,9.31,9.88,4.0,39866,391285.58
2026-02-09,9.2,9.67,9.2,9.5,2.04,4100,38811.0
2026-02-08,9.94,10.11,8.98,9.31,-4.51,3370,31602.5
2026-02-05,9.76,9.76,9.57,9.75,1.88,4610,44202.7
2026-02-04,9.56,9.69,9.4,9.57,2.03,6560,61870.0
2026-02-03,9.5,9.5,9.14,9.38,0.64,4749,44013.68
2026-02-02,9.13,9.48,9.12,9.32,1.75,9549,88175.95
2026-02-01,9.07,9.34,9.07,9.16,-0.97,4450,40834.5
2026-01-29,9.3,9.4,9.11,9.25,-0.22,5360,49281.0
2026-01-28,9.44,9.44,9.26,9.27,-3.74,3150,29417.0
2026-01-27,9.16,9.82,9.15,9.63,3.1,278450,2677920.5
2026-01-26,9.0,9.34,9.0,9.34,1.97,24880,231714.0
2026-01-25,9.2,9.38,9.1,9.16,-2.35,9400,86360.0
2026-01-22,9.03,9.38,9.03,9.38,2.07,19600,179432.5
2026-01-21,9.42,9.48,9.11,9.19,-4.37,3020,28133.6
2026-01-20,9.25,9.61,9.02,9.61,1.91,20770,191756.0
2026-01-18,10.0,10.0,9.0,9.43,-5.7,17195,157489.85
2026-02-17,9.1,9.52,9.1,9.52,3.93,3400,31423.0
2026-02-16,9.2,9.3,9.0,9.16,-2.35,3900,35701.0
2026-02-23,9.58,9.6,9.58,9.6,-1.74,12788,122635.04
2026-02-22,9.52,9.77,9.33,9.77,2.63,4425,41930.0
2026-02-25,9.7,9.7,9.1,9.26,-3.54,3500,32445.0
