date,open,high,low,ltp,percent_change,qty,turnover
2012-06-14,133.0,135.0,125.0,126.0,0.0,657,83223.0
2012-06-13,144.0,142.0,133.0,133.0,0.0,229,31363.0
2012-06-12,147.0,149.0,144.0,144.0,0.0,704,103456.0
2012-06-11,147.0,147.0,147.0,147.0,0.0,68,9996.0
2012-06-10,156.0,153.0,147.0,147.0,0.0,230,34574.0
2012-06-07,159.0,156.0,156.0,156.0,0.0,40,6240.0
2012-06-06,165.0,162.0,156.0,159.0,0.0,327,52281.0
2012-05-27,158.0,165.0,158.0,165.0,0.0,638,104837.0
2012-05-24,162.0,162.0,158.0,158.0,0.0,260,41796.0
2012-05-23,168.0,165.0,162.0,162.0,0.0,34,5541.0
2012-05-22,159.0,168.0,162.0,168.0,0.0,1041,171909.0
2012-05-21,145.0,159.0,144.0,159.0,0.0,83,12432.0
2012-05-14,147.0,147.0,145.0,145.0,0.0,157,22787.0
2012-05-10,145.0,147.0,147.0,147.0,0.0,34,4998.0
2012-04-29,141.0,145.0,143.0,145.0,0.0,46,6624.0
2012-04-22,143.0,141.0,141.0,141.0,0.0,253,35673.0
2012-04-18,141.0,143.0,143.0,143.0,0.0,10,1430.0
2012-04-17,139.0,141.0,141.0,141.0,0.0,92,12972.0
2012-04-16,137.0,139.0,139.0,139.0,0.0,60,8340.0
2012-04-09,137.0,137.0,137.0,137.0,0.0,11,1507.0
2012-04-04,137.0,137.0,137.0,137.0,0.0,40,5480.0
2012-04-03,134.0,137.0,135.0,137.0,0.0,122,16692.0
2012-04-02,134.0,136.0,134.0,134.0,0.0,119,15966.0
2012-04-01,132.0,134.0,133.0,134.0,0.0,351,46771.0
2012-03-25,130.0,132.0,132.0,132.0,0.0,10,1320.0
2012-03-20,135.0,133.0,130.0,130.0,0.0,122,15904.0
2012-03-18,135.0,136.0,135.0,135.0,0.0,170,22973.0
2012-03-13,133.0,135.0,135.0,135.0,0.0,40,5400.0
2012-03-11,131.0,133.0,133.0,133.0,0.0,10,1330.0
2012-03-05,133.0,131.0,131.0,131.0,0.0,10,1310.0
2012-03-04,131.0,133.0,133.0,133.0,0.0,46,6118.0
2012-02-29,136.0,134.0,131.0,131.0,0.0,260,34340.0
2012-02-27,134.0,136.0,136.0,136.0,0.0,40,5440.0
2012-02-26,137.0,138.0,134.0,134.0,0.0,290,39580.0
2012-02-23,136.0,137.0,137.0,137.0,0.0,23,3151.0
