date,open,high,low,ltp,percent_change,qty,turnover
2014-07-13,270.0,280.0,275.0,280.0,0.0,87,24035.0
2014-07-09,262.0,272.0,267.0,270.0,0.0,434,117169.0
2014-07-08,239.0,262.0,243.0,262.0,0.0,1526,397394.0
2014-07-07,218.0,239.0,222.0,239.0,0.0,3277,752696.0
2014-07-06,210.0,222.0,214.0,218.0,0.0,3385,737906.0
2014-07-03,212.0,216.0,210.0,210.0,0.0,1126,239088.0
2014-07-02,208.0,212.0,208.0,212.0,0.0,584,123472.0
2014-07-01,214.0,218.0,207.0,208.0,0.0,3689,778088.0
2014-06-25,218.0,214.0,214.0,214.0,0.0,14,2996.0
2014-06-16,214.0,218.0,218.0,218.0,0.0,13,2834.0
2014-06-15,218.0,218.0,214.0,214.0,0.0,1084,232332.0
2014-06-10,222.0,219.0,218.0,218.0,0.0,94,20505.0
2014-06-09,222.0,228.0,222.0,222.0,0.0,1475,331188.0
2014-06-08,210.0,222.0,214.0,222.0,0.0,480,104308.0
2014-06-05,214.0,210.0,210.0,210.0,0.0,76,15960.0
2014-06-04,210.0,214.0,207.0,214.0,0.0,1401,297086.0
2014-06-03,212.0,210.0,210.0,210.0,0.0,188,39480.0
2014-06-02,216.0,212.0,212.0,212.0,0.0,1070,226840.0
2014-05-28,220.0,216.0,216.0,216.0,0.0,105,22680.0
2014-05-25,216.0,220.0,218.0,220.0,0.0,141,30790.0
2014-05-22,220.0,217.0,216.0,216.0,0.0,295,63791.0
2014-05-21,217.0,221.0,217.0,220.0,0.0,1388,304828.0
2014-05-20,222.0,226.0,217.0,217.0,0.0,3874,864718.0
2014-05-19,219.0,224.0,220.0,222.0,0.0,4703,1043012.0
2014-05-18,227.0,223.0,219.0,219.0,0.0,775,170145.0
2014-05-15,227.0,231.0,227.0,227.0,0.0,462,106666.0
2014-05-12,231.0,227.0,227.0,227.0,0.0,14,3178.0
2014-05-11,235.0,231.0,231.0,231.0,0.0,11,2541.0
2014-05-08,239.0,243.0,235.0,235.0,0.0,730,172617.0
2014-05-07,227.0,239.0,231.0,239.0,0.0,516,122832.0
2014-05-06,223.0,228.0,227.0,227.0,0.0,389,88482.0
2014-05-05,214.0,223.0,218.0,223.0,0.0,205,45381.0
2014-05-04,204.0,214.0,205.0,214.0,0.0,3241,676678.0
2014-04-30,197.0,204.0,200.0,204.0,0.0,67,13512.0
2014-04-29,191.0,197.0,194.0,197.0,0.0,137,26656.0
2014-04-28,182.0,191.0,184.0,191.0,0.0,864,159838.0
2014-04-27,180.0,186.0,180.0,182.0,0.0,572,105937.0
2014-04-23,174.0,180.0,177.0,180.0,0.0,1097,197247.0
2014-04-21,180.0,177.0,174.0,174.0,0.0,388,68076.0
2014-04-20,183.0,180.0,177.0,180.0,0.0,706,126276.0
2014-04-17,186.0,183.0,183.0,183.0,0.0,54,9882.0
2014-04-16,184.0,193.0,185.0,186.0,0.0,2536,477419.0
2014-04-15,181.0,184.0,181.0,184.0,0.0,1586,290207.0
2014-04-13,187.0,184.0,181.0,181.0,0.0,143,26150.0
2014-04-10,204.0,200.0,187.0,187.0,0.0,3203,606985.0
2014-04-03,212.0,208.0,204.0,204.0,0.0,36,7424.0
2014-03-09,216.0,212.0,212.0,212.0,0.0,116,24592.0
2014-03-05,216.0,216.0,216.0,216.0,0.0,10,2160.0
2014-03-03,214.0,218.0,216.0,216.0,0.0,304,66058.0
2014-02-26,212.0,214.0,210.0,214.0,0.0,812,171792.0
2014-02-24,213.0,217.0,212.0,212.0,0.0,1262,270142.0
2014-02-23,209.0,217.0,213.0,213.0,0.0,2189,470318.0
2014-02-20,194.0,209.0,197.0,209.0,0.0,5267,1080830.0
2014-02-18,177.0,194.0,180.0,194.0,0.0,6468,1239052.0
2014-02-17,161.0,177.0,164.0,177.0,0.0,5523,964631.0
2014-02-16,147.0,161.0,149.0,161.0,0.0,3762,590540.0
2014-02-13,144.0,147.0,146.0,147.0,0.0,242,35520.0
2014-01-28,140.0,144.0,142.0,144.0,0.0,134,19118.0
2014-01-27,138.0,140.0,140.0,140.0,0.0,448,62720.0
