date,open,high,low,ltp,percent_change,qty,turnover
2016-09-29,519.0,523.0,519.0,523.0,0.0,19379,10094787.0
2016-09-28,525.0,530.0,515.0,519.0,0.0,3090,1616532.0
2016-09-27,520.0,531.0,525.0,525.0,0.0,8577,4522995.0
2016-09-26,520.0,533.0,520.0,520.0,0.0,14286,7531910.0
2016-09-25,540.0,530.0,515.0,520.0,0.0,9136,4790882.0
2016-09-22,544.0,541.0,530.0,540.0,0.0,7482,4001918.0
2016-09-21,550.0,555.0,520.0,544.0,0.0,17059,9035565.0
2016-09-20,554.0,560.0,547.0,550.0,0.0,9992,5507350.0
2016-09-18,566.0,565.0,554.0,554.0,0.0,8789,4907185.0
2016-09-14,575.0,575.0,561.0,566.0,0.0,4581,2604591.0
2016-09-12,579.0,582.0,569.0,575.0,0.0,5707,3271041.0
2016-09-11,577.0,579.0,565.0,579.0,0.0,3869,2224185.0
2016-09-08,578.0,589.0,565.0,577.0,0.0,4358,2486662.0
2016-09-07,587.0,585.0,565.0,578.0,0.0,5016,2900228.0
2016-09-06,579.0,600.0,570.0,587.0,0.0,17917,10551792.0
2016-09-05,571.0,582.0,560.0,579.0,0.0,11540,6674505.0
2016-09-04,570.0,575.0,562.0,571.0,0.0,9347,5304184.0
2016-09-03,570.0,575.0,562.0,571.0,0.0,9347,5304184.0
2016-09-01,561.0,570.0,554.0,570.0,0.0,10204,5724841.0
2016-08-31,550.0,561.0,541.0,561.0,0.0,8708,4829504.0
2016-08-30,559.0,555.0,541.0,550.0,0.0,12562,6900520.0
2016-08-29,556.0,560.0,548.0,559.0,0.0,3376,1876034.0
2016-08-28,540.0,558.0,540.0,556.0,0.0,5696,3115418.0
2016-08-24,536.0,546.0,536.0,540.0,0.0,9545,5156286.0
2016-08-23,535.0,545.0,532.0,536.0,0.0,4270,2305490.0
2016-08-22,550.0,546.0,535.0,535.0,0.0,7306,3919565.0
2016-08-21,558.0,569.0,539.0,550.0,0.0,6333,3509819.0
2016-08-17,568.0,579.0,557.0,558.0,0.0,4368,2460080.0
2016-08-16,555.0,568.0,544.0,568.0,0.0,4515,2491723.0
2016-08-15,559.0,569.0,535.0,555.0,0.0,8688,4808367.0
2016-08-14,574.0,574.0,559.0,559.0,0.0,14799,8343017.0
2016-08-11,576.0,587.0,570.0,574.0,0.0,20818,12027690.0
2016-08-10,585.0,600.0,550.0,576.0,0.0,30140,17454072.0
2016-08-09,552.0,585.0,563.0,585.0,0.0,264,153626.0
2016-08-08,564.0,572.0,552.0,552.0,0.0,16822,9451604.0
2016-08-07,545.0,587.0,553.0,564.0,0.0,47617,27339076.0
2016-08-04,565.0,572.0,542.0,545.0,0.0,11783,6538241.0
2016-08-03,551.0,565.0,540.0,565.0,0.0,9689,5331634.0
2016-08-02,562.0,563.0,550.0,551.0,0.0,11114,6157186.0
2016-08-01,569.0,586.0,554.0,562.0,0.0,16982,9616434.0
2016-07-31,555.0,576.0,563.0,569.0,0.0,27466,15624284.0
2016-07-28,557.0,585.0,555.0,555.0,0.0,36328,20601224.0
2016-07-27,583.0,597.0,557.0,557.0,0.0,25527,14596621.0
2016-07-26,573.0,606.0,553.0,583.0,0.0,38593,22481188.0
2016-07-25,527.0,579.0,535.0,573.0,0.0,22450,12891811.0
2016-07-21,488.0,536.0,495.0,527.0,0.0,47138,24230172.0
2016-07-20,477.0,495.0,480.0,488.0,0.0,42729,20770436.0
2016-07-19,475.0,484.0,473.0,477.0,0.0,22828,10891124.0
2016-07-18,469.0,490.0,473.0,475.0,0.0,23169,11118240.0
