date,open,high,low,ltp,percent_change,qty,turnover
2015-06-21,5202.0,5100.0,5100.0,5100.0,0.0,30,153000.0
2015-06-17,5202.0,5202.0,5202.0,5202.0,0.0,30,156060.0
2015-06-15,5100.0,5202.0,5202.0,5202.0,0.0,54,280908.0
2015-06-11,5000.0,5100.0,5100.0,5100.0,0.0,50,255000.0
2015-06-08,5145.0,5043.0,5000.0,5000.0,0.0,23,115430.0
2015-06-03,5249.0,5145.0,5145.0,5145.0,0.0,15,77175.0
2015-05-27,5300.0,5249.0,5200.0,5249.0,0.0,78,406629.0
2015-05-26,5352.0,5300.0,5300.0,5300.0,0.0,13,68900.0
2015-04-23,5461.0,5352.0,5352.0,5352.0,0.0,103,551256.0
2015-04-21,5461.0,5461.0,5461.0,5461.0,0.0,43,234823.0
2015-04-20,5680.0,5567.0,5461.0,5461.0,0.0,36,197974.0
2015-04-19,5780.0,5680.0,5680.0,5680.0,0.0,13,73840.0
2015-04-13,5880.0,5780.0,5780.0,5780.0,0.0,36,208080.0
2015-03-29,5880.0,5880.0,5880.0,5880.0,0.0,13,76440.0
2015-03-25,5765.0,5880.0,5880.0,5880.0,0.0,10,58800.0
2015-03-22,5881.0,5765.0,5765.0,5765.0,0.0,45,259425.0
2015-03-12,6000.0,5881.0,5881.0,5881.0,0.0,88,517528.0
2015-02-23,6076.0,6000.0,6000.0,6000.0,0.0,90,540000.0
2015-02-18,6200.0,6076.0,6076.0,6076.0,0.0,88,534688.0
2015-02-05,6211.0,6200.0,6200.0,6200.0,0.0,113,700600.0
2015-02-04,6322.0,6250.0,6210.0,6211.0,0.0,113,704748.0
2015-02-03,6450.0,6322.0,6322.0,6322.0,0.0,51,322422.0
2015-02-02,6469.0,6450.0,6450.0,6450.0,0.0,50,322500.0
2015-02-01,6420.0,6500.0,6469.0,6469.0,0.0,258,1674117.0
2015-01-28,6550.0,6420.0,6420.0,6420.0,0.0,40,256800.0
2015-01-27,6440.0,6550.0,6419.0,6550.0,0.0,232,1498345.0
2015-01-19,6370.0,6450.0,6400.0,6440.0,0.0,92,591745.0
2015-01-18,6370.0,6370.0,6370.0,6370.0,0.0,103,656110.0
2015-01-14,6125.0,6370.0,6200.0,6370.0,0.0,60,377470.0
2015-01-12,6125.0,6125.0,6122.0,6125.0,0.0,183,1120725.0
2015-01-11,6050.0,6125.0,6100.0,6125.0,0.0,98,599425.0
2015-01-08,6050.0,6050.0,5951.0,6050.0,0.0,134,809181.0
2015-01-07,6100.0,6140.0,6050.0,6050.0,0.0,606,3678870.0
2015-01-06,6000.0,6100.0,6000.0,6100.0,0.0,116,702550.0
2015-01-05,6090.0,6000.0,6000.0,6000.0,0.0,176,1056000.0
2015-01-04,5800.0,6090.0,5916.0,6090.0,0.0,776,4679275.0
2015-01-01,5716.0,5800.0,5750.0,5800.0,0.0,109,629950.0
2014-12-31,5197.0,5716.0,5300.0,5716.0,0.0,250,1397907.0
2014-12-29,5200.0,5197.0,5096.0,5197.0,0.0,27,138905.0
2014-12-28,4950.0,5250.0,5049.0,5200.0,0.0,247,1279868.0
2014-12-24,4750.0,4950.0,4825.0,4950.0,0.0,83,408594.0
2014-12-23,4794.0,4795.0,4750.0,4750.0,0.0,29,138605.0
2014-12-15,4700.0,4794.0,4794.0,4794.0,0.0,18,86292.0
2014-12-03,4650.0,4700.0,4700.0,4700.0,0.0,84,394800.0
2014-12-02,4655.0,4700.0,4650.0,4650.0,0.0,111,519375.0
2014-12-01,4750.0,4755.0,4655.0,4655.0,0.0,287,1359715.0
2014-11-30,4939.0,4842.0,4750.0,4750.0,0.0,102,487250.0
2014-11-25,4920.0,4939.0,4939.0,4939.0,0.0,100,493900.0
2014-11-23,4790.0,5020.0,4850.0,4920.0,0.0,132,652750.0
2014-11-20,4600.0,4790.0,4692.0,4790.0,0.0,103,488220.0
2014-11-18,4851.0,4755.0,4600.0,4600.0,0.0,114,532290.0
2014-11-16,4950.0,4851.0,4851.0,4851.0,0.0,20,97020.0
2014-11-13,4896.0,5000.0,4950.0,4950.0,0.0,85,422325.0
2014-11-12,5111.0,5213.0,4896.0,4896.0,0.0,150,758120.0
2014-11-11,4647.0,5111.0,4739.0,5111.0,0.0,375,1842108.0
2014-11-09,4556.0,4647.0,4556.0,4647.0,0.0,226,1030930.0
2014-11-06,4380.0,4556.0,4467.0,4556.0,0.0,55,248355.0
2014-11-04,4700.0,4650.0,4380.0,4380.0,0.0,531,2407231.0
2014-11-02,4700.0,4700.0,4700.0,4700.0,0.0,42,197400.0
2014-10-30,4750.0,4700.0,4700.0,4700.0,0.0,45,211500.0
2014-10-19,4800.0,4750.0,4750.0,4750.0,0.0,19,90250.0
2014-10-16,4825.0,4800.0,4800.0,4800.0,0.0,126,604800.0
2014-10-15,4800.0,4825.0,4825.0,4825.0,0.0,111,535575.0
2014-09-18,4849.0,4800.0,4753.0,4800.0,0.0,30,143389.0
2014-09-16,4896.0,4849.0,4849.0,4849.0,0.0,13,63037.0
2014-09-03,5096.0,4995.0,4896.0,4896.0,0.0,32,157959.0
2014-09-01,5200.0,5096.0,5096.0,5096.0,0.0,25,127400.0
2014-08-18,5200.0,5200.0,5200.0,5200.0,0.0,50,260000.0
2014-08-14,5202.0,5200.0,5200.0,5200.0,0.0,50,260000.0
2014-08-06,5096.0,5202.0,5100.0,5202.0,0.0,45,233070.0
2014-08-05,5200.0,5096.0,5096.0,5096.0,0.0,113,575848.0
2014-08-04,5484.0,5375.0,5100.0,5200.0,0.0,68,354450.0
2014-07-24,5377.0,5484.0,5484.0,5484.0,0.0,20,109680.0
2014-07-22,5710.0,5597.0,5377.0,5377.0,0.0,369,2010195.0
2014-07-20,5750.0,5710.0,5710.0,5710.0,0.0,160,913600.0
2014-07-17,5865.0,5750.0,5750.0,5750.0,0.0,30,172500.0
2014-07-16,5750.0,5865.0,5860.0,5865.0,0.0,125,733075.0
2014-07-14,5800.0,5751.0,5750.0,5750.0,0.0,330,1897602.0
2014-07-09,5800.0,5800.0,5800.0,5800.0,0.0,22,127600.0
2014-07-08,5850.0,5800.0,5800.0,5800.0,0.0,48,278400.0
2014-07-07,5770.0,5850.0,5850.0,5850.0,0.0,133,778050.0
2014-07-06,5755.0,5770.0,5750.0,5770.0,0.0,166,957020.0
2014-07-03,5850.0,5755.0,5755.0,5755.0,0.0,38,218690.0
2014-07-02,5700.0,5850.0,5800.0,5850.0,0.0,458,2663550.0
2014-07-01,5648.0,5700.0,5602.0,5700.0,0.0,170,963120.0
