date,open,high,low,ltp,percent_change,qty,turnover
2026-04-08,268.6,268.6,268.6,268.6,-1.97,11000,2954600.0
2026-02-25,274.0,274.0,274.0,274.0,0.0,3000,822000.0
2026-01-05,274.0,274.0,274.0,274.0,0.0,22632,6201168.0
2025-08-26,274.0,274.0,274.0,274.0,0.0,10998,3013452.0
2025-07-16,274.0,274.0,274.0,274.0,1.11,30342,8313708.0
2025-02-16,303.0,303.0,303.0,303.0,0.0,15170,4596510.0
2024-04-15,204.0,204.0,204.0,204.0,0.0,22633,4617132.0
2024-03-18,204.0,204.0,204.0,204.0,-5.12,7455,1520820.0
2023-07-13,215.0,215.0,215.0,215.0,0.0,20656,4441040.0
2023-03-27,164.0,164.0,164.0,164.0,0.0,12387,2031468.0
2023-03-09,164.0,164.0,164.0,164.0,0.0,14244,2336016.0
2023-01-09,164.0,164.0,164.0,164.0,0.0,20655,3387420.0
2023-01-02,164.0,164.0,164.0,164.0,0.0,10000,1640000.0
2022-11-16,164.0,164.0,164.0,164.0,0.0,8162,1338568.0
2022-10-13,164.0,164.0,164.0,164.0,0.0,2695,441980.0
2022-06-28,177.0,177.0,177.0,177.0,0.0,6082,1076514.0
2022-05-12,177.0,177.0,177.0,177.0,0.0,17961,3179097.0
2022-01-03,316.0,316.0,316.0,316.0,0.0,12300,3886800.0
2022-01-02,316.0,316.0,316.0,316.0,0.0,1326,419016.0
2021-12-09,316.0,316.0,316.0,316.0,-1.86,17864,5645024.0
2021-11-30,322.0,322.0,322.0,322.0,0.0,563,181286.0
2021-09-13,346.0,346.0,346.0,346.0,0.0,9296,3216416.0
2021-08-18,346.0,346.0,346.0,346.0,0.0,5629,1947634.0
2021-01-05,109.0,109.0,109.0,109.0,0.0,4800,523200.0
2020-11-02,109.0,109.0,109.0,109.0,0.0,11260,1227340.0
2020-07-07,109.0,109.0,109.0,109.0,0.0,10054,1095886.0
2019-09-26,109.0,109.0,109.0,109.0,-8.4,2240,244160.0
2019-07-17,119.0,119.0,119.0,119.0,0.0,5600,666400.0
2019-04-24,119.0,119.0,119.0,119.0,8.18,25135,2991065.0
2018-10-02,110.0,110.0,110.0,110.0,0.0,18354,2143440.0
2018-09-04,100.0,100.0,100.0,100.0,0.0,2600,260000.0
2018-04-04,114.0,114.0,114.0,114.0,-1.72,8278,943692.0
2018-01-07,116.0,100.0,100.0,100.0,0.0,15081,1508100.0
2017-11-23,118.0,118.0,116.0,116.0,0.0,22108,2604744.0
2017-11-21,120.0,118.0,118.0,118.0,0.0,15081,1779558.0
2017-07-13,120.0,120.0,120.0,120.0,0.0,10000,1200000.0
2016-01-13,100.0,100.0,100.0,100.0,0.0,53000,5300000.0
