date,open,high,low,ltp,percent_change,qty,turnover
2023-03-22,395.0,400.0,385.0,387.0,-1.78,10158,3961096.9
2023-03-20,391.1,402.0,391.1,394.0,0.23,4735,1874732.5
2023-03-19,388.2,400.0,388.2,393.1,0.03,2541,1001587.0
2023-03-16,390.3,399.0,390.3,393.0,-1.26,2724,1072403.0
2023-03-15,390.2,398.8,390.2,398.0,0.76,2942,1157795.7
2023-03-14,390.0,400.0,385.3,395.0,-0.3,4730,1856946.0
2023-03-13,395.0,403.0,394.1,396.2,-1.44,2222,885300.4
2023-03-12,405.0,421.0,400.0,402.0,-2.66,3740,1524772.0
2023-03-09,393.0,413.0,390.1,413.0,5.09,10880,4365490.2
2023-03-07,386.0,395.7,385.0,393.0,1.29,4132,1611127.6
2023-03-05,391.1,396.0,386.1,388.0,-1.27,4448,1732972.8
2023-03-02,394.3,401.0,393.0,393.0,-2.0,5359,2129619.6
2023-03-01,397.0,411.0,391.0,401.0,-0.99,3693,1481757.3
2023-02-28,397.0,412.0,391.1,405.0,0.0,6118,2463696.0
2023-02-27,410.0,418.0,394.2,405.0,0.75,9799,3913672.1
2023-02-26,395.0,406.0,387.0,402.0,0.0,6804,2701670.0
2023-02-23,405.0,405.0,399.0,402.0,-2.66,14232,5709177.9
2023-02-22,400.0,417.0,400.0,413.0,2.97,4889,2013611.0
2023-02-20,405.0,410.0,400.1,401.1,-0.27,7356,2964912.5
2023-02-16,405.0,414.0,401.0,402.2,-1.9,9198,3724715.4
2023-02-15,412.0,420.1,410.0,410.0,-1.68,6695,2770853.0
2023-02-14,415.0,423.4,411.5,417.0,-0.48,4500,1882979.5
2023-02-12,435.0,435.0,418.0,419.0,-4.77,8846,3749342.0
2023-02-09,430.1,440.6,428.0,440.0,0.46,10765,4669951.1
2023-02-08,445.0,453.9,430.0,438.0,-1.04,14640,6458923.7
2023-02-07,412.0,442.6,412.0,442.6,6.14,8069,3475238.1
2023-02-06,409.1,417.0,409.1,417.0,0.7,7658,3167959.2
2023-02-05,420.2,427.0,412.0,414.1,-2.1,10510,4402631.1
2023-02-02,430.0,440.0,420.0,423.0,-2.15,6215,2626230.0
2023-02-01,432.0,432.3,421.7,432.3,0.49,6803,2901044.4
2023-01-31,447.6,447.6,425.1,430.2,-2.0,8019,3461428.5
2023-01-30,456.0,458.0,433.0,439.0,-4.11,11486,5070113.5
2023-01-29,455.0,459.9,446.1,457.8,1.06,9493,4289473.9
2023-01-26,455.0,462.0,446.2,453.0,1.36,9548,4356161.7
2023-01-25,435.0,452.0,429.0,446.9,4.66,13944,6221666.4
2023-01-24,428.3,431.0,425.1,427.0,-2.29,5598,2394539.9
2023-01-23,445.0,448.0,437.0,437.0,-2.02,6913,3040429.3
2023-01-19,436.9,448.0,436.9,446.0,0.22,11803,5230581.2
2023-01-18,457.8,460.0,438.0,445.0,-0.89,15632,7034978.8
2023-01-17,453.0,453.0,436.1,449.0,0.45,12275,5484493.8
2023-01-12,471.0,475.0,441.0,447.0,-3.23,22467,10116282.0
2023-01-10,483.3,495.0,455.0,461.9,-3.13,30064,14325472.1
2023-01-09,452.0,486.0,452.0,476.8,3.65,28392,13443467.9
2023-01-08,431.5,472.9,431.5,460.0,4.55,21181,9653279.2
2023-01-05,443.7,443.7,416.0,440.0,1.15,36687,15800958.0
2023-01-04,430.0,440.5,421.4,435.0,0.69,20498,8788253.5
2023-01-03,432.3,443.0,426.1,432.0,-1.82,15534,6694991.5
2023-01-02,415.0,440.0,406.7,440.0,4.54,13195,5612970.1
2023-01-01,408.0,426.0,395.0,420.9,5.22,31493,13143889.3
2022-12-29,364.0,400.4,356.1,400.0,9.89,21509,8212636.5
2022-12-28,352.0,373.5,340.1,364.0,3.41,14459,5180844.5
2022-12-27,336.6,357.5,336.0,352.0,6.67,11511,4013777.8
2022-12-26,320.0,330.9,320.0,330.0,3.13,7826,2543270.5
2022-12-22,314.0,323.0,314.0,320.0,0.6,2106,669234.1
2022-12-21,317.0,321.0,317.0,318.1,-0.93,2223,710277.9
2022-12-20,320.0,327.0,317.0,321.1,-0.43,2890,930696.0
2022-12-19,310.0,330.4,310.0,322.5,2.71,4483,1432205.9
2022-12-18,317.0,322.0,314.0,314.0,-2.79,5808,1837438.7
2022-12-15,341.7,341.7,323.0,323.0,-3.58,6614,2176161.9
2022-07-12,341.0,346.0,330.0,335.0,0.0,3724,1267690.1
2022-07-11,345.0,345.0,335.0,335.0,-3.74,5934,2014936.2
2022-07-08,349.0,355.0,347.9,348.0,-1.97,2215,775361.5
2022-07-07,369.0,370.0,355.0,355.0,-2.2,6883,2476879.2
2022-07-06,358.0,365.0,351.0,363.0,1.4,3189,1136543.5
2022-07-05,365.1,380.0,357.0,358.0,-2.85,6458,2352230.7
2022-07-04,380.0,394.0,368.5,368.5,-3.26,17726,6783173.0
2022-07-03,364.0,380.9,356.8,380.9,4.64,10127,3779483.0
2022-07-01,370.8,371.0,357.8,364.0,0.11,6269,2274978.0
2022-06-30,353.0,381.0,353.0,363.6,3.59,9956,3626032.3
2022-06-29,336.2,355.0,330.1,351.0,2.33,5291,1853553.0
2022-06-28,332.0,349.9,332.0,343.0,1.45,4440,1515432.1
2022-06-27,346.0,355.0,336.0,338.1,-2.0,6425,2220810.0
