date,open,high,low,ltp,percent_change,qty,turnover
2023-07-06,794.5,794.5,766.1,775.0,-0.51,9689,7482400.9
2023-07-05,797.0,797.0,771.0,779.0,-0.38,4671,3619712.1
2023-07-04,786.9,790.0,774.0,782.0,1.36,5958,4636905.6
2023-07-03,769.0,793.0,769.0,771.5,-1.59,12637,9888555.2
2023-07-02,845.0,845.0,780.1,784.0,-5.43,16001,12803056.2
2023-06-28,877.2,877.2,826.0,829.0,-3.6,17437,14679600.1
2023-06-27,816.0,864.0,809.0,860.0,7.5,21725,18399887.6
2023-06-26,780.0,805.0,780.0,800.0,2.96,14478,11563342.1
2023-06-25,780.3,794.0,776.0,777.0,1.57,8946,6995421.7
2023-06-22,785.4,801.1,765.0,765.0,-0.65,10708,8346449.2
2023-06-21,794.0,794.0,770.0,770.0,-1.16,4845,3746997.3
2023-06-20,802.6,805.9,779.0,779.0,-1.14,19855,15752793.6
2023-06-19,798.0,805.0,780.3,788.0,-0.99,18277,14465877.7
2023-06-18,785.0,799.8,779.0,795.9,2.17,19588,15488237.1
2023-06-15,780.0,826.0,771.3,779.0,-0.13,6946,5480610.6
2023-06-14,785.0,791.9,771.0,780.0,0.39,19065,14981741.4
2023-06-13,770.0,780.0,763.1,777.0,1.6,11213,8653240.0
2023-06-12,764.9,765.0,752.1,764.8,1.96,9666,7349664.4
2023-06-11,740.0,755.0,740.0,750.1,2.68,9480,7122168.6
2023-06-08,725.1,740.1,725.0,730.5,0.07,7889,5783670.6
2023-06-07,730.0,749.0,730.0,730.0,0.41,5200,3844561.3
2023-06-06,710.5,729.0,710.5,727.0,0.28,5159,3741533.3
2023-06-05,728.0,731.0,720.1,725.0,-0.17,4229,3067284.9
2023-06-04,728.0,734.0,715.0,726.2,1.71,1366,995474.0
2023-06-01,716.0,717.3,703.2,714.0,1.52,1954,1390539.6
2023-05-31,721.0,729.3,700.0,703.3,-2.51,6308,4473093.8
2023-05-30,729.0,729.0,720.0,721.4,-2.91,6660,4817171.8
2023-05-28,746.0,758.5,716.0,743.0,-0.27,9393,7019092.0
2023-05-24,740.0,753.0,726.0,745.0,1.37,7071,5246830.3
2023-05-23,713.0,735.0,713.0,734.9,3.22,4340,3166005.1
2023-05-22,730.0,744.9,705.0,712.0,-0.68,5342,3834872.5
2023-05-21,706.1,719.0,705.1,716.9,1.56,10519,7490869.3
2023-05-18,694.6,705.9,690.0,705.9,3.66,8263,5777362.2
2023-05-17,692.5,700.0,670.2,681.0,0.29,10532,7182818.3
2023-05-16,670.1,685.0,670.0,679.0,0.0,9737,6630784.2
2023-05-15,687.4,701.0,661.5,679.0,0.74,6549,4415401.8
2023-05-14,682.5,682.5,666.1,674.0,0.72,5017,3397164.2
2023-05-11,692.0,692.0,669.1,669.2,-1.44,4366,2943386.4
2023-05-10,678.3,690.0,666.0,679.0,2.11,3369,2265998.2
2023-05-09,678.5,730.0,651.9,665.0,-0.03,7507,4996280.1
2023-05-08,681.0,695.0,665.2,665.2,-1.01,2182,1462725.2
2023-05-07,682.0,694.0,656.1,672.0,0.39,1371,928459.0
2023-05-04,678.3,687.0,669.4,669.4,0.66,2897,1951758.3
2023-05-03,685.0,699.0,659.0,665.0,-1.04,2653,1771714.6
2023-05-02,688.5,701.0,664.0,672.0,-0.44,2390,1614126.5
2023-04-30,665.2,699.7,665.2,675.0,-0.3,2374,1610062.2
2023-04-27,694.0,696.7,676.0,677.0,-0.89,2472,1686310.6
2023-04-26,690.0,690.0,683.1,683.1,-0.01,1554,1064525.6
2023-04-25,696.0,696.0,683.2,683.2,0.03,531,364927.2
2023-04-24,684.0,690.0,683.0,683.0,-0.15,1945,1331535.0
2023-04-23,677.5,691.0,677.5,684.0,-0.61,1020,695018.3
2023-04-20,700.0,700.0,688.2,688.2,-1.67,1004,696170.5
2023-04-19,700.0,700.0,690.0,699.9,0.42,1100,765327.2
2023-04-18,708.0,708.0,694.0,697.0,-0.43,716,499600.0
