date,open,high,low,ltp,percent_change,qty,turnover
2024-07-11,1093.0,1093.0,1034.0,1045.0,-2.52,10540,11144719.5
2024-07-10,1068.9,1110.0,1055.1,1072.0,0.37,13986,15175696.4
2024-07-09,969.6,1068.5,969.6,1068.0,9.15,18129,18924555.2
2024-07-08,1003.0,1024.5,977.0,978.5,-0.65,6467,6367969.5
2024-07-07,1004.7,1022.0,984.9,984.9,-0.01,8977,8972357.9
2024-07-04,1002.0,1044.0,985.0,985.0,-1.4,7963,7977122.0
2024-07-03,982.0,1007.0,972.0,999.0,1.32,4943,4916138.1
2024-07-02,1009.8,1030.0,986.0,986.0,-0.4,4247,4230784.5
2024-07-01,947.0,1024.0,947.0,990.0,2.48,1059,1036221.3
2024-06-30,1010.0,1010.0,966.0,966.0,-4.54,8205,8020891.0
2024-06-27,1060.0,1060.0,1003.0,1011.9,-2.67,6562,6636191.9
2024-06-26,1050.0,1060.0,1029.0,1039.7,-1.36,6396,6637264.1
2024-06-25,1031.0,1085.0,1031.0,1054.0,0.19,7582,8049831.4
2024-06-24,1016.0,1079.9,1016.0,1052.0,1.53,10619,11299498.1
2024-06-23,1102.0,1102.0,1036.0,1036.1,-4.15,10845,11358775.1
2024-06-20,1050.0,1107.0,1046.3,1081.0,1.5,8949,9760114.1
2024-06-19,1040.0,1094.6,1040.0,1065.0,0.47,4295,4549081.5
2024-06-18,1057.0,1100.1,1050.0,1060.0,1.44,17706,19047894.3
2024-06-16,1078.0,1111.0,1039.0,1045.0,-5.0,19778,21060071.3
2024-06-13,1133.2,1173.0,1097.7,1100.0,-0.99,24060,27240795.7
2024-06-12,1067.9,1135.0,1026.0,1111.0,6.11,34085,37576829.6
2024-06-11,1024.1,1065.0,983.7,1047.0,0.2,6048,6252962.0
2024-06-10,1009.4,1050.0,1009.4,1044.9,1.45,4231,4395106.5
2024-06-09,1036.9,1100.0,1021.0,1030.0,-2.65,13718,14529834.9
2024-06-06,1050.0,1060.0,1013.0,1058.0,1.93,23688,24647674.3
2024-06-05,1002.1,1050.0,982.1,1038.0,2.39,11982,12268048.2
2024-06-04,965.0,1015.0,965.0,1013.8,3.13,12577,12621697.6
2024-06-03,945.0,1000.0,945.0,983.0,4.13,6055,5869154.5
2024-06-02,951.0,970.0,920.0,944.0,1.18,3270,3063551.0
2024-05-30,931.0,974.8,931.0,933.0,-1.79,2347,2199153.7
2024-05-29,990.0,995.0,925.4,950.0,-2.68,8742,8302862.8
2024-05-27,982.2,1000.0,924.0,976.2,1.37,5360,5273517.3
2024-05-26,1027.1,1027.1,961.0,963.0,-4.37,7944,7842535.1
2024-05-22,1050.0,1050.0,990.8,1007.0,-3.54,9912,10057529.0
2024-05-21,1020.1,1049.9,961.4,1044.0,4.39,9862,10115633.0
2024-05-20,1054.0,1071.0,999.9,1000.1,-3.28,20070,20888740.4
2024-05-19,950.0,1034.0,925.0,1034.0,10.0,28902,28902015.9
2024-05-16,870.0,960.0,870.0,940.0,5.98,26636,24873982.5
2024-05-15,907.0,908.0,872.0,887.0,-0.34,10900,9648382.1
2024-05-14,860.0,897.6,860.0,890.0,5.2,16061,14189094.2
2024-05-13,812.5,849.6,812.0,846.0,2.72,5680,4735271.7
2024-05-12,835.0,841.9,815.1,823.6,-1.95,7080,5857868.8
2024-05-09,871.0,871.0,840.0,840.0,-4.76,9306,7944424.5
2024-05-08,872.0,900.0,850.0,882.0,3.16,18271,15836865.7
2024-05-07,800.0,855.0,790.0,855.0,7.04,15280,12758400.9
2024-05-06,810.0,833.0,796.0,798.8,-3.06,5057,4074293.0
2024-05-05,797.0,867.0,797.0,824.0,3.52,14912,12396447.4
2024-05-02,754.0,817.1,754.0,796.0,5.57,11722,9280776.2
2024-04-30,716.0,780.0,712.5,754.0,3.87,2698,1998500.4
2024-04-29,724.0,725.9,715.0,725.9,0.96,2758,1991716.8
2024-04-28,725.0,725.0,688.0,719.0,-0.83,3951,2767632.5
2024-04-25,756.6,756.6,725.0,725.0,-6.09,9943,7401603.2
2024-04-24,770.1,773.5,770.0,772.0,-0.64,3719,2868591.0
2024-04-22,789.0,799.9,765.0,777.0,0.39,3321,2602099.7
2024-04-21,761.0,791.7,746.2,774.0,1.71,1536,1176990.6
2024-04-18,776.1,776.1,751.0,761.0,-3.55,1692,1285510.9
2024-04-16,805.0,805.0,785.0,789.0,-3.78,2506,1985648.4
