date,open,high,low,ltp,percent_change,qty,turnover
2017-03-02,227.0,226.0,222.0,226.0,0.0,2529,565498.0
2017-03-01,219.0,227.0,215.0,227.0,0.0,3840,841340.0
2017-02-28,225.0,221.0,219.0,219.0,0.0,368,81184.0
2017-02-26,222.0,225.0,224.0,225.0,0.0,100,22473.0
2017-02-23,226.0,226.0,222.0,222.0,0.0,610,135920.0
2017-02-22,224.0,230.0,226.0,226.0,0.0,567,129156.0
2017-02-21,228.0,232.0,220.0,224.0,0.0,6454,1466856.0
2017-02-20,229.0,237.0,228.0,228.0,0.0,2555,591975.0
2017-02-19,230.0,231.0,224.0,229.0,0.0,4147,943487.0
2017-02-16,228.0,232.0,225.0,230.0,0.0,1256,286985.0
2017-02-15,216.0,228.0,213.0,228.0,0.0,3532,776974.0
2017-02-14,216.0,224.0,212.0,216.0,0.0,1720,374785.0
2017-02-13,214.0,216.0,203.0,216.0,0.0,1934,403652.0
2017-02-12,222.0,218.0,206.0,214.0,0.0,2786,591946.0
2017-02-09,226.0,222.0,220.0,222.0,0.0,1469,325634.0
2017-02-08,230.0,230.0,226.0,226.0,0.0,1050,240100.0
2017-02-07,225.0,233.0,229.0,230.0,0.0,2121,488029.0
2017-02-05,230.0,232.0,224.0,225.0,0.0,3536,803978.0
2017-02-02,244.0,252.0,230.0,230.0,0.0,2958,699567.0
2017-02-01,231.0,244.0,235.0,244.0,0.0,3282,792428.0
2017-01-31,215.0,231.0,211.0,231.0,0.0,3004,661764.0
2017-01-30,222.0,230.0,214.0,215.0,0.0,4430,970194.0
2017-01-26,233.0,240.0,222.0,222.0,0.0,4631,1066765.0
2017-01-25,254.0,250.0,233.0,233.0,0.0,4754,1138480.0
2017-01-24,258.0,260.0,246.0,254.0,0.0,2485,621264.0
2017-01-23,253.0,258.0,252.0,258.0,0.0,3881,992778.0
2017-01-22,258.0,254.0,253.0,253.0,0.0,1655,418745.0
2017-01-19,255.0,260.0,251.0,258.0,0.0,1744,446584.0
2017-01-18,255.0,255.0,252.0,255.0,0.0,600,152400.0
2017-01-17,250.0,255.0,255.0,255.0,0.0,758,193290.0
2017-01-16,245.0,250.0,245.0,250.0,0.0,1300,323851.0
2017-01-15,250.0,245.0,245.0,245.0,0.0,64,15680.0
2017-01-12,256.0,256.0,250.0,250.0,0.0,800,201900.0
2017-01-11,258.0,270.0,256.0,256.0,0.0,985,257775.0
2017-01-10,249.0,258.0,248.0,258.0,0.0,1770,446960.0
2017-01-09,245.0,256.0,245.0,249.0,0.0,2234,556214.0
2017-01-08,255.0,260.0,245.0,245.0,0.0,1619,409185.0
2017-01-05,260.0,263.0,255.0,255.0,0.0,631,164205.0
2017-01-04,267.0,265.0,260.0,260.0,0.0,900,236000.0
2017-01-03,270.0,270.0,265.0,267.0,0.0,2075,553728.0
2017-01-02,260.0,270.0,265.0,270.0,0.0,3949,1053555.0
2017-01-01,251.0,265.0,256.0,260.0,0.0,1295,337445.0
2016-12-29,245.0,258.0,249.0,251.0,0.0,2691,680881.0
2016-12-28,235.0,245.0,235.0,245.0,0.0,557,132609.0
2016-12-27,251.0,250.0,235.0,235.0,0.0,12470,3026265.0
2016-12-26,269.0,273.0,251.0,251.0,0.0,1728,450614.0
2016-12-22,270.0,275.0,268.0,269.0,0.0,2271,612675.0
2016-12-21,277.0,277.0,270.0,270.0,0.0,2449,668633.0
2016-12-20,288.0,288.0,277.0,277.0,0.0,4149,1164674.0
2016-12-19,290.0,289.0,285.0,288.0,0.0,1225,350487.0
2016-12-18,290.0,290.0,280.0,290.0,0.0,5650,1607447.0
2016-12-15,275.0,300.0,280.0,290.0,0.0,4796,1404425.0
2016-12-14,273.0,278.0,260.0,275.0,0.0,3989,1073715.0
2016-12-12,274.0,288.0,273.0,273.0,0.0,2091,586636.0
2016-12-11,276.0,290.0,270.0,274.0,0.0,3308,931874.0
2016-12-08,419.0,426.0,415.0,417.0,0.0,26368,11005966.0
2016-12-07,426.0,440.0,419.0,419.0,0.0,11035,4667704.0
2016-12-06,432.0,440.0,420.0,426.0,0.0,3739,1599265.0
2016-12-05,444.0,452.0,428.0,432.0,0.0,3935,1707698.0
2016-12-04,437.0,444.0,424.0,444.0,0.0,4502,1969043.0
2016-12-01,444.0,461.0,428.0,437.0,0.0,17522,7822306.0
2016-11-30,412.0,452.0,412.0,444.0,0.0,13680,5961156.0
2016-11-29,376.0,413.0,349.0,412.0,0.0,18801,7241343.0
2016-11-28,342.0,376.0,314.0,376.0,0.0,6160,2049790.0
2016-11-27,375.0,370.0,338.0,342.0,0.0,10759,3749341.0
2016-11-24,400.0,409.0,375.0,375.0,0.0,9257,3657815.0
2016-11-23,441.0,433.0,397.0,400.0,0.0,4299,1777497.0
2016-11-22,461.0,455.0,441.0,441.0,0.0,5552,2497580.0
2016-11-21,468.0,479.0,459.0,461.0,0.0,7732,3598544.0
2016-11-20,490.0,498.0,467.0,468.0,0.0,3834,1848986.0
2016-11-17,513.0,510.0,490.0,490.0,0.0,6131,3064908.0
2016-11-16,521.0,525.0,513.0,513.0,0.0,11100,5731875.0
2016-11-15,529.0,527.0,518.0,521.0,0.0,1608,841994.0
2016-11-14,532.0,533.0,523.0,529.0,0.0,5021,2650667.0
2016-11-13,522.0,542.0,532.0,532.0,0.0,2945,1575682.0
2016-11-10,522.0,540.0,520.0,522.0,0.0,10894,5703586.0
2016-11-09,551.0,541.0,517.0,522.0,0.0,5479,2854374.0
2016-11-08,562.0,573.0,551.0,551.0,0.0,1103,615913.0
2016-11-07,533.0,565.0,530.0,562.0,0.0,6664,3702155.0
2016-11-03,543.0,543.0,533.0,533.0,0.0,1023,545359.0
2016-10-27,543.0,553.0,540.0,543.0,0.0,3765,2047696.0
2016-10-26,545.0,543.0,534.0,543.0,0.0,1646,883747.0
2016-10-25,535.0,545.0,530.0,545.0,0.0,2497,1346480.0
2016-10-24,540.0,540.0,525.0,535.0,0.0,2604,1377736.0
2016-10-23,555.0,560.0,535.0,540.0,0.0,669,362835.0
2016-10-20,538.0,555.0,538.0,555.0,0.0,1600,872270.0
2016-10-19,545.0,555.0,538.0,538.0,0.0,1822,991843.0
2016-10-18,548.0,561.0,536.0,545.0,0.0,3234,1760519.0
2016-10-17,550.0,550.0,541.0,548.0,0.0,1949,1063765.0
2016-10-16,555.0,550.0,544.0,550.0,0.0,731,400714.0
2016-10-06,550.0,568.0,555.0,555.0,0.0,1810,1019063.0
2016-10-05,550.0,561.0,550.0,550.0,0.0,475,262694.0
2016-10-04,561.0,565.0,550.0,550.0,0.0,2454,1360433.0
2016-10-03,545.0,577.0,535.0,561.0,0.0,1044,586213.0
2016-10-02,545.0,546.0,531.0,545.0,0.0,1601,863939.0
2016-09-29,547.0,560.0,542.0,545.0,0.0,2024,1107229.0
2016-09-28,541.0,547.0,536.0,547.0,0.0,1836,997986.0
2016-09-27,555.0,548.0,540.0,541.0,0.0,2833,1539473.0
2016-09-26,544.0,555.0,534.0,555.0,0.0,5852,3207156.0
