date,open,high,low,ltp,percent_change,qty,turnover
2017-04-06,216.0,223.0,212.0,219.0,0.0,278,61176.0
2017-04-04,228.0,224.0,216.0,216.0,0.0,207,45340.0
2017-04-03,228.0,228.0,228.0,228.0,0.0,46,10488.0
2017-03-30,236.0,232.0,228.0,228.0,0.0,826,189162.0
2017-03-29,224.0,236.0,228.0,236.0,0.0,292,67484.0
2017-03-26,212.0,228.0,216.0,224.0,0.0,1193,263232.0
2017-03-23,218.0,220.0,208.0,212.0,0.0,335,71100.0
2017-03-22,214.0,218.0,215.0,218.0,0.0,180,38930.0
2017-03-21,202.0,214.0,201.0,214.0,0.0,370,77330.0
2017-03-20,202.0,210.0,202.0,202.0,0.0,594,122498.0
2017-03-19,206.0,205.0,202.0,202.0,0.0,148,30001.0
2017-03-16,202.0,206.0,200.0,206.0,0.0,535,108110.0
2017-03-15,207.0,205.0,202.0,202.0,0.0,315,64130.0
2017-03-14,211.0,211.0,207.0,207.0,0.0,218,45198.0
2017-03-13,213.0,215.0,209.0,211.0,0.0,222,46874.0
2017-03-09,217.0,213.0,213.0,213.0,0.0,10,2130.0
2017-03-07,217.0,221.0,217.0,217.0,0.0,109,24049.0
2017-03-05,221.0,217.0,217.0,217.0,0.0,100,21700.0
2017-03-02,225.0,221.0,221.0,221.0,0.0,50,11050.0
2017-03-01,225.0,226.0,225.0,225.0,0.0,186,41868.0
2017-02-22,225.0,225.0,225.0,225.0,0.0,85,19125.0
2017-02-21,226.0,225.0,225.0,225.0,0.0,70,15750.0
2017-02-20,226.0,230.0,226.0,226.0,0.0,140,32000.0
2017-02-19,223.0,226.0,226.0,226.0,0.0,121,27346.0
2017-02-16,218.0,223.0,215.0,223.0,0.0,456,99760.0
2017-02-15,206.0,222.0,210.0,218.0,0.0,207,44966.0
2017-02-14,202.0,206.0,202.0,206.0,0.0,827,169144.0
2017-02-13,207.0,203.0,199.0,202.0,0.0,170,34270.0
2017-02-12,211.0,210.0,207.0,207.0,0.0,270,55950.0
2017-02-09,226.0,222.0,211.0,211.0,0.0,1146,247722.0
2017-02-08,233.0,229.0,226.0,226.0,0.0,238,54253.0
2017-02-07,236.0,233.0,233.0,233.0,0.0,44,10252.0
2017-02-06,248.0,244.0,236.0,236.0,0.0,220,52660.0
2017-02-05,257.0,252.0,248.0,248.0,0.0,197,48936.0
2017-02-02,240.0,257.0,244.0,257.0,0.0,455,111310.0
2017-02-01,242.0,244.0,236.0,240.0,0.0,126,30140.0
2017-01-31,246.0,242.0,242.0,242.0,0.0,40,9680.0
2017-01-26,250.0,250.0,238.0,246.0,0.0,389,95393.0
2017-01-25,251.0,255.0,246.0,250.0,0.0,817,205750.0
2017-01-24,238.0,256.0,239.0,251.0,0.0,2119,526972.0
2017-01-23,241.0,242.0,238.0,238.0,0.0,227,54402.0
2017-01-22,245.0,245.0,241.0,241.0,0.0,81,19561.0
2017-01-19,241.0,245.0,240.0,245.0,0.0,210,50910.0
2017-01-18,245.0,245.0,241.0,241.0,0.0,200,48272.0
2017-01-17,250.0,245.0,245.0,245.0,0.0,46,11270.0
2017-01-16,248.0,250.0,249.0,250.0,0.0,20,4990.0
2017-01-15,244.0,248.0,248.0,248.0,0.0,70,17360.0
2017-01-10,245.0,244.0,240.0,244.0,0.0,141,34159.0
2017-01-09,253.0,253.0,245.0,245.0,0.0,263,65804.0
2017-01-08,243.0,253.0,245.0,253.0,0.0,220,54460.0
2017-01-05,239.0,243.0,243.0,243.0,0.0,35,8505.0
2017-01-04,241.0,240.0,237.0,239.0,0.0,230,54910.0
2017-01-03,260.0,255.0,241.0,241.0,0.0,435,106980.0
2017-01-02,270.0,265.0,260.0,260.0,0.0,45,11875.0
2017-01-01,270.0,270.0,270.0,270.0,0.0,36,9720.0
2016-12-29,270.0,270.0,265.0,270.0,0.0,91,24520.0
2016-12-21,280.0,275.0,270.0,270.0,0.0,696,190960.0
2016-12-20,283.0,280.0,280.0,280.0,0.0,20,5600.0
2016-12-12,278.0,283.0,283.0,283.0,0.0,20,5660.0
2016-12-08,273.0,278.0,278.0,278.0,0.0,150,41700.0
2016-12-07,275.0,273.0,270.0,273.0,0.0,274,74202.0
2016-12-06,275.0,275.0,270.0,275.0,0.0,55,15025.0
2016-12-05,277.0,275.0,275.0,275.0,0.0,10,2750.0
2016-12-01,257.0,277.0,262.0,277.0,0.0,200,54020.0
2016-11-30,257.0,261.0,256.0,257.0,0.0,367,95132.0
2016-11-29,260.0,257.0,257.0,257.0,0.0,35,8995.0
2016-11-28,265.0,260.0,260.0,260.0,0.0,10,2600.0
2016-11-27,265.0,265.0,260.0,265.0,0.0,107,27972.0
2016-11-24,275.0,270.0,265.0,265.0,0.0,76,20315.0
2016-11-23,278.0,275.0,275.0,275.0,0.0,32,8800.0
2016-11-22,288.0,283.0,278.0,278.0,0.0,205,57790.0
2016-11-21,285.0,288.0,288.0,288.0,0.0,10,2880.0
2016-11-20,275.0,285.0,280.0,285.0,0.0,53,14930.0
2016-11-17,275.0,275.0,272.0,275.0,0.0,24,6570.0
2016-11-16,290.0,290.0,275.0,275.0,0.0,180,51525.0
2016-11-15,294.0,290.0,290.0,290.0,0.0,56,16240.0
2016-11-14,306.0,300.0,294.0,294.0,0.0,144,42600.0
2016-11-13,297.0,306.0,300.0,306.0,0.0,28,8508.0
2016-11-10,299.0,303.0,297.0,297.0,0.0,1474,439362.0
2016-11-08,304.0,305.0,299.0,299.0,0.0,235,71465.0
2016-11-07,305.0,310.0,304.0,304.0,0.0,375,114310.0
2016-11-03,311.0,305.0,305.0,305.0,0.0,50,15250.0
2016-10-27,296.0,311.0,301.0,311.0,0.0,212,64730.0
2016-10-26,295.0,300.0,296.0,296.0,0.0,59,17520.0
2016-10-25,300.0,295.0,295.0,295.0,0.0,71,20945.0
2016-10-24,300.0,300.0,300.0,300.0,0.0,163,48900.0
2016-10-23,300.0,300.0,300.0,300.0,0.0,70,21000.0
2016-10-20,303.0,305.0,300.0,300.0,0.0,800,243500.0
2016-10-19,307.0,304.0,298.0,303.0,0.0,564,169875.0
2016-10-18,303.0,307.0,301.0,307.0,0.0,218,66156.0
2016-10-17,313.0,319.0,303.0,303.0,0.0,1219,385015.0
2016-10-16,314.0,319.0,313.0,313.0,0.0,453,142586.0
2016-10-06,310.0,314.0,314.0,314.0,0.0,500,157000.0
2016-10-05,306.0,310.0,301.0,310.0,0.0,728,224468.0
2016-10-04,305.0,306.0,300.0,306.0,0.0,61,18360.0
2016-10-03,303.0,305.0,300.0,305.0,0.0,394,119192.0
2016-10-02,305.0,303.0,297.0,303.0,0.0,897,267901.0
2016-09-29,311.0,311.0,305.0,305.0,0.0,163,50455.0
2016-09-28,300.0,312.0,295.0,311.0,0.0,1397,429474.0
2016-09-27,300.0,305.0,289.0,300.0,0.0,2166,649665.0
2016-09-26,303.0,306.0,300.0,300.0,0.0,70,21084.0
2016-09-25,312.0,310.0,303.0,303.0,0.0,281,86383.0
2016-09-22,312.0,312.0,308.0,312.0,0.0,326,101580.0
2016-09-21,310.0,312.0,304.0,312.0,0.0,347,106538.0
2016-09-20,315.0,315.0,305.0,310.0,0.0,550,170226.0
2016-09-18,321.0,325.0,315.0,315.0,0.0,1100,350639.0
2016-09-14,314.0,321.0,309.0,321.0,0.0,837,260177.0
2016-09-12,313.0,315.0,309.0,314.0,0.0,2308,716508.0
2016-09-11,317.0,326.0,310.0,313.0,0.0,2754,867034.0
2016-09-08,323.0,321.0,311.0,317.0,0.0,565,179322.0
2016-09-07,314.0,323.0,310.0,323.0,0.0,699,222323.0
