date,open,high,low,ltp,percent_change,qty,turnover
2025-10-16,2042.6,2042.6,1875.8,1875.8,-10.0,2893,5432539.6
2025-10-15,2269.4,2269.4,2084.2,2084.2,-10.0,3467,7234831.4
2025-10-14,2521.6,2521.6,2315.7,2315.7,-10.0,8411,19654080.1
2025-10-13,2580.0,2610.0,2569.0,2573.0,-1.85,277,713935.0
2025-10-12,2685.2,2720.0,2550.0,2621.4,-4.33,804,2098419.0
2025-10-09,2800.0,2900.0,2508.9,2740.0,-1.71,702,1905453.6
2025-10-08,2799.9,2799.9,2560.0,2787.6,1.55,1803,4785480.5
2025-10-07,2703.0,2747.0,2596.2,2745.0,1.55,1162,3067369.1
2025-09-28,2749.0,2750.9,2642.0,2703.0,0.22,638,1716820.2
2025-09-25,2670.0,2720.0,2616.6,2697.0,1.01,992,2632748.1
2025-09-24,2765.0,2795.0,2611.0,2670.0,-2.91,721,1923445.7
2025-09-23,2828.0,2828.0,2650.5,2750.0,-0.84,2378,6429606.5
2025-09-21,2716.3,2795.0,2607.0,2773.36,0.06,1125,3047374.7
2025-09-08,2835.0,2888.0,2640.0,2771.71,-0.87,2401,6567792.5
2025-09-07,2801.0,2890.0,2780.5,2795.95,1.81,1458,4131974.1
2025-09-04,2738.81,2793.0,2626.4,2746.13,0.27,1415,3876511.1
2025-09-03,2738.7,2847.0,2632.0,2738.81,-2.0,1402,3801884.2
2025-09-02,2894.0,2894.0,2770.0,2794.57,-1.71,1476,4141158.4
2025-09-01,2833.9,2850.0,2675.0,2843.22,0.33,1772,4973883.3
2025-08-31,2845.51,2899.0,2778.0,2833.9,-0.41,1842,5218746.59
2025-08-28,2971.1,2971.1,2799.9,2845.51,-2.31,2755,7831689.0
2025-08-27,2900.0,2950.0,2803.0,2912.94,1.86,2385,6937878.0
2025-08-26,2867.71,2900.0,2811.0,2859.74,-0.28,732,2085455.2
2025-08-25,2888.0,2900.0,2716.0,2867.71,1.25,3580,10234541.0
2025-08-24,2874.0,2893.9,2790.0,2832.2,-0.18,1470,4173629.7
2025-08-21,2930.0,2930.0,2800.0,2837.22,-1.47,542,1543509.3
2025-08-20,2890.0,2900.0,2776.9,2879.58,1.63,1602,4605857.4
2025-08-19,2883.0,2940.0,2771.0,2833.47,0.21,1524,4344438.1
2025-08-18,2809.72,2950.0,2755.0,2827.42,0.63,2227,6339223.4
2025-08-17,2950.1,2950.1,2753.8,2809.72,-2.91,1062,2988901.4
2025-08-14,2885.0,3000.0,2865.0,2893.85,0.3,2401,7004329.7
2025-08-13,2770.0,2917.0,2770.0,2885.12,3.31,1897,5480487.2
2025-08-12,2676.44,2944.0,2676.44,2792.63,4.34,3177,8817016.5
2025-08-11,2861.0,2861.0,2656.0,2676.44,-4.6,3084,8443304.3
2025-08-07,2970.0,3032.0,2750.0,2805.53,-5.42,3165,9003134.5
2025-08-06,2803.1,3023.0,2803.1,2966.24,7.93,4288,12678041.1
2025-08-05,2509.0,2748.2,2509.0,2748.2,10.0,5567,14818950.8
2025-08-04,2380.0,2509.1,2380.0,2498.41,4.14,2696,6693823.3
2025-08-03,2419.7,2425.0,2380.0,2399.11,1.13,1582,3805455.6
2025-07-31,2360.71,2407.0,2360.0,2372.39,0.49,657,1556849.1
2025-07-30,2472.0,2472.0,2351.0,2360.71,-2.61,721,1712778.1
2025-07-29,2458.0,2458.0,2402.0,2424.07,0.59,838,2027831.4
2025-07-28,2373.0,2420.0,2342.0,2409.9,1.55,283,675547.5
2025-07-27,2470.0,2470.0,2355.0,2373.01,-2.1,1102,2665332.0
2025-07-24,2451.58,2451.58,2410.0,2423.81,-1.13,516,1252333.6
2025-07-23,2450.0,2480.0,2430.1,2451.58,-0.6,935,2293104.0
2025-07-22,2445.33,2474.0,2403.0,2466.26,0.86,1394,3429294.5
2025-07-21,2469.18,2470.0,2411.0,2445.33,-0.97,455,1111722.2
2025-07-20,2388.6,2519.0,2296.0,2469.18,1.31,1467,3613771.7
2025-07-17,2400.3,2480.0,2400.3,2437.28,1.55,1369,3356882.7
2025-07-16,2325.0,2405.0,2313.0,2400.0,1.69,756,1785880.0
2025-07-15,2293.4,2384.0,2293.4,2360.0,0.85,393,925156.0
2025-07-14,2380.0,2390.0,2338.1,2340.02,-1.42,921,2183605.5
2025-07-13,2273.5,2384.0,2273.5,2373.8,6.5,1510,3528212.0
2025-07-10,2253.0,2275.0,2215.0,2228.97,-1.07,560,1253482.0
2025-07-09,2214.57,2258.8,2190.0,2253.16,1.74,554,1242217.1
2025-07-08,2261.3,2261.3,2176.0,2214.57,-0.11,264,584713.6
2025-07-07,2254.0,2254.0,2209.0,2217.0,0.28,320,710583.0
2025-07-06,2225.0,2250.0,2205.0,2210.86,0.04,595,1327089.2
2025-07-03,2250.0,2279.0,2205.0,2210.0,-1.43,294,656265.5
2025-07-02,2285.0,2290.0,2240.0,2242.16,-0.15,332,752464.0
2025-07-01,2210.0,2249.0,2200.0,2245.64,3.11,957,2133332.2
2025-06-30,2133.0,2209.0,2133.0,2178.0,2.09,874,1907974.0
2025-06-29,2135.0,2159.5,2130.0,2133.42,-0.09,463,989442.0
2025-06-26,2198.0,2198.0,2131.0,2135.28,-0.99,265,569025.3
2025-06-25,2131.0,2194.0,2131.0,2156.6,-0.43,225,485872.4
2025-06-24,2136.0,2250.0,2136.0,2166.0,0.23,401,876893.0
2025-06-23,2160.0,2203.0,2160.0,2160.94,2.01,379,824198.0
2025-06-22,2200.0,2295.0,2117.0,2118.27,-4.58,1331,2845769.6
2025-06-19,2330.0,2330.0,2212.0,2220.0,-2.84,201,452281.0
2025-06-18,2319.0,2355.0,2264.8,2285.0,0.49,812,1868285.0
2025-06-17,2133.1,2340.0,2133.1,2273.92,4.69,1048,2376495.1
2025-06-16,2174.0,2215.0,2145.0,2172.0,-0.07,696,1512276.2
2025-06-15,2170.0,2240.0,2170.0,2173.53,-1.16,501,1091606.3
2025-06-12,2181.1,2249.3,2181.1,2199.14,-0.95,429,946522.1
2025-06-11,2295.0,2337.0,2210.9,2220.21,-3.22,369,835017.0
2025-06-10,2156.0,2374.0,2155.3,2294.0,4.31,875,1944811.7
2025-06-09,2157.0,2220.0,2114.0,2199.25,0.04,906,1959099.7
2025-06-08,2445.9,2446.0,2180.0,2198.46,-8.35,3172,7052020.9
2025-06-05,2484.0,2484.0,2398.0,2398.7,-1.51,265,638051.4
2025-06-04,2440.0,2440.0,2398.0,2435.45,-0.19,231,559003.0
2025-06-03,2440.1,2454.0,2440.0,2440.0,-1.87,335,819457.4
2025-06-02,2510.0,2515.0,2463.0,2486.56,0.62,891,2212848.4
2025-05-28,2440.0,2479.0,2440.0,2471.36,0.74,347,856857.0
2025-05-27,2430.0,2469.8,2406.0,2453.26,-0.63,242,591439.8
2025-05-26,2513.0,2513.0,2432.0,2468.9,0.17,597,1478938.7
2025-05-25,2497.91,2500.0,2441.1,2464.66,-1.33,869,2136555.1
2025-05-22,2488.8,2538.5,2455.4,2497.91,2.37,886,2211992.0
2025-05-21,2492.0,2499.0,2440.0,2440.0,-0.19,361,888301.0
2025-05-20,2400.1,2458.6,2371.0,2444.61,1.34,291,707455.0
2025-05-19,2440.1,2465.0,2403.0,2412.33,-1.01,227,549690.8
2025-05-18,2420.0,2448.0,2400.0,2437.04,0.7,311,756647.6
2025-05-15,2400.0,2470.0,2390.0,2420.0,-0.49,152,367990.0
2025-05-14,2451.8,2550.0,2431.0,2432.0,1.18,340,836465.0
2025-05-13,2484.0,2584.2,2401.0,2403.73,-1.31,742,1812827.0
2025-05-11,2535.5,2550.0,2430.0,2435.7,-3.48,748,1860512.1
2025-05-08,2475.2,2551.2,2475.2,2523.5,0.89,738,1856930.5
2025-05-07,2480.0,2501.2,2460.0,2501.2,1.7,389,971106.0
2025-05-06,2510.0,2510.0,2437.0,2459.37,-0.17,619,1520002.0
2025-05-05,2570.0,2579.0,2431.0,2463.68,-3.56,1068,2659168.0
2025-05-04,2434.0,2625.7,2434.0,2554.7,7.03,2681,6815052.4
2025-04-30,2130.0,2387.0,2092.0,2387.0,10.0,1115,2579568.4
2025-04-29,2206.0,2206.0,2160.0,2170.0,-2.21,1240,2705710.8
2025-04-28,2294.49,2294.49,2207.0,2219.06,-3.29,1571,3499359.7
2025-04-27,2395.0,2410.0,2275.0,2294.49,-2.35,899,2084875.0
2025-04-24,2338.0,2365.0,2338.0,2349.68,-1.51,485,1141508.8
2025-04-23,2419.73,2466.0,2384.0,2385.61,-1.41,636,1531439.3
2025-04-22,2458.0,2458.0,2361.0,2419.73,-1.52,1901,4576339.5
2025-04-21,2499.5,2500.0,2450.1,2457.01,-1.7,405,996849.2
2025-04-20,2500.0,2505.0,2463.0,2499.5,-0.21,546,1352199.5
2025-04-17,2500.0,2525.0,2453.0,2504.68,0.19,553,1384670.7
2025-04-16,2502.9,2502.9,2475.0,2500.0,-0.12,54,134149.0
2025-04-15,2461.0,2520.0,2461.0,2502.9,0.17,310,772294.9
2025-04-13,2480.0,2519.0,2470.0,2498.66,-0.66,450,1124592.0
2025-04-10,2456.0,2519.0,2450.0,2515.35,1.11,917,2287397.0
2025-04-09,2492.0,2530.0,2480.0,2487.79,-0.47,686,1711277.0
2025-04-08,2500.0,2505.0,2481.0,2499.52,-1.23,875,2178326.0
2025-04-07,2547.3,2547.5,2525.0,2530.76,-2.64,100,253592.3
2025-04-03,2585.0,2630.0,2585.0,2599.28,0.13,980,2543326.0
2025-04-02,2572.9,2633.0,2572.9,2595.85,0.36,597,1551585.9
2025-04-01,2563.0,2615.0,2555.0,2586.56,-0.8,737,1902537.5
2025-03-30,2550.0,2634.8,2550.0,2607.39,0.94,955,2494860.3
2025-03-27,2471.0,2600.0,2462.5,2583.2,2.81,1513,3854438.0
2025-03-26,2452.2,2524.8,2450.0,2512.66,0.79,843,2080419.7
2025-03-25,2536.0,2560.1,2450.0,2493.0,-3.56,1073,2684510.1
2025-03-24,2507.0,2595.0,2499.0,2585.0,3.13,636,1622169.9
2025-03-23,2580.0,2580.0,2485.1,2506.51,-3.07,1159,2926593.8
2025-03-20,2572.5,2623.9,2572.0,2585.86,-1.08,524,1360294.0
2025-03-19,2621.0,2621.0,2582.1,2614.0,0.62,548,1430004.1
2025-03-18,2634.0,2635.0,2595.0,2598.0,-0.5,343,894229.0
2025-03-17,2600.0,2666.0,2563.0,2611.0,-0.15,1168,3036859.9
2025-03-16,2600.0,2652.0,2562.7,2615.0,0.58,1318,3442058.4
2025-03-12,2702.0,2702.0,2570.0,2600.0,-1.89,1343,3505516.5
2025-03-11,2739.9,2739.9,2635.0,2650.0,-1.49,1270,3384114.5
2025-03-10,2750.0,2808.0,2689.4,2690.0,-2.18,2477,6768594.4
2025-03-09,2906.7,2906.7,2669.4,2750.0,-7.28,2202,6057345.3
2025-03-06,3027.3,3087.0,2940.0,2966.0,-0.07,1410,4219526.3
2025-03-05,2644.3,2968.0,2428.4,2968.0,10.0,7373,20168747.3
2025-03-04,2809.3,2809.3,2580.0,2698.2,-5.87,7043,18297791.7
2025-03-03,3122.0,3122.0,2866.6,2866.6,-10.0,5265,15080228.6
2025-03-02,3468.3,3468.3,3185.1,3185.1,-10.0,16169,51822531.5
2025-02-27,3600.0,3610.0,3480.0,3539.0,-0.03,599,2114844.8
2025-02-25,3570.0,3600.0,3430.0,3540.0,1.14,643,2244156.2
2025-02-24,3570.0,3600.0,3500.0,3500.0,-2.64,1047,3724044.2
2025-02-23,3620.2,3670.0,3550.0,3595.0,-2.68,803,2900324.6
2025-02-20,3551.0,3750.0,3551.0,3694.0,2.61,1434,5315316.0
2025-02-18,3660.0,3710.0,3600.0,3600.0,-2.28,797,2900941.4
2025-02-17,3450.0,3734.5,3450.0,3683.9,8.51,4982,17951591.6
2025-02-16,3467.0,3467.0,3350.0,3395.0,-0.15,1137,3848452.8
2025-02-13,3362.2,3400.0,3362.2,3400.0,0.0,112,378578.0
2025-02-12,3367.0,3400.0,3367.0,3400.0,-0.15,333,1127545.0
2025-02-11,3390.0,3430.0,3373.0,3405.0,0.44,433,1468584.5
2025-02-10,3449.0,3470.0,3390.0,3390.0,-0.59,676,2324963.4
2025-02-09,3450.0,3475.0,3400.0,3410.0,-1.13,481,1643630.0
2025-02-06,3465.0,3465.0,3400.0,3449.0,1.44,1231,4219782.2
2025-02-05,3470.0,3470.1,3381.0,3400.0,-0.87,655,2240196.4
2025-02-04,3544.0,3544.0,3401.0,3430.0,-1.63,720,2472751.3
2025-02-03,3400.0,3514.0,3400.0,3487.0,1.22,857,2965669.6
2025-02-02,3418.9,3445.0,3332.0,3445.0,2.76,1006,3417176.0
2025-01-28,3454.0,3455.0,3350.0,3352.4,-1.31,379,1278630.6
2025-01-27,3415.0,3550.0,3340.0,3397.0,1.4,757,2560565.3
2025-01-26,3400.0,3400.0,3350.0,3350.0,-1.47,441,1479761.6
2025-01-23,3480.0,3480.0,3346.0,3400.0,-1.96,573,1937247.6
2025-01-22,3340.0,3469.0,3290.0,3468.0,3.96,738,2511627.7
2025-01-21,3290.0,3336.0,3280.0,3336.0,0.18,456,1499331.6
2025-01-20,3335.0,3386.0,3300.0,3330.0,0.67,616,2050891.6
2025-01-19,3299.0,3309.9,3251.1,3308.0,0.24,505,1663486.4
2025-01-16,3288.6,3347.0,3217.0,3300.0,2.35,329,1080821.3
2025-01-15,3353.7,3353.7,3224.2,3224.2,-1.94,594,1933598.2
2025-01-13,3386.0,3386.0,3254.0,3288.0,-0.96,1288,4233382.0
2025-01-12,3380.0,3382.0,3320.0,3320.0,-1.63,516,1722468.5
2025-01-09,3460.0,3460.0,3347.0,3375.0,-2.46,782,2661331.2
2025-01-08,3464.1,3533.0,3430.0,3460.0,-0.12,675,2341235.9
2025-01-07,3528.0,3540.0,3400.0,3464.0,-0.46,698,2410975.4
2025-01-06,3525.0,3546.0,3470.0,3480.0,-0.2,641,2246287.6
2025-01-05,3420.1,3494.0,3420.1,3487.1,-0.05,646,2230025.7
2025-01-02,3431.0,3499.0,3416.1,3489.0,-0.31,882,3039507.0
2025-01-01,3445.0,3576.0,3445.0,3500.0,1.59,345,1208237.0
2024-12-31,3579.0,3579.0,3440.0,3445.1,-1.85,441,1532432.1
2024-12-29,3599.0,3650.0,3509.9,3509.9,-2.42,1585,5673299.9
2024-12-26,3565.0,3597.0,3433.0,3597.0,2.74,916,3232419.2
2024-12-24,3452.0,3501.0,3445.0,3501.0,3.43,1510,5224659.2
2024-12-23,3449.0,3450.0,3383.0,3385.0,-0.03,404,1370742.5
2024-12-22,3436.0,3733.0,3318.5,3386.0,-1.31,2026,6947796.5
2024-12-19,3609.0,3609.0,3431.0,3431.0,-3.37,542,1885542.3
2024-12-18,3610.0,3824.0,3469.2,3550.5,0.3,956,3440885.3
