date,open,high,low,ltp,percent_change,qty,turnover
2019-07-07,196.0,197.0,196.0,197.0,2.07,245,48065.0
2019-07-04,193.0,193.0,193.0,193.0,0.0,55,10615.0
2019-07-03,193.0,193.0,192.0,193.0,0.0,1115,215095.0
2019-07-02,190.0,193.0,190.0,193.0,0.52,190,36640.0
2019-06-26,192.0,192.0,192.0,192.0,-1.54,30,5760.0
2019-06-25,195.0,195.0,195.0,195.0,-1.52,720,140400.0
2019-06-23,198.0,198.0,198.0,198.0,1.54,100,19800.0
2019-06-20,195.0,195.0,195.0,195.0,1.56,100,19500.0
2019-06-18,197.0,197.0,192.0,192.0,-3.03,962,187504.0
2019-06-17,198.0,198.0,198.0,198.0,1.54,11,2178.0
2019-06-16,195.0,195.0,195.0,195.0,0.52,500,97500.0
2019-06-13,191.0,194.0,191.0,194.0,0.52,1958,376305.0
2019-06-12,198.0,198.0,191.0,193.0,-3.98,2450,473650.0
2019-06-11,201.0,201.0,201.0,201.0,1.01,10,2010.0
2019-06-10,197.0,199.0,196.0,199.0,-0.5,1180,232080.0
2019-06-06,198.0,200.0,198.0,200.0,2.56,540,107920.0
2019-06-04,195.0,195.0,194.0,195.0,-1.52,730,142250.0
2019-06-02,201.0,201.0,198.0,198.0,0.0,110,21810.0
2019-05-30,206.0,206.0,198.0,198.0,-1.98,1536,310536.0
2019-05-29,195.0,202.0,195.0,202.0,3.06,133,26225.0
2019-05-28,196.0,196.0,196.0,196.0,-1.01,780,152880.0
2019-05-27,195.0,198.0,194.0,198.0,0.51,9310,1814916.0
2019-05-26,198.0,201.0,196.0,197.0,-2.48,2850,564050.0
2019-05-23,202.0,202.0,202.0,202.0,-1.94,93,18786.0
2019-05-22,205.0,208.0,205.0,206.0,0.49,1100,227500.0
2019-05-21,201.0,205.0,200.0,205.0,0.49,2186,443021.0
2019-05-20,201.0,204.0,201.0,204.0,3.03,5270,1072328.0
2019-05-19,199.0,199.0,198.0,198.0,-1.98,632,125336.0
2019-05-16,206.0,212.0,202.0,202.0,0.0,2295,473400.0
2019-05-15,195.0,202.0,195.0,202.0,3.59,5300,1054071.0
2019-05-14,198.0,198.0,195.0,195.0,-2.99,2900,570500.0
2019-05-13,195.0,201.0,195.0,201.0,3.08,462,92298.0
2019-05-12,198.0,198.0,195.0,195.0,-3.47,600,117300.0
2019-05-09,200.0,202.0,200.0,202.0,2.54,165,33250.0
2019-05-08,200.0,200.0,197.0,197.0,-1.01,2711,537618.0
2019-05-07,197.0,199.0,196.0,199.0,2.05,1162,228338.0
2019-05-05,194.0,195.0,194.0,195.0,-0.51,2502,486686.0
2019-05-02,196.0,196.0,196.0,196.0,-1.01,848,166208.0
2019-04-30,199.0,202.0,198.0,198.0,1.02,4074,813856.0
