date,open,high,low,ltp,percent_change,qty,turnover
2026-08-27,1190.0,1190.0,1190.0,1190.0,-0.83,25,29750.0
2026-08-06,1200.0,1200.0,1200.0,1200.0,0.0,11,13200.0
2026-08-04,1215.0,1215.0,1200.0,1200.0,-4.0,50,60385.0
2026-07-27,1245.4,1250.0,1245.4,1250.0,1.13,5014,6244500.0
2026-07-14,1236.0,1236.0,1236.0,1236.0,0.0,25,30900.0
2026-06-29,1236.0,1236.0,1236.0,1236.0,0.0,25,30900.0
2026-06-16,1236.0,1236.0,1236.0,1236.0,3.0,25,30900.0
2026-06-10,1201.0,1201.0,1201.0,1200.0,-2.04,28,33625.0
2026-06-08,1225.0,1225.0,1225.0,1225.0,2.94,25,30625.0
2026-06-05,1200.0,1200.0,1190.0,1190.0,-0.42,40,47750.0
2026-05-27,1242.0,1242.0,1195.0,1195.0,-6.64,90,110000.0
2026-05-20,1280.0,1280.0,1280.0,1280.0,2.98,100,128000.0
2026-05-18,1243.0,1243.0,1243.0,1243.0,-2.97,25,31075.0
2026-05-14,1281.0,1281.0,1281.0,1281.0,-2.95,11,14091.0
2026-04-28,1279.5,1320.0,1299.0,1320.0,3.17,153,199755.0
2026-04-08,1254.5,1279.5,1254.5,1279.5,4.02,71,90122.1
2026-03-22,1230.0,1230.0,1230.0,1230.0,0.0,100,123000.0
2026-02-03,1230.0,1230.0,1230.0,1230.0,0.0,20,24600.0
2026-01-29,1230.0,1230.0,1230.0,1230.0,0.0,10,12300.0
2026-01-28,1230.0,1230.0,1230.0,1230.0,0.0,10,12300.0
2026-01-14,1230.0,1230.0,1230.0,1230.0,-0.81,10,12300.0
2026-01-13,1240.0,1240.0,1240.0,1240.0,-1.59,25,31000.0
2026-01-01,1260.0,1260.0,1260.0,1260.0,0.4,25,31500.0
2025-12-31,1255.0,1255.0,1255.0,1255.0,0.72,20,25100.0
2025-12-29,1246.0,1246.0,1246.0,1246.0,0.13,50,62300.0
2025-12-24,1244.4,1244.4,1244.4,1244.4,2.0,50,62220.0
2025-12-21,1225.0,1225.0,1220.0,1220.0,-0.41,100,122250.0
2025-12-16,1225.0,1225.0,1225.0,1225.0,-1.64,25,30625.0
2025-11-25,1221.0,1221.0,1221.0,1245.4,2.0,8,9963.2
2025-11-19,1221.0,1221.0,1221.0,1221.0,0.91,25,30525.0
2025-11-18,1210.0,1210.0,1210.0,1210.0,-0.03,25,30250.0
2025-11-16,1186.7,1210.4,1186.7,1210.4,4.03,100,119855.0
2025-11-06,1141.0,1163.5,1141.0,1163.5,1.97,350,401010.6
2025-09-24,1141.0,1141.0,1141.0,1141.0,-0.78,25,28525.0
2025-09-23,1149.0,1150.0,1149.0,1150.0,1.31,100,114950.0
2025-09-08,1135.2,1135.2,1135.2,1135.1,-0.01,30,34055.5
2025-09-07,1157.4,1157.4,1135.2,1135.2,-3.88,50,57315.0
2025-08-07,1181.0,1181.0,1181.0,1181.0,-1.99,15,17715.0
2025-07-30,1205.0,1205.0,1205.0,1205.0,0.0,20,24100.0
2025-06-29,1155.0,1205.0,1155.0,1205.0,4.33,28,33708.0
2025-06-23,1140.0,1140.0,1140.0,1155.0,1.32,8,9240.0
2025-06-08,1140.0,1140.0,1140.0,1140.0,-1.81,10,11400.0
2025-05-18,1161.0,1161.0,1161.0,1161.0,-1.98,10,11610.0
2025-04-30,1184.4,1184.4,1184.4,1184.4,0.0,10,11844.0
2025-04-07,1184.4,1184.4,1184.4,1184.4,0.0,299,354135.6
2025-04-03,1161.2,1161.2,1161.2,1184.4,2.0,12,14212.6
2025-04-01,1138.5,1138.5,1138.5,1161.2,1.99,3,3483.6
2025-03-30,1117.0,1117.0,1117.0,1138.5,1.65,26,29061.1
2025-03-26,1112.6,1120.0,1112.6,1120.0,0.67,24,26865.2
2025-03-24,1113.9,1113.9,1113.9,1112.6,-0.12,2,2225.2
2025-03-20,1113.6,1113.6,1113.6,1113.9,0.03,2,2227.8
2025-03-19,1113.59,1113.59,1113.59,1113.59,-0.22,1,1113.6
2025-03-18,1116.1,1116.1,1116.1,1116.1,0.01,9,1064.4
2025-03-17,1116.0,1116.0,1116.0,1116.0,0.09,18,20079.5
2025-03-12,1115.0,1148.0,1115.0,1115.0,-2.87,9,10115.8
2025-02-23,1148.0,1148.0,1148.0,1148.0,2.5,25,28694.4
2025-02-18,1120.0,1120.0,1120.0,1120.0,-1.1,25,28000.0
