date,open,high,low,ltp,percent_change,qty,turnover
2026-08-11,1225.1,1225.1,1225.1,1225.1,0.34,10,12251.0
2026-08-04,1221.0,1221.0,1221.0,1221.0,-1.53,25,30525.0
2026-08-03,1240.0,1240.0,1240.0,1240.0,0.0,25,31000.0
2026-07-30,1240.0,1240.0,1240.0,1240.0,0.32,25,31000.0
2026-07-29,1271.0,1271.0,1236.0,1236.0,-1.9,4520,5744045.0
2026-07-28,1270.0,1270.0,1260.0,1260.0,-0.87,100,126350.0
2026-07-27,1270.0,1271.0,1270.0,1271.0,0.08,9726,12357251.0
2026-07-23,1260.0,1270.0,1260.0,1270.0,1.52,600,761616.0
2026-07-22,1250.0,1251.0,1250.0,1251.0,1.3,750,938020.0
2026-07-21,1215.0,1235.0,1213.0,1235.0,-0.4,425,521078.0
2026-07-20,1265.0,1265.0,1240.0,1240.0,-1.67,45,56300.0
2026-07-17,1261.0,1261.0,1261.0,1261.0,-3.0,10,12610.0
2026-07-16,1273.0,1300.0,1273.0,1300.0,5.18,425,552155.0
2026-07-14,1274.2,1300.0,1235.0,1236.0,-0.09,72102,89899709.5
2026-07-13,1260.0,1270.0,1235.0,1237.1,-3.5,170682,211842674.5
2026-07-10,1270.68,1282.0,1233.0,1282.0,0.87,177290,220799535.7
2026-07-09,1273.0,1273.1,1270.69,1271.0,-2.98,225110,286565306.9
2026-07-07,1309.7,1310.0,1309.7,1310.0,1.31,60,78591.0
2026-07-06,1256.6,1293.0,1256.6,1293.0,5.98,5050,6528737.5
2026-07-02,1287.5,1287.5,1220.0,1220.0,-5.24,95840,116934049.0
2026-06-30,1287.0,1287.5,1287.0,1287.5,3.0,50,64362.5
2026-06-29,1250.0,1250.0,1250.0,1250.0,-0.79,138,172500.0
2026-06-23,1228.0,1260.0,1228.0,1260.0,0.0,50,62200.0
2026-06-17,1225.7,1260.0,1225.7,1260.0,5.88,211,262236.2
2026-06-12,1275.0,1275.0,1190.0,1190.0,-7.03,97156,115650962.5
2026-06-11,1275.0,1290.0,1275.0,1280.0,-0.58,120,153675.0
2026-06-10,1287.5,1287.5,1287.5,1287.5,3.0,25,32187.5
2026-06-08,1241.0,1250.0,1221.0,1250.0,0.73,150,186775.0
2026-06-05,1241.0,1241.0,1241.0,1241.0,-2.44,25,31025.0
2026-06-01,1235.0,1235.0,1235.0,1272.0,1.35,26,32147.0
2026-05-27,1255.0,1255.0,1255.0,1255.0,-2.79,25,31375.0
