date,open,high,low,ltp,percent_change,qty,turnover
2025-09-07,169.0,169.0,169.0,169.0,-1.74,151000,25519000.0
2025-08-18,172.0,172.0,172.0,172.0,0.0,25000,4300000.0
2025-07-17,172.0,172.0,172.0,172.0,-1.71,25000,4300000.0
2025-07-14,175.0,175.0,175.0,175.0,0.0,41570,7274750.0
2025-07-06,175.0,175.0,175.0,175.0,0.0,134000,23450000.0
2025-07-03,175.0,175.0,175.0,175.0,0.0,15000,2625000.0
2024-07-21,137.7,137.7,137.7,137.7,0.0,60307,8304273.9
2024-07-11,137.7,137.7,137.7,137.7,0.0,99324,13676914.8
2024-07-10,137.7,137.7,137.7,137.7,2.0,350676,48288085.2
2024-04-21,135.0,135.0,135.0,135.0,0.0,43168,5827680.0
2024-02-22,135.0,135.0,135.0,135.0,0.0,100000,13500000.0
2024-02-18,135.0,135.0,135.0,135.0,0.0,100000,13500000.0
2024-01-22,135.0,135.0,135.0,135.0,0.0,250000,33750000.0
2023-10-31,145.1,145.1,145.1,145.1,0.0,100000,14510000.0
2023-10-30,145.1,145.1,145.1,145.1,-1.96,200000,29020000.0
2023-08-21,148.0,148.0,148.0,148.0,-1.79,150000,22200000.0
2023-06-28,150.7,150.7,150.7,150.7,0.0,10000,1507000.0
2023-06-19,150.7,150.7,150.7,150.7,-1.95,104813,15795319.1
2023-06-11,153.7,153.7,153.7,153.7,-1.98,75000,11527500.0
2023-05-31,156.8,156.8,156.8,156.8,0.0,14353,2250550.4
2023-04-18,156.8,156.8,156.8,156.8,-2.0,40000,6272000.0
2023-03-19,160.0,160.0,160.0,160.0,0.0,90000,14400000.0
2023-03-16,160.0,160.0,160.0,160.0,-0.99,160000,25600000.0
2023-03-12,168.1,168.1,161.6,161.6,-5.77,150000,24492812.5
2023-01-29,171.5,171.5,171.5,171.5,0.0,46869,8038033.5
2022-12-27,171.5,171.5,171.5,171.5,-2.0,140627,24117530.5
2022-11-17,175.0,175.0,175.0,175.0,0.0,8085,1414875.0
2022-09-13,193.0,193.0,193.0,193.0,0.0,14851,2866243.0
2022-08-09,193.0,193.0,193.0,193.0,0.0,11352,2190936.0
2022-08-07,193.0,193.0,193.0,193.0,0.0,150000,28950000.0
2022-07-03,193.0,193.0,193.0,193.0,0.0,70000,13510000.0
2022-04-28,270.0,270.0,270.0,270.0,0.0,56739,15319530.0
2022-03-07,270.0,270.0,270.0,270.0,0.0,11348,3063960.0
2022-02-10,270.0,270.0,270.0,270.0,0.0,50000,13500000.0
2022-01-20,270.0,270.0,270.0,270.0,0.0,54213,14637510.0
2021-12-27,270.0,270.0,270.0,270.0,0.0,100000,27000000.0
2021-12-23,270.0,270.0,270.0,270.0,-1.82,4362,1177740.0
2021-12-20,275.0,275.0,275.0,275.0,0.0,100000,27500000.0
2021-12-14,275.0,275.0,275.0,275.0,0.0,100000,27500000.0
2021-11-15,275.0,275.0,275.0,275.0,3.77,14000,3850000.0
2021-09-02,264.6,265.0,264.6,265.0,0.15,46318,12269182.8
2021-08-26,264.6,264.6,264.6,264.6,-2.0,71000,18786600.0
2021-07-05,270.0,270.0,270.0,270.0,0.0,61795,16684650.0
2021-04-04,190.0,190.0,190.0,190.0,0.0,15800,3002000.0
2021-02-08,190.0,190.0,190.0,190.0,0.0,21411,4068090.0
2021-01-04,190.0,190.0,190.0,190.0,0.0,66976,12725440.0
2020-12-31,190.0,190.0,190.0,190.0,0.0,14000,2660000.0
2020-12-03,190.0,190.0,190.0,190.0,0.0,39258,7459020.0
2020-11-08,190.0,190.0,190.0,190.0,0.0,46010,8741900.0
2020-07-26,190.0,190.0,190.0,190.0,0.0,24630,4679700.0
2020-07-14,190.0,190.0,190.0,190.0,0.0,58200,11058000.0
