date,open,high,low,ltp,percent_change,qty,turnover
2011-09-07,94.0,94.0,93.0,94.0,0.0,320,29940.0
2011-09-06,94.0,95.0,93.0,94.0,0.0,430,40190.0
2011-09-05,97.0,98.0,94.0,94.0,0.0,3510,338830.0
2011-09-04,94.0,97.0,95.0,97.0,0.0,290,28000.0
2011-09-01,95.0,96.0,94.0,94.0,0.0,380,35960.0
2011-08-30,97.0,96.0,94.0,95.0,0.0,120,11370.0
2011-08-29,97.0,98.0,97.0,97.0,0.0,90,8770.0
2011-08-28,98.0,98.0,97.0,97.0,0.0,30,2930.0
2011-08-25,98.0,98.0,98.0,98.0,0.0,90,8820.0
2011-08-24,98.0,99.0,97.0,98.0,0.0,170,16670.0
2011-08-23,100.0,99.0,98.0,98.0,0.0,230,22640.0
2011-08-22,100.0,102.0,100.0,100.0,0.0,50,5040.0
2011-08-18,100.0,100.0,100.0,100.0,0.0,40,4000.0
2011-08-17,98.0,102.0,99.0,100.0,0.0,210,21120.0
2011-08-16,100.0,98.0,98.0,98.0,0.0,190,18620.0
2011-08-15,100.0,100.0,100.0,100.0,0.0,10,1000.0
2011-08-11,102.0,101.0,100.0,100.0,0.0,50,5030.0
2011-08-10,102.0,104.0,100.0,102.0,0.0,220,22420.0
2011-08-09,103.0,102.0,102.0,102.0,0.0,120,12240.0
2011-08-08,106.0,104.0,102.0,103.0,0.0,500,51850.0
2011-08-07,100.0,108.0,101.0,106.0,0.0,450,47380.0
2011-08-04,96.0,100.0,97.0,100.0,0.0,160,15740.0
2011-08-03,96.0,97.0,96.0,96.0,0.0,290,27940.0
2011-08-02,98.0,97.0,96.0,96.0,0.0,350,33760.0
2011-08-01,100.0,100.0,97.0,98.0,0.0,220,21530.0
2011-07-31,106.0,105.0,100.0,100.0,0.0,370,37890.0
2011-07-28,108.0,106.0,106.0,106.0,0.0,20,2120.0
2011-07-26,110.0,108.0,108.0,108.0,0.0,20,2160.0
2011-07-24,115.0,114.0,110.0,110.0,0.0,120,13420.0
2011-07-20,117.0,115.0,115.0,115.0,0.0,10,1150.0
2011-07-18,119.0,117.0,117.0,117.0,0.0,50,5850.0
2011-07-14,113.0,119.0,115.0,119.0,0.0,70,8170.0
2011-07-13,112.0,113.0,112.0,113.0,0.0,140,15700.0
2011-07-12,102.0,112.0,104.0,112.0,0.0,190,20850.0
2011-07-11,93.0,102.0,94.0,102.0,0.0,450,43760.0
2011-07-06,91.0,93.0,92.0,93.0,0.0,80,7420.0
2011-07-05,90.0,91.0,91.0,91.0,0.0,20,1820.0
2011-07-04,90.0,91.0,90.0,90.0,0.0,280,25220.0
2011-07-03,91.0,91.0,90.0,90.0,0.0,70,6320.0
2011-06-29,94.0,94.0,91.0,91.0,0.0,110,10100.0
2011-06-27,94.0,94.0,94.0,94.0,0.0,70,6580.0
2011-06-21,95.0,94.0,94.0,94.0,0.0,180,16920.0
2011-06-20,94.0,95.0,95.0,95.0,0.0,120,11400.0
2011-06-19,94.0,95.0,95.0,95.0,0.0,120,11400.0
2011-06-16,95.0,94.0,93.0,94.0,0.0,200,18700.0
2011-06-15,95.0,96.0,95.0,95.0,0.0,720,68870.0
2011-06-14,96.0,95.0,94.0,95.0,0.0,50,4730.0
2011-06-13,97.0,97.0,95.0,96.0,0.0,410,39610.0
2011-06-12,98.0,97.0,97.0,97.0,0.0,320,31040.0
