date,open,high,low,ltp,percent_change,qty,turnover
2017-05-24,220.0,220.0,220.0,220.0,0.0,100,22000.0
2017-05-23,218.0,220.0,220.0,220.0,0.0,120,26400.0
2017-05-22,222.0,218.0,218.0,218.0,0.0,102,22236.0
2017-05-21,230.0,230.0,222.0,222.0,0.0,357,80582.0
2017-05-18,233.0,230.0,230.0,230.0,0.0,43,9890.0
2017-05-17,229.0,233.0,233.0,233.0,0.0,20,4660.0
2017-05-16,223.0,229.0,225.0,229.0,0.0,321,72265.0
2017-05-11,227.0,225.0,223.0,223.0,0.0,600,134000.0
2017-05-09,231.0,227.0,227.0,227.0,0.0,240,54480.0
2017-05-04,247.0,243.0,231.0,231.0,0.0,151,35901.0
2017-05-03,252.0,247.0,247.0,247.0,0.0,30,7410.0
2017-04-30,252.0,252.0,252.0,252.0,0.0,200,50400.0
2017-04-26,255.0,253.0,248.0,252.0,0.0,800,201500.0
2017-04-25,255.0,255.0,250.0,255.0,0.0,154,39120.0
2017-04-24,270.0,265.0,255.0,255.0,0.0,1006,262584.0
2017-04-23,269.0,270.0,269.0,270.0,0.0,431,116339.0
2017-04-20,270.0,274.0,269.0,269.0,0.0,117,31608.0
2017-04-19,270.0,270.0,270.0,270.0,0.0,200,54000.0
2017-04-18,270.0,270.0,270.0,270.0,0.0,120,32400.0
2017-04-16,260.0,270.0,265.0,270.0,0.0,620,164400.0
2017-04-13,237.0,260.0,240.0,260.0,0.0,2818,717520.0
2017-04-12,225.0,237.0,225.0,237.0,0.0,223,51031.0
2017-04-11,233.0,229.0,225.0,225.0,0.0,150,33870.0
2017-04-09,237.0,233.0,221.0,233.0,0.0,1810,410030.0
2017-04-06,245.0,241.0,237.0,237.0,0.0,800,190600.0
2017-04-04,255.0,250.0,245.0,245.0,0.0,360,88550.0
2017-04-03,251.0,265.0,250.0,255.0,0.0,1467,380539.0
2017-04-02,270.0,280.0,250.0,260.0,0.0,3000,794100.0
2017-03-30,290.0,293.0,270.0,270.0,0.0,2343,665289.0
2017-03-29,284.0,312.0,288.0,290.0,0.0,7334,2226816.0
2017-03-28,259.0,284.0,264.0,284.0,0.0,1726,468716.0
2017-03-26,236.0,259.0,240.0,259.0,0.0,8426,2177290.0
2017-03-23,215.0,236.0,219.0,236.0,0.0,917,215962.0
2017-03-22,196.0,215.0,199.0,215.0,0.0,1240,258748.0
2017-03-21,179.0,196.0,179.0,196.0,0.0,1527,284414.0
2017-03-20,163.0,179.0,166.0,179.0,0.0,875,154780.0
2017-03-19,166.0,163.0,163.0,163.0,0.0,1000,163000.0
2017-03-16,160.0,166.0,163.0,166.0,0.0,430,70690.0
2017-03-15,166.0,163.0,160.0,160.0,0.0,773,123980.0
2017-03-14,159.0,166.0,160.0,166.0,0.0,390,62850.0
2017-03-13,164.0,161.0,155.0,159.0,0.0,221,34769.0
2017-03-09,167.0,164.0,164.0,164.0,0.0,45,7380.0
2017-03-07,172.0,170.0,167.0,167.0,0.0,921,155820.0
2017-03-06,160.0,172.0,163.0,172.0,0.0,1685,283660.0
2017-03-05,157.0,163.0,154.0,160.0,0.0,290,46370.0
2017-03-02,143.0,157.0,145.0,157.0,0.0,147,22437.0
2017-03-01,153.0,150.0,141.0,143.0,0.0,450,65225.0
2017-02-28,159.0,156.0,153.0,153.0,0.0,555,85435.0
2017-02-26,158.0,162.0,159.0,159.0,0.0,700,112500.0
2017-02-23,155.0,161.0,158.0,158.0,0.0,104,16575.0
2017-02-22,164.0,161.0,155.0,155.0,0.0,230,36040.0
2017-02-21,182.0,179.0,164.0,164.0,0.0,1233,211310.0
2017-02-20,179.0,185.0,182.0,182.0,0.0,230,42310.0
2017-02-19,165.0,179.0,168.0,179.0,0.0,760,133690.0
2017-02-16,151.0,165.0,150.0,165.0,0.0,663,105300.0
2017-02-15,138.0,151.0,140.0,151.0,0.0,1996,299048.0
2017-02-14,142.0,140.0,138.0,138.0,0.0,193,26674.0
2017-02-13,148.0,146.0,142.0,142.0,0.0,45,6480.0
2017-02-12,151.0,148.0,144.0,148.0,0.0,415,60860.0
2017-02-09,157.0,154.0,151.0,151.0,0.0,100,15250.0
2017-02-08,166.0,166.0,157.0,157.0,0.0,526,84574.0
2017-02-07,172.0,170.0,166.0,166.0,0.0,270,45680.0
2017-02-02,178.0,175.0,172.0,172.0,0.0,100,17290.0
2017-01-25,181.0,178.0,178.0,178.0,0.0,80,14240.0
2017-01-24,184.0,183.0,181.0,181.0,0.0,400,72660.0
2017-01-23,187.0,184.0,184.0,184.0,0.0,260,47840.0
2017-01-22,184.0,187.0,187.0,187.0,0.0,220,41140.0
2017-01-19,190.0,187.0,178.0,184.0,0.0,1481,270459.0
2017-01-18,207.0,203.0,190.0,190.0,0.0,869,167742.0
2017-01-17,211.0,207.0,207.0,207.0,0.0,11,2277.0
2017-01-15,215.0,211.0,211.0,211.0,0.0,49,10339.0
2017-01-12,214.0,215.0,215.0,215.0,0.0,11,2365.0
2017-01-11,221.0,220.0,214.0,214.0,0.0,695,150890.0
2017-01-10,217.0,221.0,221.0,221.0,0.0,40,8840.0
2017-01-09,221.0,217.0,217.0,217.0,0.0,10,2170.0
2017-01-08,229.0,225.0,221.0,221.0,0.0,26,5806.0
2017-01-05,230.0,230.0,229.0,229.0,0.0,196,44982.0
2016-12-28,230.0,230.0,230.0,230.0,0.0,500,115000.0
2016-12-19,230.0,230.0,230.0,230.0,0.0,286,65780.0
2016-12-01,228.0,232.0,226.0,230.0,0.0,2033,467128.0
2016-11-30,208.0,228.0,212.0,228.0,0.0,510,114600.0
2016-11-29,206.0,208.0,202.0,208.0,0.0,325,66445.0
2016-11-28,206.0,206.0,206.0,206.0,0.0,100,20600.0
2016-11-27,226.0,222.0,206.0,206.0,0.0,900,191800.0
2016-11-23,222.0,226.0,226.0,226.0,0.0,100,22600.0
2016-11-22,226.0,222.0,222.0,222.0,0.0,85,18870.0
2016-11-21,238.0,234.0,222.0,226.0,0.0,1459,332291.0
2016-11-20,230.0,238.0,234.0,238.0,0.0,400,94400.0
2016-11-17,245.0,241.0,230.0,230.0,0.0,926,217448.0
2016-11-16,250.0,245.0,241.0,245.0,0.0,890,215450.0
2016-11-15,255.0,250.0,250.0,250.0,0.0,600,150000.0
2016-11-14,254.0,255.0,250.0,255.0,0.0,276,70250.0
2016-11-13,259.0,254.0,254.0,254.0,0.0,402,102108.0
2016-11-10,263.0,268.0,259.0,259.0,0.0,433,112725.0
2016-11-09,273.0,268.0,263.0,263.0,0.0,150,39800.0
2016-11-08,265.0,273.0,268.0,273.0,0.0,135,36355.0
2016-11-07,258.0,265.0,258.0,265.0,0.0,908,239709.0
2016-11-03,258.0,258.0,253.0,258.0,0.0,450,114850.0
2016-10-27,258.0,258.0,253.0,258.0,0.0,258,66274.0
2016-10-26,262.0,258.0,249.0,258.0,0.0,2099,531813.0
2016-10-25,500.0,524.0,490.0,505.0,0.0,6261,3178921.0
