date,open,high,low,ltp,percent_change,qty,turnover
2015-09-22,100.0,102.0,100.0,100.0,0.0,3478,349190.0
2014-12-11,100.0,100.0,100.0,100.0,0.0,948,94800.0
2014-12-08,100.0,100.0,100.0,100.0,0.0,6005,600500.0
2013-12-29,100.0,100.0,100.0,100.0,0.0,1300,130000.0
2013-12-18,100.0,100.0,100.0,100.0,0.0,18150,1815000.0
2013-12-12,100.0,100.0,100.0,100.0,0.0,6050,605000.0
2013-12-10,100.0,100.0,100.0,100.0,0.0,4950,495000.0
2013-12-05,100.0,100.0,100.0,100.0,0.0,1650,165000.0
2013-12-03,100.0,100.0,100.0,100.0,0.0,2200,220000.0
2013-11-14,100.0,100.0,100.0,100.0,0.0,6600,660000.0
2013-09-08,100.0,100.0,100.0,100.0,0.0,1100,110000.0
2013-08-25,100.0,100.0,100.0,100.0,0.0,14245,1424500.0
2013-08-19,100.0,100.0,100.0,100.0,0.0,12100,1210000.0
2013-08-15,100.0,100.0,100.0,100.0,0.0,25300,2530000.0
