date,open,high,low,ltp,percent_change,qty,turnover
2016-11-24,306.0,309.0,303.0,309.0,0.0,200,61200.0
2016-11-23,312.0,311.0,306.0,306.0,0.0,2195,675327.0
2016-11-22,316.0,320.0,310.0,312.0,0.0,2811,887791.0
2016-11-21,321.0,320.0,305.0,316.0,0.0,3812,1192533.0
2016-11-20,321.0,321.0,303.0,321.0,0.0,743,233703.0
2016-11-17,331.0,325.0,321.0,321.0,0.0,125,40565.0
2016-11-16,339.0,337.0,331.0,331.0,0.0,679,225523.0
2016-11-15,345.0,345.0,339.0,339.0,0.0,3100,1061800.0
2016-11-14,350.0,352.0,345.0,345.0,0.0,3543,1232900.0
2016-11-13,364.0,357.0,345.0,350.0,0.0,3164,1107860.0
2016-11-10,360.0,364.0,353.0,364.0,0.0,2246,801022.0
2016-11-09,365.0,367.0,360.0,360.0,0.0,879,316790.0
2016-11-08,375.0,375.0,365.0,365.0,0.0,1278,469335.0
2016-11-07,378.0,381.0,373.0,375.0,0.0,1124,424184.0
2016-11-03,363.0,378.0,370.0,378.0,0.0,1290,482100.0
2016-10-27,358.0,366.0,363.0,363.0,0.0,1071,389496.0
2016-10-26,365.0,370.0,356.0,358.0,0.0,2060,746141.0
2016-10-25,365.0,365.0,360.0,365.0,0.0,86,31275.0
2016-10-24,380.0,379.0,365.0,365.0,0.0,1745,645185.0
2016-10-23,380.0,380.0,373.0,380.0,0.0,1191,448143.0
2016-10-20,380.0,386.0,379.0,380.0,0.0,1582,603505.0
2016-10-19,383.0,385.0,370.0,380.0,0.0,1073,404252.0
2016-10-18,390.0,390.0,383.0,383.0,0.0,1537,594749.0
2016-10-17,390.0,392.0,383.0,390.0,0.0,4405,1712500.0
2016-10-16,403.0,398.0,384.0,390.0,0.0,700,274900.0
2016-10-06,397.0,412.0,389.0,403.0,0.0,11968,4784389.0
2016-10-05,361.0,397.0,368.0,397.0,0.0,34261,13517894.0
2016-10-04,685.0,700.0,670.0,674.0,0.0,24824,16811732.0
2016-10-03,665.0,686.0,665.0,685.0,0.0,22788,15437765.0
2016-10-02,680.0,680.0,663.0,665.0,0.0,11554,7741427.0
2016-09-29,688.0,690.0,680.0,680.0,0.0,15860,10856104.0
